accession,FEL_mean_alpha,FEL_mean_beta,FEL_mean_lrt,FUBAR_mean_alpha,FUBAR_mean_beta,FUBAR_mean_prob_neg,FUBAR_mean_prob_pos,ProtLearn_Amino acid composition,ProtLearn_Average flexibility indices,ProtLearn_Average volume of buried residue,ProtLearn_Composition,ProtLearn_Hydropathy index,ProtLearn_Hydrophobicity,ProtLearn_Hydrophobicity index,ProtLearn_Polarity,ProtLearn_Relative mutability,ProtLearn_Volume,ProtLearn_length,ProtLearn_pK (-COOH),SLAC_mean_dN/dS,SLAC_mean_n,SLAC_mean_s,allergenicity_blast_score,allergenicity_hybrid_score,allergenicity_merci_score,bcell_avg_peptide_length,bcell_num_peptides,deeplocpro_prob_cytoplasmic,deeplocpro_prob_extracellular,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,dssp_percent_helix,dssp_percent_loop,dssp_percent_sheet,ellipro_mean_discontinuous_score,ellipro_mean_linear_score,ellipro_med_discontinuous_score,ellipro_med_linear_score,ellipro_num_discontinuous_epitopes,ellipro_num_linear_epitopes,ifnepitope2_mean_blast_score,ifnepitope2_mean_ml_score,ifnepitope2_mean_total_score,ifnepitope2_med_blast_score,ifnepitope2_med_ml_score,ifnepitope2_med_total_score,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhci_percentile,mhci_score,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,mhcii_percentile,mhcii_score,rate4site_deeptmhmm_max_outside_scores,rate4site_deeptmhmm_mean_outside_scores,rate4site_deeptmhmm_min_outside_scores,rate4site_deeptmhmm_nan,rate4site_max_per_site_score,rate4site_mean_per_site_score,rate4site_median_per_site_score,rate4site_min_per_site_score,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_mTP,targetp_prob_noTP,prob_antigen
Q2G155,15.915538502703466,1.612795925538837,2.2305499929381645,2.690143786529884,7.002294043684526,0.7001233983665935,0.2509488248827501,5.0,0.0,141.5,0.0,0.0,1.0,0.0,8.5,79.5,74.5,726.5,2.0,0.0,0.0,1.0754716981132075,0.0,0.6803333333333333,0.5,30.65185185185185,9.333333333333334,0.0002666666666666666,0.9976666666666666,3.3333333333333335e-05,0.946428546460007,0.29718926487070757,0.5740542922743777,0.10590131051568225,0.6768653846153846,0.6768653846153846,0.66575,0.66575,26.0,26.0,0.0,0.5900193070362626,0.5900193070362626,0.0,0.59,0.59,652.6666666666666,196.33333333333334,456.3333333333333,0.9330934067863949,0.3226966672839839,321.0,78.33333333333333,242.66666666666666,2.368465596169196,0.3909830672898005,6.291999999999999,-0.001011937030062922,-0.1587,-0.1587,6.292,2.894356005667892e-07,-0.1587,-0.1587,0.7277503333333334,0.27224966666666667,0.18762899999999996,0.0007903333333333334,0.8115806666666666,0.916
P65288,45.53288458112457,11.03752732374156,1.4933186953543915,2.1142160405053,7.502539274122633,0.653105333825152,0.2973473402477409,5.0,0.0,142.0,0.0,-1.0,1.0,0.0,9.0,83.0,75.0,680.0,2.0,0.1022934969082314,0.15,1.0,0.0,0.6227499999999999,0.375,33.43981481481482,8.666666666666666,0.00030000000000000003,0.969075,0.0,0.8088283351928502,0.2313218390804597,0.6695402298850575,0.0761494252873563,0.6634117647058824,0.6634117647058824,0.6445000000000001,0.6445000000000001,34.0,34.0,0.0,0.5862238235249864,0.5862238235249864,0.0,0.5874999999999999,0.5874999999999999,489.25,148.0,341.25,0.9659466697713525,0.30801659919920504,237.5,58.5,179.0,2.6072213785417917,0.38909844989576153,6.1443,0.009222364248079234,-0.1838,-0.1838,6.1443,1.9321533923320107e-05,-0.1838,-0.1838,0.26698075,0.73301925,0.77193725,0.006226000000000001,0.221837,0.876
Q2FIK4,196.87758460382855,1.1812161333716709,2.0615670001050166,3.148232351789356,6.085790724352725,0.691545010468293,0.2410900752547952,5.0,0.0,146.0,0.0,0.0,1.0,0.0,8.0,81.0,79.0,340.0,2.0,0.086248283573103,0.2727272727272727,1.1272727272727272,0.0,0.4136666666666667,0.16666666666666666,20.91764705882353,14.666666666666666,0.00013333333333333334,0.3713666666666667,0.0,0.923604163072854,0.1039325842696629,0.8117977528089888,0.0393258426966292,0.677923076923077,0.677923076923077,0.685,0.685,26.0,26.0,0.0,0.578889702955968,0.578889702955968,0.0,0.5966666666666667,0.5966666666666667,545.3333333333334,177.0,368.3333333333333,0.8853160114727207,0.34433794296200615,227.0,54.0,173.0,2.384155351110883,0.40682806961323975,4.4348,-0.0050254764025422,-0.3819000000000001,-0.3819000000000001,4.4348,-2.756598240470728e-05,-0.3819,-0.3819,0.046801333333333334,0.9531986666666666,0.9563090000000001,0.010710666666666667,0.032980333333333334,0.868
A0A1S6DAJ0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,138.0,0.0,0.0,1.0,0.0,8.0,81.0,72.0,772.0,2.0,0.0,0.0,0.0,0.3,1.0234,0.5,10.442857142857143,8.8,0.39211999999999997,0.08592,0.0,0.5790155440414507,0.1805555555555555,0.6111111111111112,0.1830808080808081,0.6912083333333333,0.6912083333333333,0.615,0.615,24.0,24.0,0.0,0.5970147452291263,0.5970147452291263,0.0,0.601,0.601,668.8,200.2,468.6,0.9174284495889571,0.3316837919150418,266.6,55.4,211.2,2.551066563497533,0.3669573462474337,5.9947,0.0104867200329702,-0.7006,-0.19516,5.9947,-4.19161676646893e-06,-0.2103499999999999,-0.7006,0.4114094,0.5885906000000001,0.5922352,0.0001286,0.40763619999999995,0.858
A0A0H3KEE1,187.1953111716392,1.3160942630839658,2.262775775048984,2.551444374874823,7.191420498278103,0.703504350107181,0.2479180271986512,5.0,0.0,145.0,0.0,0.0,1.0,0.0,8.0,82.0,79.0,352.0,2.0,0.0277309214588344,0.0638297872340425,1.0851063829787233,0.08333333333333333,0.2876666666666667,0.0,12.477020202020201,9.833333333333334,0.19915000000000002,0.7413916666666666,4.9999999999999996e-05,0.777655400103424,0.0806451612903225,0.6586021505376344,0.2150537634408602,0.7059090909090909,0.7059090909090909,0.681,0.681,11.0,11.0,0.0,0.578626584001584,0.578626584001584,0.0,0.5825,0.5825,270.8333333333333,81.33333333333333,189.5,0.9305087533215416,0.3259532023696035,104.16666666666667,15.5,88.66666666666667,2.720704744312711,0.3390467341465917,4.6364,-0.1138434033230986,-0.5398,-0.3341166666666667,4.6364,-1.4234875444824272e-05,-0.3145,-0.5398,0.6174253333333334,0.3825746666666667,0.45260966666666663,0.021197499999999998,0.5261926666666666,0.844
Q2G1X0,17.42041896999702,4.894907118500934,1.4956335541091406,2.5505822576067287,8.922164552699636,0.7026901756900891,0.2480284320779122,5.0,0.0,144.75,0.0,-0.08333333333333333,1.0,0.0,8.083333333333334,80.75,78.0,1629.9166666666667,2.0,0.1891532766986837,0.4615384615384615,1.0,-0.5,-0.2366,0.0,11.2,5.4,4e-05,0.99868,0.00012000000000000002,0.9700680272108844,0.03270011952705239,0.49546547945371183,0.45886659803652025,0.684690175459264,0.684690175459264,0.7074545454545454,0.7074545454545454,70.72727272727273,70.72727272727273,0.0,0.5702473996591644,0.5702473996591644,0.0,0.591,0.591,336.2,107.6,228.6,0.8979328310781372,0.3284899441438039,138.0,29.2,108.8,2.555729932608646,0.3807121365142283,4.8114,0.01756466755910166,-0.5672,-0.28664999999999996,4.8114,4.471544715431824e-06,-0.3082,-0.5672,0.9791772,0.0208228,0.048019599999999996,0.0027378,0.9492432,0.836
Q2G010,15.32504952303011,2.41037690789454,1.841049491156712,2.596709082338747,8.017956700004207,0.6744915447170738,0.276675083591637,6.0,0.0,142.0,0.0,0.0,1.0,0.0,8.0,79.0,77.0,228.0,2.0,0.0,0.0,1.0,0.0,0.179,0.0,10.966666666666667,3.8,0.11006,0.44084,0.00030000000000000003,0.8333333333333334,0.3647540983606557,0.3852459016393442,0.1844262295081967,0.6935454545454546,0.6935454545454546,0.754,0.754,11.0,11.0,0.0,0.6119311688311688,0.6119311688311688,0.0,0.61,0.61,235.4,70.4,165.0,0.8899581376425681,0.3374751696375217,110.8,21.8,89.0,2.503822080188008,0.3662986257278165,5.2627,0.012758384364845377,-0.43620000000000003,-0.43620000000000003,5.2627,2.8947368421060613e-05,-0.4362,-0.4362,0.9829420000000001,0.017058,0.07562640000000001,0.006862600000000001,0.917511,0.836
Q2FWP0,32.036364131180285,103.58298477813892,1.5058917309867634,2.27502925091556,6.650109205034525,0.6912057281842924,0.2595813267951006,5.0,0.0,145.0,0.0,0.0,1.0,0.0,8.0,80.0,78.4,974.4,2.0,0.1074624561158853,0.2833333333333333,1.0166666666666666,-0.5,-0.23420000000000002,0.0,13.5,4.8,6.000000000000001e-05,0.99832,0.00021000000000000004,0.9667752442996743,0.07247827082830752,0.39846976192697314,0.5058488818688816,0.701767986769544,0.701767986769544,0.7024999999999999,0.7024999999999999,29.6,29.6,0.0,0.5623401015938765,0.5623401015938765,0.0,0.5780000000000001,0.5780000000000001,377.2,120.0,257.2,0.8973900312461648,0.3304883725125568,163.0,34.2,128.8,2.5594861312266843,0.37779062258782425,5.0476,0.0603280673911105,-0.5078,-0.2613,5.0476,9.120521172627369e-06,-0.288,-0.5078,0.5385712,0.46142880000000003,0.59146,0.0006494,0.4078906,0.818
A0AAX2YX78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,142.9090909090909,0.0,0.0,0.9090909090909091,0.0,8.090909090909092,79.81818181818181,76.27272727272727,849.1818181818181,2.0,0.0,0.0,0.0,0.0,0.7416666666666667,0.5,11.31111111111111,5.666666666666667,3.3333333333333335e-05,0.9673333333333334,0.0,0.7953216374269005,0.15837668091129983,0.3970677089395161,0.35947271539504083,0.681526973752464,0.681526973752464,0.6840555555555556,0.6840555555555556,17.333333333333332,17.333333333333332,0.0,0.5851320806100219,0.5851320806100219,0.0,0.59,0.59,168.66666666666666,52.0,116.66666666666667,0.9127905131805365,0.32529783903993165,76.0,18.0,58.0,2.4074570225633445,0.3834964236429899,5.0452,0.0023817377562144896,-0.6183,-0.2461,5.0452,-1.80555555555312e-05,-0.2461,-0.6183,0.009358666666666666,0.9906413333333334,0.998509,0.0008413333333333333,0.0006496666666666667,0.796
Q2FVK2,90.74510078318228,0.2367030671444479,3.2209127779374978,2.316707066257612,8.153709426212815,0.6936809039373547,0.253590019921568,5.0,0.0,144.0,0.0,0.0,1.0,0.0,8.0,81.0,78.0,315.0,2.0,0.027329581425966,0.0789473684210526,1.1526315789473685,-0.5,-0.11540000000000002,0.2,11.5,5.0,4e-05,0.99908,5.9999999999999995e-05,0.9102731186941714,0.0422960725075528,0.3957703927492447,0.513595166163142,0.7119230769230769,0.7119230769230769,0.72,0.72,13.0,13.0,0.0,0.5652439504265109,0.5652439504265109,0.0,0.58,0.58,401.0,130.2,270.8,0.8894614283277683,0.333490314453172,194.8,38.8,156.0,2.527983589996073,0.3864031363936386,5.0989,0.00541527075129272,-0.6099,-0.3419,5.0989,8.552631578951187e-06,-0.34595,-0.6099,0.11700839999999998,0.8829916000000001,0.9490601999999999,0.0169198,0.03402,0.788
Q2G1F5,17.467893881998258,0.7493351911886278,2.7603121324790223,3.529478696508069,12.297687424001236,0.7463402572134188,0.2078304980622845,5.0,0.0,145.0,0.0,0.0,1.0,0.0,8.0,82.0,79.0,591.0,2.0,0.0,0.0,1.1,0.0,0.694,0.5,8.5,8.0,0.0005,0.23820000000000002,0.00105,0.971186440677966,0.2998352553542009,0.4695222405271829,0.2042833607907743,0.6931111111111111,0.6931111111111111,0.68,0.68,27.0,27.0,0.0,0.577233676975945,0.577233676975945,0.0,0.58,0.58,688.0,217.0,471.0,0.9004287790697675,0.3405615625,398.0,100.0,298.0,2.3578391959799,0.3881088693467336,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005614,0.994386,0.999207,6.6e-05,0.000727,0.788
Q2FXJ6,23.86509212058279,0.1605403449708688,2.904160169799752,2.0417122013024622,3.834566408497878,0.5030818647387939,0.4416395907424236,5.0,0.0,139.0,0.0,0.0,1.0,0.0,8.0,82.0,73.0,424.0,2.0,0.0,0.0,1.0344827586206895,-0.5,-0.10200000000000001,0.125,10.9375,2.5,0.0001,0.0878375,0.0,0.9407232704402516,0.1977272727272727,0.4727272727272727,0.2931818181818181,0.7068636363636364,0.7068636363636364,0.6745000000000001,0.6745000000000001,22.0,22.0,0.0,0.5833697552447552,0.5833697552447552,0.0,0.595,0.595,357.0,120.25,236.75,0.8686036689791162,0.35488856663732976,225.5,66.5,159.0,2.2129583008289693,0.42940191350911816,6.1555,0.06586856148595925,-0.6562,-0.3357,6.1555,5.188679245276972e-06,-0.3457,-0.6562,0.5983465,0.4016535,0.6055795,0.00045775,0.3939625,0.784
