,FEL_mean_beta,FUBAR_mean_alpha,FUBAR_mean_beta,ProtLearn_length,cluster_percent_identity/num_strain,discotope_max_calibrated_score,discotope_mean_calibrated_score,discotope_median_discotope_score,discotope_min_discotope_score,discotope_num_epitope_peptides
FEL_mean_beta,1.0,0.9223061362138771,0.9497588911844502,-0.45642332812078384,0.18359375692697003,-0.5056464561712811,-0.5098946854219529,-0.5264607146468626,-0.530674450668091,-0.47087365911315376
FUBAR_mean_alpha,0.9223061362138772,1.0,0.9607187089594803,-0.45440885922439866,0.1750780612092956,-0.5018775838761006,-0.5065227115604147,-0.5241685366563045,-0.5294290092299666,-0.4679044010051632
FUBAR_mean_beta,0.9497588911844501,0.9607187089594803,1.0,-0.46024924778138065,0.1860837423146887,-0.5084058480420183,-0.5127475502516741,-0.5337119364225589,-0.5379710791885247,-0.4760847167338803
ProtLearn_length,-0.45642332812078384,-0.45440885922439866,-0.46024924778138065,1.0,-0.18101887281875503,0.9302660530094152,0.8944969019402693,0.42595446927281866,0.41924231029559617,0.965884456392685
cluster_percent_identity/num_strain,0.18359375692697003,0.17507806120929562,0.1860837423146887,-0.18101887281875503,1.0,-0.1826895112650329,-0.18642013615230035,-0.2225465744591701,-0.22511257730828116,-0.18488884726916394
discotope_max_calibrated_score,-0.505646456171281,-0.5018775838761005,-0.5084058480420183,0.9302660530094151,-0.1826895112650329,0.9999999999999999,0.9638063804880933,0.4548394832441188,0.4412566646148169,0.9382106616650264
discotope_mean_calibrated_score,-0.5098946854219529,-0.5065227115604148,-0.5127475502516741,0.8944969019402692,-0.18642013615230038,0.9638063804880933,1.0,0.49393888279565484,0.4703680822419016,0.9035464545787044
discotope_median_discotope_score,-0.5264607146468626,-0.5241685366563045,-0.5337119364225589,0.42595446927281866,-0.22254657445917006,0.45483948324411877,0.4939388827956549,0.9999999999999999,0.996188175008678,0.46683246091811686
discotope_min_discotope_score,-0.5306744506680912,-0.5294290092299667,-0.5379710791885246,0.41924231029559617,-0.22511257730828116,0.44125666461481683,0.47036808224190163,0.996188175008678,0.9999999999999999,0.45457608090592244
discotope_num_epitope_peptides,-0.47087365911315376,-0.4679044010051631,-0.4760847167338803,0.9658844563926852,-0.18488884726916394,0.9382106616650265,0.9035464545787044,0.46683246091811686,0.45457608090592244,0.9999999999999999
