accession,FEL_mean_alpha,FEL_mean_beta,FEL_mean_lrt,FUBAR_mean_alpha,FUBAR_mean_beta,FUBAR_mean_prob_neg,FUBAR_mean_prob_pos,ProtLearn_Amino acid composition,ProtLearn_Average flexibility indices,ProtLearn_Average volume of buried residue,ProtLearn_Composition,ProtLearn_Hydropathy index,ProtLearn_Hydrophobicity,ProtLearn_Hydrophobicity index,ProtLearn_Polarity,ProtLearn_Relative mutability,ProtLearn_Volume,ProtLearn_length,ProtLearn_pK (-COOH),SLAC_mean_dN/dS,SLAC_mean_n,SLAC_mean_s,allergenicity_blast_score,allergenicity_hybrid_score,allergenicity_merci_score,bcell_avg_peptide_length,bcell_num_peptides,cluster_num_clusters,cluster_percent_identity/num_strain,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_extracellular,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,deeptmhmm_proportion_outside,discotope_max_calibrated_score,discotope_max_discotope_score,discotope_max_rsa,discotope_mean_calibrated_score,discotope_mean_discotope_score,discotope_mean_rsa,discotope_median_calibrated_score,discotope_median_discotope_score,discotope_median_rsa,discotope_min_calibrated_score,discotope_min_discotope_score,discotope_min_rsa,discotope_num_epitope_peptides,dssp_percent_helix,dssp_percent_loop,dssp_percent_sheet,ellipro_mean_discontinuous_score,ellipro_mean_linear_score,ellipro_med_discontinuous_score,ellipro_med_linear_score,ellipro_num_discontinuous_epitopes,ellipro_num_linear_epitopes,ifnepitope2_mean_blast_score,ifnepitope2_mean_ml_score,ifnepitope2_mean_total_score,ifnepitope2_med_blast_score,ifnepitope2_med_ml_score,ifnepitope2_med_total_score,mhci_num_peptides,mhci_num_strong_binders,mhci_num_weak_binders,mhci_percentile,mhci_score,mhcii_num_peptides,mhcii_num_strong_binders,mhcii_num_weak_binders,mhcii_percentile,mhcii_score,rate4site_deeptmhmm_max_outside_scores,rate4site_deeptmhmm_mean_outside_scores,rate4site_deeptmhmm_min_outside_scores,rate4site_deeptmhmm_nan,rate4site_max_per_site_score,rate4site_mean_per_site_score,rate4site_median_per_site_score,rate4site_min_per_site_score,signalp_prob_other,signalp_prob_signalp,targetp_prob_SP,targetp_prob_mTP,targetp_prob_noTP,prob_antigen
X5ELQ6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,149.0,0.0,0.0,1.0,0.0,8.0,77.0,83.0,374.0,2.0,0.0,0.0,0.0,0.0,0.8706666666666667,0.4166666666666667,9.807142857142857,5.666666666666667,1.0,0.9915,0.004666666666666667,0.00018333333333333334,0.8887,0.08183333333333333,0.024533333333333334,0.0001,0.9465240641711231,3.21768,0.46247,1.24158,1.5791843529411764,0.2845609411764705,0.5783052941176471,1.44527,0.27002,0.56842,0.90125,0.21095,0.16588,85.0,0.3615384615384615,0.4102564102564102,0.1897435897435897,0.695764705882353,0.695764705882353,0.698,0.698,17.0,17.0,0.0,0.5586703096539162,0.5586703096539162,0.0,0.5683333333333332,0.5683333333333332,479.0,137.5,341.5,0.9309703258070834,0.31609764968683157,242.66666666666666,62.333333333333336,180.33333333333334,2.2102438150385564,0.4262972338890277,7.8211,1.7647058823533405e-05,-0.1275,-0.1275,7.8211,1.7647058823533405e-05,-0.1275,-0.1275,0.016777166666666666,0.9832228333333334,0.985537,6.016666666666667e-05,0.014403,1.0
A0A090LRP9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,142.0,0.0,0.0,1.0,0.0,9.0,80.0,79.0,320.0,2.0,0.0,0.0,0.0,-0.5,-0.15866666666666665,0.0,8.236111111111112,3.1666666666666665,1.0,0.9965,0.0234,0.0001,0.7116666666666666,0.22545,0.03866666666666667,0.0007,0.9375,2.90908,0.42891,1.1048,1.577240634920635,0.2939601587301587,0.6657204761904761,1.4221,0.27824,0.64835,0.90456,0.2258,0.28452,63.0,0.5117647058823529,0.3235294117647059,0.1058823529411764,0.6553529411764706,0.6553529411764706,0.674,0.674,17.0,17.0,0.0,0.5922115384615384,0.5922115384615384,0.0,0.59,0.59,271.1666666666667,88.5,182.66666666666666,0.9078715440830635,0.33561942774190173,150.33333333333334,31.166666666666668,119.16666666666667,2.665297222222222,0.3632805647514619,12.5898,-1.875000000000444e-05,-0.0792,-0.0792,12.5898,-1.875000000000444e-05,-0.0792,-0.0792,0.027011999999999998,0.972988,0.9377481666666667,0.008702333333333333,0.05355016666666667,1.0
W8U6M5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,145.0,0.0,0.0,1.0,0.0,8.0,77.0,80.0,317.0,2.0,0.0,0.0,0.0,0.0,0.7628333333333334,0.5,10.357142857142858,7.0,1.0,0.995,0.008333333333333333,0.0005,0.914,0.026883333333333332,0.050199999999999995,0.00013333333333333334,0.9433063880126182,4.31696,0.61632,1.08025,1.853145818181818,0.341834,0.6459856363636364,1.61794,0.31563,0.61891,0.90443,0.23614,0.19666,55.0,0.2432432432432432,0.4924924924924925,0.2162162162162162,0.6877058823529412,0.6877058823529412,0.662,0.662,17.0,17.0,0.0,0.5815769438220895,0.5815769438220895,0.0,0.59,0.59,365.5,106.83333333333333,258.6666666666667,0.9593378394708459,0.30711390980685543,166.33333333333334,36.666666666666664,129.66666666666666,2.386225103925247,0.3973940148810399,10.2145,-9.148264984240394e-06,-0.0976,-0.0976,10.2145,-9.148264984240394e-06,-0.0976,-0.0976,0.017532833333333334,0.9824671666666666,0.9977406666666667,9.933333333333333e-05,0.0021598333333333335,1.0
A0A0D6GBG7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,143.0,0.0,0.0,1.0,0.0,9.0,81.0,77.0,502.0,2.0,0.0,0.0,0.0,0.0,0.4315,0.0,10.273002665978673,16.333333333333332,1.0,0.915,0.5204666666666666,0.005266666666666666,0.016616666666666665,0.44575000000000004,0.011783333333333333,0.0001,0.9357187445604179,3.44549,0.35079,1.0363,1.6254556,0.206032,0.6619628,1.51869,0.19754,0.69742,0.90085,0.1484,0.08173,125.0,0.0651340996168582,0.6149425287356322,0.2816091954022988,0.68875,0.68875,0.651,0.651,28.0,28.0,0.0,0.584887850419595,0.584887850419595,0.0,0.5883333333333333,0.5883333333333333,520.1666666666666,155.0,365.1666666666667,0.9305051539806639,0.31328976388071117,310.6666666666667,63.0,247.66666666666666,2.5086463419643064,0.372911074288283,3.675,7.676767676770084e-06,-0.3877,-0.3877,3.675,7.676767676770084e-06,-0.3877,-0.3877,0.41026066666666666,0.5897393333333333,0.6426543333333333,0.0016823333333333334,0.355663,1.0
A0A0D3Q6S2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,147.0,0.0,0.0,1.0,0.0,8.0,79.0,81.0,165.0,2.0,0.0,0.0,0.0,0.0,0.2535,0.0,20.708333333333332,3.5,1.0,0.9725,0.19973333333333332,0.0011166666666666666,0.0086,0.7886000000000001,0.0018666666666666666,1.6666666666666667e-05,0.6868686868686869,3.00462,0.59966,0.92379,1.352146,0.392754,0.6094005,1.214185,0.37548,0.5999300000000001,0.91589,0.33813,0.309,20.0,0.3027027027027027,0.4594594594594595,0.1297297297297297,0.7115,0.7115,0.654,0.654,8.0,8.0,0.0,0.5901430909412597,0.5901430909412597,0.0,0.5883333333333333,0.5883333333333333,215.0,76.5,138.5,0.8807950097423882,0.3435249728296826,63.833333333333336,18.666666666666668,45.166666666666664,2.1929988541172754,0.4169070864153627,4.1508,-3.39393939393754e-05,-0.2395,-0.2395,4.1508,-3.39393939393754e-05,-0.2395,-0.2395,0.19880049999999996,0.8011995000000001,0.7693503333333332,0.06469966666666667,0.16595,1.0
A0A0D3QA93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,146.0,0.0,-1.0,1.0,0.0,9.0,78.0,81.0,516.0,2.0,0.0,0.0,0.0,-0.5,-0.1775,0.0,8.73015873015873,6.333333333333333,1.0,0.997,0.07266666666666667,0.0007166666666666667,0.85675,0.053516666666666664,0.016,0.0003333333333333333,0.9612026793106043,3.94528,0.38925,1.06829,1.5829179032258065,0.2007247580645161,0.6742083870967742,1.48192,0.192665,0.682025,0.90382,0.14653,0.14348,124.0,0.3712686567164179,0.4123134328358209,0.1791044776119403,0.717047619047619,0.717047619047619,0.716,0.716,21.0,21.0,0.0,0.5907249426661904,0.5907249426661904,0.0,0.6,0.6,546.8333333333334,162.66666666666666,384.1666666666667,0.9503285890897996,0.31571292763223063,290.1666666666667,69.83333333333333,220.33333333333334,2.4040323614395986,0.39852661395207845,13.0513,-2.737864077670076e-05,-0.0765,-0.0765,13.0513,-2.737864077670076e-05,-0.0765,-0.0765,0.0027120000000000004,0.9972879999999998,0.9909276666666665,7.833333333333333e-05,0.008994,1.0
Q70MK4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,144.0,0.0,0.0,1.0,0.0,9.0,80.0,80.0,260.0,2.0,0.0,0.0,0.0,-0.5,-0.17633333333333334,0.0,9.583333333333334,4.0,1.0,0.988,0.009733333333333333,0.0,0.8261333333333333,0.033683333333333336,0.1304,0.0,0.9269230769230768,2.46618,0.44084,1.02882,1.3281532653061223,0.3112155102040816,0.6147914285714285,1.244,0.30163,0.59082,0.90072,0.26253,0.14453,49.0,0.322463768115942,0.4057971014492754,0.213768115942029,0.7078,0.7078,0.645,0.645,15.0,15.0,0.0,0.5746891534391535,0.5746891534391535,0.0,0.58,0.58,303.5,115.0,188.5,0.8235156963765108,0.37293245777835765,181.0,31.666666666666668,149.33333333333334,2.525357923497268,0.35931004133272615,6.4939,-7.692307692390112e-07,-0.1534,-0.1534,6.4939,-7.692307692390112e-07,-0.1534,-0.1534,0.006159,0.9938410000000001,0.9991105,5.95e-05,0.00083,1.0
Q6GJM8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,149.0,0.0,0.0,1.0,0.0,9.0,81.0,83.0,272.0,2.0,0.0,0.0,0.0,0.0,0.20266666666666666,0.0,9.878968253968255,5.5,1.0,0.874,0.007583333333333333,0.02291666666666667,0.6193833333333333,0.30529999999999996,0.04456666666666667,0.00028333333333333335,0.9302023624413329,2.70883,0.46417,1.03583,1.4993994117647058,0.3259309803921568,0.6109921568627451,1.30062,0.30321,0.57591,0.93999,0.26199,0.22636,51.0,0.2326388888888889,0.3784722222222222,0.3333333333333333,0.6913157894736842,0.6913157894736842,0.67,0.67,19.0,19.0,0.0,0.5522138051093978,0.5522138051093978,0.0,0.55,0.55,288.1666666666667,91.66666666666667,196.5,0.9092360054431262,0.3346958722449436,141.33333333333334,31.833333333333332,109.5,2.419018272155968,0.3968849300004389,3.9401,1.869918699185816e-05,-0.4429,-0.4429,3.9401,1.869918699185816e-05,-0.4429,-0.4429,0.27592916666666667,0.7240708333333333,0.7659851666666667,0.0002708333333333334,0.23374399999999998,1.0
Q7WS91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7733333333333334,0.5,16.973317021143107,22.5,1.0,0.957,0.8273666666666667,0.005366666666666666,0.0028666666666666667,0.16006666666666666,0.0043,0.0,0.9830818402082775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5831148096782085,0.5831148096782085,0.0,0.59,0.59,2243.0,701.0,1542.0,0.910041867484157,0.33752003008822196,1496.3333333333333,311.0,1185.3333333333333,2.468157388291004,0.36166487632320593,3.8055,-5.8506954365050744e-05,-0.2961,-0.2961,3.8055,-3.22049405306272e-05,-0.2961,-0.2961,0.44323699999999994,0.556763,0.575532,0.000566,0.4239021666666667,1.0
A0A0D6GCD0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,142.0,0.0,-1.0,1.0,0.0,9.0,83.0,78.0,190.0,2.0,0.0,0.0,0.0,0.0,0.22583333333333333,0.0,11.6,5.0,1.0,0.997,0.11011666666666668,0.0007,0.6469833333333334,0.20201666666666665,0.04018333333333333,0.0,0.9051796157059314,2.56037,0.54421,1.01568,1.3738484375,0.3853346875,0.58759375,1.29129,0.37428,0.493175,0.92751,0.32557,0.20759,32.0,0.1476190476190476,0.4333333333333333,0.3238095238095238,0.6571538461538461,0.6571538461538461,0.619,0.619,13.0,13.0,0.0,0.5878780887620666,0.5878780887620666,0.0,0.5783333333333333,0.5783333333333333,180.0,56.333333333333336,123.66666666666667,0.9126673277433636,0.3326561423654129,105.33333333333333,25.833333333333332,79.5,2.347240176576625,0.4053872201916809,13.7011,-0.0005777447576725154,-0.0753,-0.0753,13.7011,3.052631578946944e-05,-0.0753,-0.0753,0.011078,0.988922,0.9958518333333334,0.0004343333333333333,0.0037138333333333333,1.0
