accession,feature_subfeature,value
A0A022P4P8,FEL_mean_alpha,32.65999
A0A022P4P8,FEL_mean_beta,2.157552
A0A022P4P8,FEL_mean_lrt,0.95966405
A0A022P4P8,FUBAR_mean_alpha,3.2280777
A0A022P4P8,FUBAR_mean_beta,5.334988
A0A022P4P8,FUBAR_mean_prob_neg,0.63204825
A0A022P4P8,FUBAR_mean_prob_pos,0.31451675
A0A022P4P8,SLAC_mean_dN/dS,0.52374876
A0A022P4P8,SLAC_mean_n,1.1759777
A0A022P4P8,SLAC_mean_s,0.8296089
A0A022P4P8,allergenicity_blast_score,-0.5
A0A022P4P8,allergenicity_hybrid_score,0.021666666
A0A022P4P8,allergenicity_merci_score,0.5
A0A022P4P8,cluster_num_clusters,1.0
A0A022P4P8,cluster_percent_identity/num_strain,0.016379781
A0A022P4P8,deeplocpro_prob_cell_wall_surface,0.0
A0A022P4P8,deeplocpro_prob_cytoplasmic,0.96250004
A0A022P4P8,deeplocpro_prob_cytoplasmic_membrane,0.0201
A0A022P4P8,deeplocpro_prob_extracellular,0.0006
A0A022P4P8,deeplocpro_prob_outer_membrane,0.0077
A0A022P4P8,deeplocpro_prob_periplasmic,0.0091
A0A022P4P8,deeptmhmm_proportion_outside,0.0
A0A022P4P8,ifnepitope2_mean_blast_score,0.0
A0A022P4P8,ifnepitope2_mean_ml_score,0.61824304
A0A022P4P8,ifnepitope2_mean_total_score,0.61824304
A0A022P4P8,ifnepitope2_med_blast_score,0.0
A0A022P4P8,ifnepitope2_med_ml_score,0.62
A0A022P4P8,ifnepitope2_med_total_score,0.62
A0A022P4P8,mhci_num_peptides,481.33334
A0A022P4P8,mhci_num_strong_binders,157.66667
A0A022P4P8,mhci_num_weak_binders,323.66666
A0A022P4P8,mhci_percentile,0.95185214
A0A022P4P8,mhci_score,0.32357138
A0A022P4P8,mhcii_num_peptides,161.16667
A0A022P4P8,mhcii_num_strong_binders,24.666666
A0A022P4P8,mhcii_num_weak_binders,136.5
A0A022P4P8,mhcii_percentile,2.5863314
A0A022P4P8,mhcii_score,0.3689613
A0A022P4P8,rate4site_deeptmhmm_max_outside_scores,14.9667
A0A022P4P8,rate4site_deeptmhmm_mean_outside_scores,-3.3037693e-05
A0A022P4P8,rate4site_deeptmhmm_min_outside_scores,-0.0667
A0A022P4P8,rate4site_deeptmhmm_nan,-0.0667
A0A022P4P8,rate4site_max_per_site_score,14.9667
A0A022P4P8,rate4site_mean_per_site_score,-3.3037693e-05
A0A022P4P8,rate4site_median_per_site_score,-0.0667
A0A022P4P8,rate4site_min_per_site_score,-0.0667
A0A022P4P8,signalp_prob_other,0.9981095
