feature,PC1_loading,PC2_loading,angle_rad,distance_from_origin
discotope_mean_calibrated_score,0.18522581,0.048067644,0.25390768,0.19136117
discotope_num_epitope_peptides,0.104110815,0.17315365,1.029449,0.2020427
bcell_num_peptides,0.0042070528,0.18760099,1.5483747,0.18764815
mhcii_num_peptides,-0.010229943,0.3148089,1.6032805,0.31497508
FUBAR_mean_beta,-0.11942368,0.0765087,2.5718188,0.14182946
FUBAR_mean_prob_neg,-0.12504895,0.06064588,2.6900353,0.138979
FEL_mean_beta,-0.02964598,-0.021931535,3.7785215,0.0368765
signalp_prob_other,-0.0132452175,-0.1422451,4.619541,0.14286043
mhcii_percentile,0.00090619083,-0.022705141,4.7522793,0.022723218
discotope_min_discotope_score,0.15521795,-0.12742713,5.5957966,0.200824
discotope_max_discotope_score,0.17876227,-0.05449909,5.9872675,0.18688527
