PC,Variance (%),Cumulative (%)
PC1,23.15544743425827,23.15544743425827
PC2,17.5059561400773,40.661403574335566
PC3,14.368868966653,55.03027254098856
PC4,6.261780398353993,61.292052939342554
PC5,4.778980321089323,66.07103326043188
PC6,4.131771223206922,70.2028044836388
PC7,3.8218098784245322,74.02461436206333
PC8,3.4763138824800146,77.50092824454335
PC9,3.206947320730993,80.70787556527434
PC10,3.031322703966958,83.7391982692413
PC11,2.8069701041637978,86.5461683734051
PC12,2.5889483665593205,89.13511673996442
PC13,2.4008511339119014,91.53596787387632
PC14,1.932000289771438,93.46796816364775
PC15,1.3159583786338045,94.78392654228156
PC16,1.1941160698558924,95.97804261213746
PC17,0.8920400351529069,96.87008264729036
PC18,0.7051692687311645,97.57525191602153
PC19,0.648318056065641,98.22356997208718
PC20,0.5877647648491622,98.81133473693635
PC21,0.5100812662490741,99.32141600318542
PC22,0.29663171453262693,99.61804771771804
PC23,0.16907717272583042,99.78712489044388
PC24,0.06861783529953923,99.85574272574341
PC25,0.06457047073321122,99.92031319647663
PC26,0.05558964467845208,99.97590284115508
PC27,0.012957840726829005,99.9888606818819
PC28,0.009657086208540975,99.99851776809044
PC29,0.0014273732644256173,99.99994514135486
PC30,1.3162347974149651e-12,99.99994514135618
PC31,6.429615699247894e-14,99.99994514135625
