label,feature,subfeature,value
human,targetp,prob_noTP,0.999818
human,targetp,prob_SP,5e-06
human,targetp,prob_mTP,0.000177
human,targetp,prob_noTP,0.999886
human,targetp,prob_SP,4.9e-05
human,targetp,prob_mTP,6.5e-05
human,targetp,prob_noTP,0.999278
human,targetp,prob_SP,0.000619
human,targetp,prob_mTP,0.000102
human,targetp,prob_noTP,0.970785
human,targetp,prob_SP,0.01711
human,targetp,prob_mTP,0.012105
human,targetp,prob_noTP,0.999802
human,targetp,prob_SP,0.000171
human,targetp,prob_mTP,2.8e-05
human,targetp,prob_noTP,0.987803
human,targetp,prob_SP,0.011376
human,targetp,prob_mTP,0.000821
human,targetp,prob_noTP,0.989937
human,targetp,prob_SP,0.007541
human,targetp,prob_mTP,0.002522
human,targetp,prob_noTP,0.998939
human,targetp,prob_SP,0.000676
human,targetp,prob_mTP,0.000385
human,targetp,prob_noTP,0.999919
human,targetp,prob_SP,6.6e-05
human,targetp,prob_mTP,1.5e-05
human,targetp,prob_noTP,0.99907
human,targetp,prob_SP,0.000126
human,targetp,prob_mTP,0.000804
human,targetp,prob_noTP,0.999818
human,targetp,prob_SP,5e-06
human,targetp,prob_mTP,0.000177
human,targetp,prob_noTP,0.851073
human,targetp,prob_SP,9e-05
human,targetp,prob_mTP,0.148837
human,targetp,prob_noTP,0.987549
human,targetp,prob_SP,0.011693
human,targetp,prob_mTP,0.000757
human,targetp,prob_noTP,0.897743
human,targetp,prob_SP,0.10139
human,targetp,prob_mTP,0.000867
human,targetp,prob_noTP,0.989937
human,targetp,prob_SP,0.007541
human,targetp,prob_mTP,0.002522
human,targetp,prob_noTP,0.986799
human,targetp,prob_SP,0.012634
human,targetp,prob_mTP,0.000567
human,targetp,prob_noTP,0.999829
human,targetp,prob_SP,4.4e-05
human,targetp,prob_mTP,0.000128
human,targetp,prob_noTP,0.999816
human,targetp,prob_SP,3.2e-05
human,targetp,prob_mTP,0.000151
human,targetp,prob_noTP,0.989937
human,targetp,prob_SP,0.007541
human,targetp,prob_mTP,0.002522
human,targetp,prob_noTP,0.981135
human,targetp,prob_SP,0.000653
human,targetp,prob_mTP,0.018212
human,targetp,prob_noTP,0.998939
human,targetp,prob_SP,0.000676
human,targetp,prob_mTP,0.000385
human,targetp,prob_noTP,0.998937
human,targetp,prob_SP,2.8e-05
human,targetp,prob_mTP,0.001036
human,targetp,prob_noTP,0.970785
human,targetp,prob_SP,0.01711
human,targetp,prob_mTP,0.012105
human,targetp,prob_noTP,0.986799
human,targetp,prob_SP,0.012634
human,targetp,prob_mTP,0.000567
human,targetp,prob_noTP,0.999626
human,targetp,prob_SP,0.000231
human,targetp,prob_mTP,0.000143
human,targetp,prob_noTP,0.997145
human,targetp,prob_SP,0.001786
human,targetp,prob_mTP,0.001069
human,targetp,prob_noTP,0.999888
human,targetp,prob_SP,4.7e-05
human,targetp,prob_mTP,6.5e-05
human,targetp,prob_noTP,0.998036
human,targetp,prob_SP,0.000114
human,targetp,prob_mTP,0.00185
human,targetp,prob_noTP,0.981982
human,targetp,prob_SP,0.010415
human,targetp,prob_mTP,0.007603
human,targetp,prob_noTP,0.998939
human,targetp,prob_SP,0.000676
human,targetp,prob_mTP,0.000385
human,targetp,prob_noTP,0.999886
human,targetp,prob_SP,4.9e-05
human,targetp,prob_mTP,6.5e-05
human,targetp,prob_noTP,0.982419
human,targetp,prob_SP,0.000549
human,targetp,prob_mTP,0.017032
human,targetp,prob_noTP,0.989937
human,targetp,prob_SP,0.007541
human,targetp,prob_mTP,0.002522
human,targetp,prob_noTP,0.897743
human,targetp,prob_SP,0.10139
human,targetp,prob_mTP,0.000867
human,targetp,prob_noTP,0.999935
human,targetp,prob_SP,1.9e-05
human,targetp,prob_mTP,4.5e-05
human,targetp,prob_noTP,0.999671
human,targetp,prob_SP,0.000274
human,targetp,prob_mTP,5.5e-05
human,targetp,prob_noTP,0.948881
human,targetp,prob_SP,0.048886
human,targetp,prob_mTP,0.002233
human,targetp,prob_noTP,0.999278
human,targetp,prob_SP,0.000619
human,targetp,prob_mTP,0.000102
human,targetp,prob_noTP,0.999718
human,targetp,prob_SP,0.000139
human,targetp,prob_mTP,0.000143
human,targetp,prob_noTP,0.999697
human,targetp,prob_SP,0.000297
human,targetp,prob_mTP,6e-06
human,targetp,prob_noTP,0.999818
human,targetp,prob_SP,5e-06
human,targetp,prob_mTP,0.000177
