label,feature,subfeature,value
positive,targetp,prob_noTP,0.999941
positive,targetp,prob_SP,3.1e-05
positive,targetp,prob_mTP,2.8e-05
positive,targetp,prob_noTP,0.999849
positive,targetp,prob_SP,4.5e-05
positive,targetp,prob_mTP,0.000107
positive,targetp,prob_noTP,0.678801
positive,targetp,prob_SP,0.00022
positive,targetp,prob_mTP,0.320979
positive,targetp,prob_noTP,0.994143
positive,targetp,prob_SP,0.00082
positive,targetp,prob_mTP,0.005037
positive,targetp,prob_noTP,0.363922
positive,targetp,prob_SP,0.628844
positive,targetp,prob_mTP,0.007233
positive,targetp,prob_noTP,0.999973
positive,targetp,prob_SP,2.7e-05
positive,targetp,prob_mTP,0.0
positive,targetp,prob_noTP,0.737112
positive,targetp,prob_SP,0.262137
positive,targetp,prob_mTP,0.000751
positive,targetp,prob_noTP,0.998074
positive,targetp,prob_SP,0.001567
positive,targetp,prob_mTP,0.000359
positive,targetp,prob_noTP,0.192082
positive,targetp,prob_SP,0.807664
positive,targetp,prob_mTP,0.000254
positive,targetp,prob_noTP,0.011021
positive,targetp,prob_SP,0.987759
positive,targetp,prob_mTP,0.00122
positive,targetp,prob_noTP,0.999734
positive,targetp,prob_SP,0.000121
positive,targetp,prob_mTP,0.000145
positive,targetp,prob_noTP,0.999321
positive,targetp,prob_SP,0.000254
positive,targetp,prob_mTP,0.000425
positive,targetp,prob_noTP,0.997741
positive,targetp,prob_SP,0.0003
positive,targetp,prob_mTP,0.00196
positive,targetp,prob_noTP,0.999973
positive,targetp,prob_SP,2.7e-05
positive,targetp,prob_mTP,0.0
positive,targetp,prob_noTP,0.006067
positive,targetp,prob_SP,0.993274
positive,targetp,prob_mTP,0.000659
positive,targetp,prob_noTP,0.98178
positive,targetp,prob_SP,0.016631
positive,targetp,prob_mTP,0.001589
positive,targetp,prob_noTP,0.997654
positive,targetp,prob_SP,0.002114
positive,targetp,prob_mTP,0.000232
positive,targetp,prob_noTP,0.98817
positive,targetp,prob_SP,0.001602
positive,targetp,prob_mTP,0.010228
positive,targetp,prob_noTP,0.869137
positive,targetp,prob_SP,0.025408
positive,targetp,prob_mTP,0.105455
positive,targetp,prob_noTP,0.089
positive,targetp,prob_SP,0.843233
positive,targetp,prob_mTP,0.067768
positive,targetp,prob_noTP,0.048618
positive,targetp,prob_SP,0.936095
positive,targetp,prob_mTP,0.015287
positive,targetp,prob_noTP,0.003552
positive,targetp,prob_SP,0.996007
positive,targetp,prob_mTP,0.000441
positive,targetp,prob_noTP,0.99863
positive,targetp,prob_SP,0.001033
positive,targetp,prob_mTP,0.000337
positive,targetp,prob_noTP,0.985812
positive,targetp,prob_SP,0.000685
positive,targetp,prob_mTP,0.013503
positive,targetp,prob_noTP,0.999962
positive,targetp,prob_SP,2e-05
positive,targetp,prob_mTP,1.9e-05
positive,targetp,prob_noTP,0.999969
positive,targetp,prob_SP,2.3e-05
positive,targetp,prob_mTP,8e-06
positive,targetp,prob_noTP,0.999767
positive,targetp,prob_SP,0.000198
positive,targetp,prob_mTP,3.6e-05
positive,targetp,prob_noTP,0.774069
positive,targetp,prob_SP,0.157902
positive,targetp,prob_mTP,0.068029
positive,targetp,prob_noTP,0.048618
positive,targetp,prob_SP,0.936095
positive,targetp,prob_mTP,0.015287
positive,targetp,prob_noTP,0.909006
positive,targetp,prob_SP,0.017177
positive,targetp,prob_mTP,0.073816
