label,feature,subfeature,value
human,signalp,prob_signalp,0.000766
human,signalp,prob_other,0.999234
human,signalp,prob_signalp,0.006709
human,signalp,prob_other,0.993291
human,signalp,prob_signalp,0.002586
human,signalp,prob_other,0.997414
human,signalp,prob_signalp,0.002781
human,signalp,prob_other,0.997219
human,signalp,prob_signalp,0.0006
human,signalp,prob_other,0.9994
human,signalp,prob_signalp,0.0045
human,signalp,prob_other,0.9955
human,signalp,prob_signalp,0.000982
human,signalp,prob_other,0.999018
human,signalp,prob_signalp,0.001319
human,signalp,prob_other,0.998681
human,signalp,prob_signalp,0.000207
human,signalp,prob_other,0.999793
human,signalp,prob_signalp,0.074154
human,signalp,prob_other,0.925846
human,signalp,prob_signalp,0.000811
human,signalp,prob_other,0.999189
human,signalp,prob_signalp,0.00888
human,signalp,prob_other,0.99112
human,signalp,prob_signalp,0.000982
human,signalp,prob_other,0.999018
human,signalp,prob_signalp,0.000289
human,signalp,prob_other,0.999711
human,signalp,prob_signalp,0.001319
human,signalp,prob_other,0.998681
human,signalp,prob_signalp,0.000285
human,signalp,prob_other,0.999715
human,signalp,prob_signalp,0.002781
human,signalp,prob_other,0.997219
human,signalp,prob_signalp,0.074154
human,signalp,prob_other,0.925846
human,signalp,prob_signalp,0.000256
human,signalp,prob_other,0.999744
human,signalp,prob_signalp,0.001606
human,signalp,prob_other,0.998394
human,signalp,prob_signalp,0.006709
human,signalp,prob_other,0.993291
human,signalp,prob_signalp,0.000498
human,signalp,prob_other,0.999502
human,signalp,prob_signalp,0.000766
human,signalp,prob_other,0.999234
human,signalp,prob_signalp,0.001525
human,signalp,prob_other,0.998475
human,signalp,prob_signalp,0.0045
human,signalp,prob_other,0.9955
human,signalp,prob_signalp,0.003884
human,signalp,prob_other,0.996116
human,signalp,prob_signalp,0.000982
human,signalp,prob_other,0.999018
human,signalp,prob_signalp,0.001904
human,signalp,prob_other,0.998096
human,signalp,prob_signalp,0.00068
human,signalp,prob_other,0.99932
human,signalp,prob_signalp,0.001319
human,signalp,prob_other,0.998681
human,signalp,prob_signalp,0.006709
human,signalp,prob_other,0.993291
human,signalp,prob_signalp,0.000249
human,signalp,prob_other,0.999751
human,signalp,prob_signalp,0.000982
human,signalp,prob_other,0.999018
human,signalp,prob_signalp,0.003884
human,signalp,prob_other,0.996116
human,signalp,prob_signalp,0.000913
human,signalp,prob_other,0.999087
human,signalp,prob_signalp,0.001246
human,signalp,prob_other,0.998754
human,signalp,prob_signalp,0.016651
human,signalp,prob_other,0.983349
human,signalp,prob_signalp,0.002586
human,signalp,prob_other,0.997414
human,signalp,prob_signalp,0.000411
human,signalp,prob_other,0.999589
human,signalp,prob_signalp,0.00062
human,signalp,prob_other,0.99938
human,signalp,prob_signalp,0.000766
human,signalp,prob_other,0.999234
