label,feature,subfeature,value
positive,ProtLearn,length,2051
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,144
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,81
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,8
positive,ProtLearn,aaindex1_GRAR740103,77
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,314
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,141
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,78
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,8
positive,ProtLearn,aaindex1_GRAR740103,74
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,13
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,144
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,91
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,9
positive,ProtLearn,aaindex1_GRAR740103,77
positive,ProtLearn,aaindex1_JOND750101,0
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,645
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,142
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,83
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,9
positive,ProtLearn,aaindex1_GRAR740103,76
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,19
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,147
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,81
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,9
positive,ProtLearn,aaindex1_GRAR740103,81
positive,ProtLearn,aaindex1_JOND750101,0
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,245
positive,ProtLearn,aaindex1_ARGP820101,1
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,152
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,74
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,7
positive,ProtLearn,aaindex1_GRAR740103,87
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,711
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,148
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,80
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,8
positive,ProtLearn,aaindex1_GRAR740103,81
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,226
positive,ProtLearn,aaindex1_ARGP820101,0
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,146
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,81
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,8
positive,ProtLearn,aaindex1_GRAR740103,81
positive,ProtLearn,aaindex1_JOND750101,1
positive,ProtLearn,aaindex1_JOND750102,2
positive,ProtLearn,aaindex1_KYTJ820101,0
positive,ProtLearn,length,363
positive,ProtLearn,aaindex1_ARGP820101,1
positive,ProtLearn,aaindex1_BHAR880101,0
positive,ProtLearn,aaindex1_CHOC750101,144
positive,ProtLearn,aaindex1_DAYM780101,5
positive,ProtLearn,aaindex1_DAYM780201,75
positive,ProtLearn,aaindex1_GRAR740101,0
positive,ProtLearn,aaindex1_GRAR740102,7
