# TargetP-2.0	Organism: Non-Plant	Timestamp: 20251104135237
# ID	Prediction	noTP	SP	mTP	CS Position
antigen_75|M4PH69||WP_005652235.1|tpos:17-149	noTP	0.999911	0.000087	0.000003	
antigen_1|P10324|Peptidoglycan-associated|WP_005652235.1|tpos:1-153	SP	0.003449	0.994388	0.002163	CS pos: 20-21. AAC-SS. Pr: 0.2676
antigen_4|P43739|DNA-directed|WP_015701707.1|tpos:1-1410	noTP	0.999413	0.000086	0.000500	
antigen_71|A0A2S9RZ43|Molybdopterin-synthase|WP_077643799.1|tpos:1-243	noTP	0.977635	0.022324	0.000041	
antigen_60|Q8KHG5||WP_015701475.1|tpos:70-592	noTP	0.995648	0.002405	0.001947	
antigen_8|P43839|Outer|WP_015701411.1|tpos:1-361	SP	0.001107	0.998478	0.000415	CS pos: 20-21. ANA-AV. Pr: 0.7779
antigen_66|A0A2S9RP42||WP_015701475.1|tpos:15-1400	noTP	0.994765	0.002974	0.002261	
antigen_39|P44987|Biotin|WP_015702024.1|tpos:1-333	noTP	0.999184	0.000115	0.000701	
antigen_20|P44324|Aspartate|WP_015701720.1|tpos:1-472	noTP	0.999900	0.000074	0.000026	
antigen_30|P44620|Prepilin|WP_041175037.1|tpos:1-230	noTP	0.999524	0.000366	0.000110	
antigen_42|P45043|Xylose|WP_011272388.1|tpos:1-387	noTP	0.998921	0.001007	0.000073	
antigen_33|P44766|Peptidase|WP_048954542.1|tpos:1-210	noTP	0.976795	0.000726	0.022479	
antigen_61|Q8GM74||WP_077643923.1|tpos:1273-2415	noTP	0.998742	0.000746	0.000512	
antigen_26|P44536|GTPase|WP_015701409.1|tpos:1-503	noTP	0.936436	0.000180	0.063384	
antigen_25|P44504|Homoserine|WP_005667888.1|tpos:1-314	noTP	0.969270	0.008532	0.022198	
antigen_67|P46027|Outer|WP_015701411.1|tpos:1-361	SP	0.001107	0.998478	0.000415	CS pos: 20-21. ANA-AV. Pr: 0.7779
antigen_11|P43867|ATP-dependent|WP_257003823.1|tpos:11-203	noTP	0.999854	0.000129	0.000017	
antigen_43|P45053|Oligopeptide|WP_005661282.1|tpos:1-311	noTP	0.999998	0.000000	0.000001	
antigen_53|Q06282|Glycerophosphodiester|WP_015701802.1|tpos:1-364	SP	0.000816	0.995286	0.003898	CS pos: 17-18. VLA-GC. Pr: 0.5231
antigen_51|P71398|Lsg|WP_077643928.1|tpos:1-257	noTP	0.997825	0.000066	0.002109	
antigen_28|P44606|tRNA-dihydrouridine(16)|WP_015701977.1|tpos:11-259	noTP	0.856147	0.011068	0.132786	
antigen_47|P45200|Probable|WP_015701420.1|tpos:6-220	noTP	0.902158	0.001604	0.096237	
antigen_49|P71354|Trk|WP_077643730.1|tpos:1-458	noTP	0.631356	0.368368	0.000275	
antigen_21|P44402|Ribosomal|WP_005647969.1|tpos:1-295	noTP	0.999704	0.000032	0.000263	
antigen_35|P44821|HTH-type|WP_005655042.1|tpos:1-292	noTP	0.999753	0.000087	0.000160	
antigen_54|Q48214|Uncharacterized|WP_015702483.1|tpos:1-294	noTP	0.998564	0.000277	0.001159	
antigen_58|Q57362|Uncharacterized|WP_041175032.1|tpos:1-1106	SP	0.027546	0.970701	0.001753	CS pos: 26-27. VLA-AN. Pr: 0.5465
antigen_34|P44769|Carbamate|WP_050848028.1|tpos:1-310	noTP	0.702721	0.089304	0.207975	
antigen_68|P10641|Outer|WP_041175107.1|tpos:1-455	SP	0.000848	0.998133	0.001019	CS pos: 22-23. ANA-AA. Pr: 0.7097
antigen_45|P45103|Uncharacterized|WP_005689272.1|tpos:1-207	noTP	0.999834	0.000060	0.000106	
antigen_19|P44318|Exodeoxyribonuclease|WP_077643831.1|tpos:1-267	noTP	0.979122	0.002674	0.018203	
antigen_72|Q48219|Outer|WP_015701411.1|tpos:1-361	SP	0.001107	0.998478	0.000415	CS pos: 20-21. ANA-AV. Pr: 0.7779
antigen_0|O05087|Uncharacterized|WP_021035413.1|tpos:1-397	noTP	0.986806	0.009592	0.003602	
antigen_24|P44447|Putative|WP_014326506.1|tpos:1-261	noTP	0.928422	0.000800	0.070777	
antigen_56|Q57243|Uncharacterized|WP_015702157.1|tpos:1-254	noTP	0.999113	0.000306	0.000581	
antigen_70|P46024|Outer|WP_015701933.1|tpos:1-797	SP	0.001659	0.997645	0.000697	CS pos: 19-20. VFA-AP. Pr: 0.9473
antigen_38|P44976|4-hydroxy-3-methylbut-2-enyl|WP_005647895.1|tpos:1-314	noTP	0.984002	0.003434	0.012564	
antigen_7|P43838|Outer|WP_041175107.1|tpos:1-455	SP	0.000848	0.998133	0.001019	CS pos: 22-23. ANA-AA. Pr: 0.7097
