parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
taxon_protein:813-other,['Other Chlamydia trachomatis protein'],['Chlamydia trachomatis'],"['Homo sapiens (human)', 'Mus musculus BALB/c']"
UNIPROT:O84025,['Large ribosomal subunit protein bL31B (UniProt:O84025)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84061,['Macro domain-containing protein (UniProt:O84061)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84091,['Low Calcium Response E (UniProt:O84091)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84103,['Membrane associated protein (UniProt:O84103)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84145,['Uncharacterized protein (UniProt:O84145)'],['Chlamydia trachomatis'],"['Homo sapiens (human)', 'Mus musculus C57BL/6']"
UNIPROT:O84149,['Integral membrane protein (UniProt:O84149)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84226,['Candidate inclusion membrane protein (UniProt:O84226)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84229,['Membrane associated protein (UniProt:O84229)'],['Chlamydia trachomatis Sweden2 (Chlamydia trachomatis str. Sweden2)'],['Homo sapiens (human)']
UNIPROT:O84243,['Recombination protein RecR (UniProt:O84243)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84288,['Probable ATP-dependent Clp protease ATP-binding subunit (UniProt:O84288)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84343,['ComEC/Rec2-related protein domain-containing protein (UniProt:O84343)'],['Chlamydia trachomatis'],"['Homo sapiens (human)', 'Mus musculus HLA-B*27:05 Tg']"
UNIPROT:O84383,['GTPase HflX (UniProt:O84383)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84385,['Probable ABC transporter arginine-binding protein ArtJ (UniProt:O84385)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84419,['Probable outer membrane protein PmpC (UniProt:O84419)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84449,"['Sulfur-rich protein, serovar D (UniProt:O84449)']","['Chlamydia trachomatis', 'Chlamydia trachomatis D/UW-3/CX (Chlamydia trachomatis str. D/UW-3/CX)', 'Chlamydia trachomatis Serovar L2']","['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus C57BL/6 X BALB/cByJ', 'Mus musculus Clone 19 TCR Tg']"
UNIPROT:O84462,['Translocated actin-recruiting phosphoprotein (UniProt:O84462)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis Serovar D']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Oryctolagus cuniculus New Zealand White']"
UNIPROT:O84534,['Uncharacterized protein (UniProt:O84534)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis A2497 (Chlamydia trachomatis str. A2497)', 'Chlamydia trachomatis D/UW-3/CX (Chlamydia trachomatis str. D/UW-3/CX)']","['Bos taurus (bovine)', 'Homo sapiens (human)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus (mouse)']"
UNIPROT:O84546,['Aspartate--tRNA(Asp/Asn) ligase (UniProt:O84546)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84576,['Gen. Secretion Protein D (UniProt:O84576)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84583,['Protein CT_579 (UniProt:O84583)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84591,['Enolase (UniProt:O84591)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84593,['PPM-type phosphatase domain-containing protein (UniProt:O84593)'],['Chlamydia trachomatis'],"['Homo sapiens (human)', 'Mus musculus HLA-B*27:05 Tg']"
UNIPROT:O84606,['Invasin repeat family phosphatase (UniProt:O84606)'],['Chlamydia trachomatis'],"['Homo sapiens (human)', 'Mus musculus HLA-B*27:05 Tg']"
UNIPROT:O84608,['Thio-specific Antioxidant (TSA) Peroxidase (UniProt:O84608)'],['Chlamydia trachomatis'],['Homo sapiens (human)']
UNIPROT:O84616,['4-aminobenzoate synthase (UniProt:O84616)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis Serovar L2']","['Homo sapiens (human)', 'Mus musculus HLA-B*27:05 Tg']"
UNIPROT:O84623,['Uncharacterized protein (UniProt:O84623)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis A2497 (Chlamydia trachomatis str. A2497)', 'Chlamydia trachomatis B/TZ1A828/OT (Chlamydia trachomatis str. B/TZ1A828/OT)', 'Chlamydia trachomatis D-EC (Chlamydia trachomatis str. D-EC)', 'Chlamydia trachomatis D/UW-3/CX (Chlamydia trachomatis str. D/UW-3/CX)']","['Bos taurus (bovine)', 'Homo sapiens (human)', 'Mus musculus A/J', 'Mus musculus BALB/c']"
UNIPROT:O84627,['CHLPN 76kDa Homolog (UniProt:O84627)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis D/UW-3/CX (Chlamydia trachomatis str. D/UW-3/CX)']","['Homo sapiens (human)', 'Mus musculus C57BL/6']"
UNIPROT:O84639,['Na(+)-translocating NADH-quinone reductase subunit A (UniProt:O84639)'],"['Chlamydia trachomatis', 'Chlamydia trachomatis Serovar L2']","['Homo sapiens (human)', 'Mus musculus HLA-B*27:05 Tg']"
