Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_47|Q8DQ24|Foldase|WP_000727935.1|tpos:1-313,0.344,0.0,0.0,0.344,Allergen
antigen_62|O05168|PCPC|WP_127244989.1|tpos:1-318,0.397,0.0,-0.5,-0.103,Non-Allergen
antigen_57|A0A4N5NE36|Surface|WP_000240828.1|tpos:1-129,0.289,0.0,-0.5,-0.211,Non-Allergen
antigen_28|A0A0H2ZRA8|Cell|WP_127244997.1|tpos:1-2144,0.366,0.0,0.5,0.866,Allergen
antigen_5|Q8DN05|Choline|WP_127244975.1|tpos:396-743,0.366,0.5,-0.5,0.366,Allergen
antigen_25|A0A0S2VEM8|CbpG|WP_127244975.1|tpos:465-525,0.308,0.0,-0.5,-0.192,Non-Allergen
antigen_26|A0AAP5J8I6|LPXTG-anchored|WP_050244699.1|tpos:1-2233,0.3,0.5,-0.5,0.3,Non-Allergen
antigen_6|Q8DNS0|Serine/threonine-protein|WP_127245077.1|tpos:1-659,0.14,0.0,-0.5,-0.36,Non-Allergen
antigen_9|Q8DPU6|Uncharacterized|WP_000743330.1|tpos:1-229,0.267,0.0,-0.5,-0.233,Non-Allergen
antigen_65|A0A060RC98|Pneumococcal|WP_127245096.1|tpos:1-162,0.241,0.0,0.0,0.241,Non-Allergen
antigen_32|A0A0T8ZSI6|YSIRK-type|WP_000657764.1|tpos:1-77,0.167,0.0,0.0,0.167,Non-Allergen
antigen_24|A0A064BZ27|Choline|WP_000728257.1|tpos:1-626,0.346,0.5,-0.5,0.346,Allergen
antigen_56|Q2XU26|Thiol-activated|WP_001284361.1|tpos:1-471,0.185,0.5,0.0,0.685,Allergen
antigen_27|A0AAP5JAE8|LPXTG-anchored|WP_033705257.1|tpos:1-1312,0.386,0.0,0.0,0.386,Allergen
antigen_10|Q8DQ07|Pneumococcal|WP_050114021.1|tpos:1-1039,0.399,0.5,0.0,0.899,Allergen
antigen_38|A0A6G2D4Q2|Pneumococcal|WP_127245047.1|tpos:1-315,0.377,0.0,0.0,0.377,Allergen
antigen_39|A0A0B7KUM4|Pneumococcal|WP_127245058.1|tpos:1-841,0.302,0.5,0.0,0.802,Allergen
antigen_13|Q8DQN7|Histidine|WP_000831078.1|tpos:1-563,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_14|Q8DQS1|A|WP_199862660.1|tpos:1-27,0.086,0.0,0.0,0.086,Non-Allergen
antigen_15|Q8DQY9|Trk|WP_125178885.1|tpos:1-479,0.012,0.0,0.0,0.012,Non-Allergen
antigen_64|Q9F2F1|Bacteriocin-like|WP_061450964.1|tpos:1-51,0.158,0.0,0.0,0.158,Non-Allergen
antigen_11|Q8DQ08|Pneumococcal|WP_127245047.1|tpos:1-848,0.343,0.5,0.0,0.843,Allergen
antigen_63|A0A0H2ZP79|BlpS|WP_050115203.1|tpos:1-112,0.135,0.0,0.0,0.135,Non-Allergen
antigen_3|Q8CZ44|Immunity|WP_050233599.1|tpos:1-68,0.102,0.0,0.0,0.102,Non-Allergen
antigen_4|Q8DMZ4|N-acetylmuramoyl-L-alanine|WP_000698571.1|tpos:1-448,0.348,0.0,-0.5,-0.152,Non-Allergen
antigen_42|Q97QS2|Enolase|WP_000022813.1|tpos:1-434,0.326,0.0,0.5,0.826,Allergen
antigen_43|U3MYA4|Pneumococcal|WP_127244975.1|tpos:44-390,0.523,0.5,0.0,1.023,Allergen
antigen_44|A0A4J1YT67|Hyaluronate|WP_050233374.1|tpos:956-1067,0.547,0.0,-0.5,0.047,Non-Allergen
antigen_45|A0AAQ2W2I1|Superoxide|WP_000974746.1|tpos:1-201,0.37,0.5,0.5,1.37,Allergen
antigen_29|A0AA86X9D8|IgA1|WP_050244769.1|tpos:647-1892,0.284,0.5,0.0,0.784,Allergen
antigen_61|Q9KGY9|Choline|WP_127244989.1|tpos:1-318,0.397,0.0,-0.5,-0.103,Non-Allergen
antigen_33|A0A0H2UR96|Glycosyltransferase|WP_050072575.1|tpos:3-278,0.195,0.5,-0.5,0.195,Non-Allergen
