,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
2,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
7,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
8,WP_000004339.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
14,WP_000007967.1,Cytoplasmic Membrane,0.0000,0.0001,0.0003,0.9996,0.0000,0.0000
16,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
19,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
22,WP_000011823.1,Cytoplasmic Membrane,0.0028,0.1995,0.0032,0.7945,0.0000,0.0000
23,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
25,WP_000019127.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
27,WP_000019743.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
31,WP_000020817.1,Extracellular,0.0021,0.9640,0.0001,0.0338,0.0000,0.0000
34,WP_000021864.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
39,WP_000024129.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
40,WP_000024827.1,Extracellular,0.0002,0.6817,0.3165,0.0016,0.0000,0.0000
41,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
42,WP_000026194.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
48,WP_000029204.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
49,WP_000029536.1,Cytoplasmic Membrane,0.0052,0.0972,0.3690,0.5286,0.0000,0.0000
53,WP_000031274.1,Cytoplasmic Membrane,0.0002,0.0029,0.4046,0.5923,0.0000,0.0000
54,WP_000031403.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9995,0.0000,0.0000
57,WP_000032525.1,Extracellular,0.0015,0.5901,0.4059,0.0025,0.0000,0.0000
60,WP_000032836.1,Cytoplasmic Membrane,0.0000,0.0025,0.0000,0.9975,0.0000,0.0000
62,WP_000033477.1,Cytoplasmic Membrane,0.0000,0.0035,0.0004,0.9960,0.0000,0.0000
