accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002683.1,0.0,0.0006,0.0,0.9994,0.0,0.0,NA,NA,NA,NA,NA
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000004344.1,0.0,0.0,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000006843.1,0.0019,0.6365,0.271,0.0906,0.0,0.0,NA,NA,NA,NA,NA
WP_000007965.1,0.0,0.0001,0.0002,0.9996,0.0,0.0,NA,NA,NA,NA,NA
WP_000009069.1,0.0,0.0015,0.0001,0.9983,0.0,0.0,NA,NA,NA,NA,NA
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,NA,NA,NA,NA,NA
WP_000011718.1,0.0023,0.1976,0.0039,0.7962,0.0,0.0,NA,NA,0.308256,0.685391,0.006353
WP_000017736.1,0.0,0.0004,0.0,0.9996,0.0,0.0,NA,NA,NA,NA,NA
WP_000019121.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000019744.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000020793.1,0.0012,0.9757,0.0001,0.0231,0.0,0.0,NA,NA,NA,NA,NA
WP_000021865.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000024135.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000024827.1,0.0002,0.6817,0.3165,0.0016,0.0,0.0,NA,NA,NA,NA,NA
WP_000025835.1,0.0,0.0735,0.0,0.9265,0.0,0.0,NA,NA,NA,NA,NA
WP_000026189.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000029200.1,0.0,0.0001,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000029540.1,0.0052,0.0954,0.3735,0.5258,0.0,0.0,NA,NA,NA,NA,NA
WP_000031260.1,0.0002,0.0045,0.4531,0.5422,0.0,0.0,NA,NA,NA,NA,NA
WP_000031403.1,0.0,0.0004,0.0,0.9995,0.0,0.0,NA,NA,NA,NA,NA
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.656308,0.343692,NA,NA,NA
WP_000033477.1,0.0,0.0035,0.0004,0.996,0.0,0.0,NA,NA,NA,NA,NA
WP_000034972.1,0.0042,0.0275,0.0001,0.9683,0.0,0.0,0.988363,0.011637,0.010963,0.988922,0.000115
WP_000035764.1,0.0002,0.0036,0.0006,0.9956,0.0,0.0,NA,NA,NA,NA,NA
WP_000036086.1,0.0009,0.898,0.0954,0.0058,0.0,0.0,NA,NA,NA,NA,NA
WP_000036325.1,0.0,0.0014,0.0001,0.9985,0.0,0.0,NA,NA,NA,NA,NA
WP_000038224.1,0.0015,0.2607,0.0001,0.7377,0.0,0.0,NA,NA,0.274838,0.724182,0.000979
WP_000038521.1,0.0176,0.1631,0.0001,0.8193,0.0,0.0,NA,NA,NA,NA,NA
WP_000038962.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000041872.1,0.0066,0.6387,0.3249,0.0298,0.0,0.0,NA,NA,NA,NA,NA
WP_000044568.1,0.8584,0.1398,0.0,0.0018,0.0,0.0,NA,NA,NA,NA,NA
WP_000046022.1,0.0,0.9987,0.0,0.0012,0.0,0.0,NA,NA,NA,NA,NA
WP_000046076.1,0.0006,0.0576,0.336,0.6058,0.0,0.0,NA,NA,NA,NA,NA
WP_000047254.1,0.0,0.0001,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000049146.1,0.0,0.0008,0.0,0.9992,0.0,0.0,NA,NA,NA,NA,NA
WP_000052076.1,0.0,0.0015,0.0,0.9985,0.0,0.0,NA,NA,NA,NA,NA
WP_000052305.1,0.0002,0.0491,0.1647,0.786,0.0,0.0,NA,NA,NA,NA,NA
WP_000054607.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000056386.1,0.0008,0.999,0.0002,0.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000060762.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000062407.1,0.0,0.0007,0.0,0.9992,0.0,0.0,NA,NA,NA,NA,NA
WP_000062644.1,0.0,0.0001,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000063550.1,0.0001,0.0068,0.0004,0.9928,0.0,0.0,NA,NA,NA,NA,NA
WP_000064770.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000066020.1,0.0001,0.0462,0.0001,0.9536,0.0,0.0,NA,NA,NA,NA,NA
WP_000066528.1,0.0011,0.0224,0.0544,0.9221,0.0,0.0,NA,NA,NA,NA,NA
WP_000067127.1,0.0206,0.9064,0.0665,0.0065,0.0,0.0,NA,NA,NA,NA,NA
WP_000067344.1,0.0007,0.0171,0.1132,0.8689,0.0,0.0,NA,NA,NA,NA,NA
WP_000069297.1,0.0081,0.107,0.0012,0.8837,0.0,0.0,NA,NA,NA,NA,NA
WP_000070637.1,0.0002,0.4535,0.0,0.5463,0.0,0.0,NA,NA,NA,NA,NA
WP_000070828.1,0.0016,0.2911,0.0,0.7072,0.0,0.0,NA,NA,NA,NA,NA
WP_000070962.1,0.0,0.0006,0.0,0.9993,0.0,0.0,NA,NA,NA,NA,NA
WP_000072151.1,0.0,0.0007,0.0,0.9992,0.0,0.0,NA,NA,NA,NA,NA
WP_000072467.1,0.0,0.0041,0.0002,0.9957,0.0,0.0,NA,NA,NA,NA,NA
WP_000074013.1,0.0033,0.0219,0.01,0.9648,0.0,0.0,NA,NA,NA,NA,NA
WP_000078097.1,0.0,0.0141,0.015,0.9709,0.0,0.0,NA,NA,NA,NA,NA
WP_000079140.1,0.0,0.0162,0.0003,0.9834,0.0,0.0,0.863929,0.136071,0.002863,0.996994,0.000143
WP_000079318.1,0.0,0.0,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
