,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
1,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
6,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
7,WP_000004344.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
13,WP_000006843.1,Extracellular,0.0019,0.6365,0.2710,0.0906,0.0000,0.0000
15,WP_000007965.1,Cytoplasmic Membrane,0.0000,0.0001,0.0002,0.9996,0.0000,0.0000
17,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
20,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
23,WP_000011718.1,Cytoplasmic Membrane,0.0023,0.1976,0.0039,0.7962,0.0000,0.0000
25,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
27,WP_000019121.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
29,WP_000019744.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
32,WP_000020793.1,Extracellular,0.0012,0.9757,0.0001,0.0231,0.0000,0.0000
35,WP_000021865.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
39,WP_000024135.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
41,WP_000024827.1,Extracellular,0.0002,0.6817,0.3165,0.0016,0.0000,0.0000
43,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
44,WP_000026189.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
51,WP_000029200.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
52,WP_000029540.1,Cytoplasmic Membrane,0.0052,0.0954,0.3735,0.5258,0.0000,0.0000
56,WP_000031260.1,Cytoplasmic Membrane,0.0002,0.0045,0.4531,0.5422,0.0000,0.0000
57,WP_000031403.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9995,0.0000,0.0000
62,WP_000032836.1,Cytoplasmic Membrane,0.0000,0.0025,0.0000,0.9975,0.0000,0.0000
63,WP_000033477.1,Cytoplasmic Membrane,0.0000,0.0035,0.0004,0.9960,0.0000,0.0000
67,WP_000034972.1,Cytoplasmic Membrane,0.0042,0.0275,0.0001,0.9683,0.0000,0.0000
70,WP_000035764.1,Cytoplasmic Membrane,0.0002,0.0036,0.0006,0.9956,0.0000,0.0000
73,WP_000036086.1,Extracellular,0.0009,0.8980,0.0954,0.0058,0.0000,0.0000
74,WP_000036325.1,Cytoplasmic Membrane,0.0000,0.0014,0.0001,0.9985,0.0000,0.0000
77,WP_000038224.1,Cytoplasmic Membrane,0.0015,0.2607,0.0001,0.7377,0.0000,0.0000
78,WP_000038521.1,Cytoplasmic Membrane,0.0176,0.1631,0.0001,0.8193,0.0000,0.0000
79,WP_000038962.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
84,WP_000041872.1,Extracellular,0.0066,0.6387,0.3249,0.0298,0.0000,0.0000
87,WP_000044568.1,Cell wall & surface,0.8584,0.1398,0.0000,0.0018,0.0000,0.0000
89,WP_000046022.1,Extracellular,0.0000,0.9987,0.0000,0.0012,0.0000,0.0000
90,WP_000046076.1,Cytoplasmic Membrane,0.0006,0.0576,0.3360,0.6058,0.0000,0.0000
94,WP_000047254.1,Cytoplasmic Membrane,0.0000,0.0001,0.0000,0.9999,0.0000,0.0000
98,WP_000049146.1,Cytoplasmic Membrane,0.0000,0.0008,0.0000,0.9992,0.0000,0.0000
104,WP_000052076.1,Cytoplasmic Membrane,0.0000,0.0015,0.0000,0.9985,0.0000,0.0000
105,WP_000052305.1,Cytoplasmic Membrane,0.0002,0.0491,0.1647,0.7860,0.0000,0.0000
108,WP_000054607.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
111,WP_000056386.1,Extracellular,0.0008,0.9990,0.0002,0.0000,0.0000,0.0000
116,WP_000060762.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
118,WP_000062407.1,Cytoplasmic Membrane,0.0000,0.0007,0.0000,0.9992,0.0000,0.0000
