accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002683.1,0.0,0.0006,0.0,0.9994,0.0,0.0,NA,NA,NA,NA,NA
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000004339.1,0.0,0.0,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000007967.1,0.0,0.0001,0.0003,0.9996,0.0,0.0,NA,NA,NA,NA,NA
WP_000009069.1,0.0,0.0015,0.0001,0.9983,0.0,0.0,NA,NA,NA,NA,NA
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,NA,NA,NA,NA,NA
WP_000011823.1,0.0028,0.1995,0.0032,0.7945,0.0,0.0,NA,NA,0.446483,0.548113,0.005404
WP_000017736.1,0.0,0.0004,0.0,0.9996,0.0,0.0,NA,NA,NA,NA,NA
WP_000019127.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000019743.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000020817.1,0.0021,0.964,0.0001,0.0338,0.0,0.0,NA,NA,NA,NA,NA
WP_000021864.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000024129.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000024827.1,0.0002,0.6817,0.3165,0.0016,0.0,0.0,NA,NA,NA,NA,NA
WP_000025835.1,0.0,0.0735,0.0,0.9265,0.0,0.0,NA,NA,NA,NA,NA
WP_000026194.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000029204.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000029536.1,0.0052,0.0972,0.369,0.5286,0.0,0.0,NA,NA,NA,NA,NA
WP_000031274.1,0.0002,0.0029,0.4046,0.5923,0.0,0.0,NA,NA,NA,NA,NA
WP_000031403.1,0.0,0.0004,0.0,0.9995,0.0,0.0,NA,NA,NA,NA,NA
WP_000032525.1,0.0015,0.5901,0.4059,0.0025,0.0,0.0,NA,NA,NA,NA,NA
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.656308,0.343692,NA,NA,NA
WP_000033477.1,0.0,0.0035,0.0004,0.996,0.0,0.0,NA,NA,NA,NA,NA
WP_000034961.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.985984,0.014016,0.013275,0.9866,0.000125
WP_000035773.1,0.0002,0.0036,0.0006,0.9956,0.0,0.0,NA,NA,NA,NA,NA
WP_000036086.1,0.0009,0.898,0.0954,0.0058,0.0,0.0,NA,NA,NA,NA,NA
WP_000036329.1,0.0,0.001,0.0001,0.9989,0.0,0.0,NA,NA,NA,NA,NA
WP_000037091.1,0.0,0.0001,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000037433.1,0.0011,0.2492,0.0,0.7497,0.0,0.0,NA,NA,0.487492,0.510372,0.002136
WP_000038238.1,0.0013,0.372,0.0005,0.6263,0.0,0.0,NA,NA,NA,NA,NA
WP_000038541.1,0.0218,0.1573,0.0001,0.8208,0.0,0.0,NA,NA,NA,NA,NA
WP_000038951.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000041898.1,0.0001,0.9994,0.0,0.0004,0.0,0.0,0.862267,0.137733,0.070669,0.917008,0.012322
WP_000044589.1,0.8622,0.1351,0.0,0.0026,0.0,0.0,NA,NA,NA,NA,NA
WP_000046023.1,0.0,0.9993,0.0,0.0006,0.0,0.0,NA,NA,NA,NA,NA
WP_000046075.1,0.0007,0.0555,0.3175,0.6263,0.0,0.0,NA,NA,NA,NA,NA
WP_000047255.1,0.0,0.0001,0.0,0.9999,0.0,0.0,NA,NA,NA,NA,NA
WP_000049154.1,0.0,0.0009,0.0,0.9991,0.0,0.0,NA,NA,NA,NA,NA
WP_000052076.1,0.0,0.0015,0.0,0.9985,0.0,0.0,NA,NA,NA,NA,NA
WP_000052317.1,0.0006,0.0344,0.1974,0.7677,0.0,0.0,NA,NA,NA,NA,NA
WP_000054609.1,0.0,0.0,0.0,1.0,0.0,0.0,NA,NA,NA,NA,NA
WP_000059054.1,0.0001,0.0113,0.0,0.9886,0.0,0.0,NA,NA,NA,NA,NA
WP_000060780.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000062407.1,0.0,0.0007,0.0,0.9992,0.0,0.0,NA,NA,NA,NA,NA
WP_000063582.1,0.0001,0.008,0.0004,0.9916,0.0,0.0,NA,NA,NA,NA,NA
WP_000064778.1,0.0,0.0002,0.0,0.9998,0.0,0.0,NA,NA,NA,NA,NA
WP_000066020.1,0.0001,0.0462,0.0001,0.9536,0.0,0.0,NA,NA,NA,NA,NA
WP_000066517.1,0.001,0.0235,0.0545,0.921,0.0,0.0,NA,NA,NA,NA,NA
WP_000067138.1,0.017,0.9186,0.0595,0.005,0.0,0.0,NA,NA,NA,NA,NA
WP_000067350.1,0.0007,0.0175,0.1213,0.8605,0.0,0.0,NA,NA,NA,NA,NA
WP_000069296.1,0.0104,0.1089,0.0014,0.8793,0.0,0.0,NA,NA,NA,NA,NA
WP_000070649.1,0.0001,0.4436,0.0,0.5563,0.0,0.0,NA,NA,NA,NA,NA
WP_000070814.1,0.0,0.9999,0.0,0.0001,0.0,0.0,NA,NA,NA,NA,NA
WP_000070829.1,0.0017,0.2988,0.0,0.6995,0.0,0.0,NA,NA,NA,NA,NA
WP_000070966.1,0.0,0.0006,0.0,0.9994,0.0,0.0,NA,NA,NA,NA,NA
WP_000072145.1,0.0,0.0005,0.0,0.9995,0.0,0.0,NA,NA,NA,NA,NA
WP_000072274.1,0.0,0.0007,0.0009,0.9984,0.0,0.0,NA,NA,NA,NA,NA
WP_000072445.1,0.0,0.002,0.0001,0.9979,0.0,0.0,NA,NA,NA,NA,NA
WP_000072842.1,0.0001,0.0383,0.0001,0.9616,0.0,0.0,NA,NA,NA,NA,NA
