Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|CAX11217.1|tpos:1-416,0.06,0.0,-0.5,-0.44,Non-Allergen
"antigen_2|O84737|6,7-dimethyl-8-ribityllumazine|CAX11191.1|tpos:1-157",0.102,0.0,-0.5,-0.398,Non-Allergen
antigen_62|P08780|Major|CAX11140.1|tpos:1-394,0.296,0.0,0.0,0.296,Non-Allergen
antigen_63|B0B8E9|DNA|CAX11032.1|tpos:1-576,0.009,0.0,-0.5,-0.491,Non-Allergen
"antigen_88|Q3KM93|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate|CAX10718.1|tpos:1-483",0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_93|O84096|tRNA|CAX10541.1|tpos:1-241,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_1|Q3KLP6|Cytidylate|CAX10908.1|tpos:1-216,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_172|B0BAX0|4-hydroxy-3-methylbut-2-enyl|CAX11323.1|tpos:1-307,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_173|Q3KLU5|Lipoprotein|CAX10861.1|tpos:1-167,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_174|B0B825|Cytidylate|CAX10908.1|tpos:1-216,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_166|B0B9Y6|UDP-3-O-acyl-N-acetylglucosamine|CAX10990.1|tpos:1-286,0.075,0.0,0.0,0.075,Non-Allergen
antigen_152|B0BBT7|V-type|CAX10755.1|tpos:1-203,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_153|B0B9T4|Putative|CAX10632.1|tpos:1-148,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_154|O84071|Probable|CAX10515.1|tpos:1-259,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_155|Q3KL90|dITP/XTP|CAX11063.1|tpos:1-209,0.186,0.0,-0.5,-0.314,Non-Allergen
antigen_41|B0B7P9|1-deoxy-D-xylulose-5-phosphate|CAX10782.1|tpos:1-640,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_186|B0B961|Transcription|CAX11294.1|tpos:1-168,0.08,0.0,-0.5,-0.42,Non-Allergen
antigen_187|B0B8T3|Trigger|CAX11166.1|tpos:1-442,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_188|O84299|Ribonuclease|CAX10746.1|tpos:1-231,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_197|Q3KMH8|Putative|CAX10632.1|tpos:1-148,0.061,0.0,-0.5,-0.439,Non-Allergen
antigen_78|O84294|Deoxyuridine|CAX10741.1|tpos:1-145,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_79|Q3KM40|Elongation|CAX10771.1|tpos:1-394,0.114,0.0,-0.5,-0.386,Non-Allergen
antigen_80|B0BAF3|tRNA|CAX11157.1|tpos:1-444,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_145|Q3KLJ0|DNA-directed|CAX10964.1|tpos:1-377,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_146|O84847|tRNA(Ile)-lysidine|CAX11302.1|tpos:1-321,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_10|B0B9T8|Thymidylate|CAX10636.1|tpos:1-203,0.251,0.0,-0.5,-0.249,Non-Allergen
"antigen_11|B0B8V8|6,7-dimethyl-8-ribityllumazine|CAX11191.1|tpos:1-157",0.102,0.0,-0.5,-0.398,Non-Allergen
antigen_12|B0B7S2|Peptide|CAX10805.1|tpos:1-181,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_89|Q3KLZ0|3-phosphoshikimate|CAX10818.1|tpos:1-440,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_90|B0B876|Crossover|CAX10959.1|tpos:1-170,0.34,0.0,-0.5,-0.16,Non-Allergen
antigen_91|B0B9U3|Queuine|CAX10641.1|tpos:1-372,0.093,0.0,-0.5,-0.407,Non-Allergen
antigen_102|B0BCE7|Small|CAX10965.1|tpos:1-132,0.206,0.0,0.0,0.206,Non-Allergen
antigen_103|O84512|Uncharacterized|CAX10961.1|tpos:1-288,0.076,0.0,0.0,0.076,Non-Allergen
antigen_104|B0B891|Large|CAX10974.1|tpos:1-111,0.213,0.0,-0.5,-0.287,Non-Allergen
antigen_105|Q3KLY3|Pyruvoyl-dependent|CAX10825.1|tpos:1-195,0.556,0.5,0.0,1.056,Allergen
antigen_44|O84296|Superoxide|CAX10743.1|tpos:1-206,0.253,0.0,0.5,0.753,Allergen
antigen_45|B0B894|Large|CAX10977.1|tpos:1-72,0.401,0.0,0.0,0.401,Allergen
antigen_46|O84172|Tryptophan|CAX10617.1|tpos:1-392,0.097,0.5,0.0,0.597,Allergen
antigen_124|Q3KKG9|Deubiquitinase|CAX11331.1|tpos:1-339,0.097,0.5,0.0,0.597,Allergen
antigen_53|B0B9J4|Large|CAX10533.1|tpos:1-89,0.128,0.0,-0.5,-0.372,Non-Allergen
antigen_126|B0BAL6|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|CAX11220.1|tpos:1-352,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_127|Q3KM52|V-type|CAX10759.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_128|B0B7M6|V-type|CAX10759.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_129|O84253|Membrane|CAX10700.1|tpos:1-787,0.1,0.5,-0.5,0.1,Non-Allergen
antigen_37|B0B8Y3|Phospho-N-acetylmuramoyl-pentapeptide-transferase|CAX11216.1|tpos:1-336,0.096,0.5,-0.5,0.096,Non-Allergen
"antigen_38|O84502|ADP,ATP|CAX10951.1|tpos:1-540",0.029,0.5,-0.5,0.029,Non-Allergen
antigen_179|O84860|UPF0056|CAX11315.1|tpos:1-204,0.1,0.0,0.0,0.1,Non-Allergen
antigen_180|P66123|Large|CAX10872.1|tpos:1-83,0.218,0.0,0.0,0.218,Non-Allergen
antigen_181|O84532|Large|CAX10984.1|tpos:1-222,0.216,0.0,-0.5,-0.284,Non-Allergen
antigen_182|B0BBT8|V-type|CAX10756.1|tpos:1-438,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_32|B0BCA8|DNA|CAX10926.1|tpos:1-243,0.075,0.5,0.0,0.575,Allergen
antigen_33|Q3KKP0|Small|CAX11261.1|tpos:1-112,0.143,0.0,-0.5,-0.357,Non-Allergen
antigen_34|O84530|Large|CAX10982.1|tpos:1-284,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_16|B0B7R5|Ribonuclease|CAX10798.1|tpos:1-304,0.056,0.5,-0.5,0.056,Non-Allergen
antigen_17|O84077|DNA|CAX10521.1|tpos:1-365,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_50|B0B880|Large|CAX10963.1|tpos:1-141,0.186,0.0,-0.5,-0.314,Non-Allergen
antigen_194|B0BAB7|Glutamyl-tRNA|CAX11121.1|tpos:1-335,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_195|Q3KMS5|Ribosome-binding|CAX10542.1|tpos:1-123,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_196|O84508|Nucleoside|CAX10957.1|tpos:1-141,0.372,0.0,0.5,0.872,Allergen
antigen_51|O84192|DNA|CAX10637.1|tpos:1-836,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_115|B0BC28|Proline--tRNA|CAX10846.1|tpos:1-581,0.135,0.5,-0.5,0.135,Non-Allergen
antigen_111|O84796|UvrABC|CAX11250.1|tpos:1-579,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_120|B0B8Y7|UDP-N-acetylglucosamine--N-acetylmuramyl-(pentapeptide)|CAX11220.1|tpos:1-352,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_121|P0DJI2|Large|CAX10898.1|tpos:7-553,0.6,0.5,0.0,1.1,Allergen
antigen_39|P38002|ATP-dependent|CAX10886.1|tpos:1-192,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_54|B0B899|Large|CAX10982.1|tpos:1-284,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_55|B0BCG3|Small|CAX10981.1|tpos:1-88,0.256,0.0,0.0,0.256,Non-Allergen
antigen_56|Q3KLG6|Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine|CAX10988.1|tpos:1-280,0.321,0.0,-0.5,-0.179,Non-Allergen
antigen_85|O84589|Tryptophan--tRNA|CAX11042.1|tpos:1-346,0.014,0.5,-0.5,0.014,Non-Allergen
antigen_86|O84672|Uncharacterized|CAX11124.1|tpos:1-83,0.177,0.0,0.0,0.177,Non-Allergen
antigen_149|Q3KM44|Large|CAX10767.1|tpos:1-232,0.28,0.0,0.0,0.28,Non-Allergen
antigen_150|Q3KM39|Translation|CAX10772.1|tpos:1-73,0.101,0.0,0.0,0.101,Non-Allergen
antigen_151|O84098|Translation|CAX10543.1|tpos:1-892,0.084,0.5,-0.5,0.084,Non-Allergen
antigen_167|B0BA28|DNA|CAX11032.1|tpos:1-576,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_168|Q06280|Histone-like|CAX10493.1|tpos:3-194,0.318,0.0,0.0,0.318,Allergen
antigen_171|O84834|Ribonucleoside-diphosphate|CAX11289.1|tpos:1-1047,0.019,0.5,-0.5,0.019,Non-Allergen
antigen_59|Q3KM43|Large|CAX10768.1|tpos:1-141,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_60|B0B9K4|Translation|CAX10543.1|tpos:1-892,0.084,0.5,-0.5,0.084,Non-Allergen
antigen_47|B0B964|Large|CAX11297.1|tpos:1-123,0.139,0.0,0.0,0.139,Non-Allergen
antigen_48|B0BB18|Methionine--tRNA|CAX10478.1|tpos:1-550,0.096,0.0,-0.5,-0.404,Non-Allergen
antigen_8|B0B8I2|Uracil-DNA|CAX11065.1|tpos:1-229,0.177,0.0,-0.5,-0.323,Non-Allergen
antigen_9|B0BAI4|Serine--tRNA|CAX11188.1|tpos:1-428,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_71|Q3KN19|Glutamyl-tRNA(Gln)|CAX10449.1|tpos:1-491,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_72|O84005|Glutamyl-tRNA(Gln)|CAX10448.1|tpos:1-100,0.271,0.0,0.0,0.271,Non-Allergen
antigen_142|O84222|Flavin|CAX10668.1|tpos:1-192,0.051,0.0,0.0,0.051,Non-Allergen
antigen_143|O84179|Probable|CAX10624.1|tpos:1-135,0.183,0.0,-0.5,-0.317,Non-Allergen
antigen_144|Q3KKK3|Phenylalanine--tRNA|CAX11298.1|tpos:1-342,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_13|B0BC41|Transcriptional|CAX10859.1|tpos:1-154,0.058,0.0,0.0,0.058,Non-Allergen
antigen_14|P0CE08|DNA-directed|CAX10964.1|tpos:1-377,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_189|B0B874|Nucleoside|CAX10957.1|tpos:1-141,0.372,0.0,0.5,0.872,Allergen
antigen_190|B0B971|Polyribonucleotide|CAX11304.1|tpos:1-695,0.05,0.5,0.0,0.55,Allergen
antigen_28|B0B999|Deubiquitinase|CAX11331.1|tpos:1-339,0.097,0.5,0.0,0.597,Allergen
antigen_73|B0B950|Succinate--CoA|CAX11283.1|tpos:1-386,0.084,0.0,0.0,0.084,Non-Allergen
antigen_74|O84127|Large|CAX10572.1|tpos:1-150,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_178|O84413|Lipoprotein|CAX10861.1|tpos:1-167,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_101|Q3KKR1|Lysine--tRNA|CAX11240.1|tpos:1-526,0.079,0.0,-0.5,-0.421,Non-Allergen
antigen_42|O84404|Uncharacterized|CAX10852.1|tpos:1-328,0.143,0.0,0.0,0.143,Non-Allergen
antigen_43|Q3KLN6|2-C-methyl-D-erythritol|CAX10918.1|tpos:1-219,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_61|P0CE22|Glycine--tRNA|CAX11256.1|tpos:1-1003,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_21|B0B918|DNA|CAX11251.1|tpos:1-820,0.039,0.5,-0.5,0.039,Non-Allergen
antigen_6|B0BAQ6|Peptidyl-tRNA|CAX11260.1|tpos:1-179,0.074,0.0,-0.5,-0.426,Non-Allergen
antigen_7|Q3KM75|tRNA-specific|CAX10736.1|tpos:1-358,0.218,0.0,-0.5,-0.282,Non-Allergen
antigen_3|B0B8U0|Glycerol-3-phosphate|CAX11173.1|tpos:1-334,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_18|Q3KMF3|Leucine--tRNA|CAX10657.1|tpos:1-819,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_68|Q3KLT5|GTPase|CAX10871.1|tpos:1-335,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_69|B0BAU3|Large|CAX11297.1|tpos:1-123,0.139,0.0,0.0,0.139,Non-Allergen
antigen_70|Q3KKL0|tRNA|CAX11291.1|tpos:6-224,0.428,0.0,-0.5,-0.072,Non-Allergen
antigen_94|B0B897|Large|CAX10980.1|tpos:1-111,0.107,0.0,-0.5,-0.393,Non-Allergen
antigen_95|O84289|tRNA-specific|CAX10736.1|tpos:1-358,0.218,0.0,-0.5,-0.282,Non-Allergen
antigen_87|B0BAF8|GTPase|CAX11162.1|tpos:1-490,0.008,0.5,-0.5,0.008,Non-Allergen
antigen_116|O84322|Transcription|CAX10769.1|tpos:1-182,0.343,0.0,0.0,0.343,Allergen
antigen_117|O84350|Ribonuclease|CAX10798.1|tpos:1-304,0.056,0.5,-0.5,0.056,Non-Allergen
antigen_77|Q3KM46|Large|CAX10765.1|tpos:1-130,0.466,0.5,-0.5,0.466,Allergen
antigen_40|Q3KM31|Exodeoxyribonuclease|CAX10779.1|tpos:1-516,0.112,0.0,-0.5,-0.388,Non-Allergen
antigen_64|B0B960|UDP-N-acetylenolpyruvoylglucosamine|CAX11293.1|tpos:1-291,0.193,0.0,-0.5,-0.307,Non-Allergen
antigen_65|O84842|Large|CAX11297.1|tpos:1-123,0.139,0.0,0.0,0.139,Non-Allergen
antigen_66|B0B910|Ribonuclease|CAX11243.1|tpos:1-120,0.143,0.0,0.0,0.143,Non-Allergen
antigen_67|B0B875|Holliday|CAX10958.1|tpos:1-200,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_20|O84421|Probable|CAX10869.1|tpos:1-236,0.09,0.0,-0.5,-0.41,Non-Allergen
antigen_156|B0BCE1|Crossover|CAX10959.1|tpos:1-170,0.34,0.0,-0.5,-0.16,Non-Allergen
antigen_157|O84456|Isoprenyl|CAX10906.1|tpos:1-253,0.005,0.0,-0.5,-0.495,Non-Allergen
antigen_158|B0BBU1|V-type|CAX10759.1|tpos:1-208,0.08,0.0,0.0,0.08,Non-Allergen
antigen_159|Q3KL16|Uridylate|CAX11137.1|tpos:1-245,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_198|B0B896|Small|CAX10979.1|tpos:1-224,0.13,0.0,-0.5,-0.37,Non-Allergen
antigen_199|B0BB32|Probable|CAX10492.1|tpos:1-499,0.32,0.0,-0.5,-0.18,Non-Allergen
antigen_175|B0B846|Putative|CAX10929.1|tpos:1-104,0.056,0.0,-0.5,-0.444,Non-Allergen
antigen_176|Q3KLM8|DNA|CAX10926.1|tpos:1-243,0.075,0.5,0.0,0.575,Allergen
