Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_155|Q3KL90|dITP/XTP|WP_009871973.1|tpos:1-209,0.186,0.0,-0.5,-0.314,Non-Allergen
antigen_156|B0BCE1|Crossover|WP_011324756.1|tpos:1-170,0.335,0.0,-0.5,-0.165,Non-Allergen
antigen_157|O84456|Isoprenyl|WP_009871807.1|tpos:1-253,0.005,0.0,-0.5,-0.495,Non-Allergen
antigen_195|Q3KMS5|Ribosome-binding|WP_011324565.1|tpos:1-123,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_96|O84509|Holliday|WP_012727931.1|tpos:1-200,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_97|B0BBV0|Large|WP_009871666.1|tpos:1-141,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_145|Q3KLJ0|DNA-directed|WP_009871871.1|tpos:1-377,0.013,0.0,-0.5,-0.487,Non-Allergen
antigen_154|O84071|Probable|WP_012727797.1|tpos:1-259,0.054,0.0,-0.5,-0.446,Non-Allergen
antigen_172|B0BAX0|4-hydroxy-3-methylbut-2-enyl|WP_011324904.1|tpos:1-307,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_176|Q3KLM8|DNA|WP_069568457.1|tpos:1-243,0.067,0.5,0.0,0.567,Allergen
antigen_183|O84130|Adenylate|WP_069568347.1|tpos:1-245,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_190|B0B971|Polyribonucleotide|WP_069568591.1|tpos:1-695,0.049,0.5,0.0,0.549,Allergen
antigen_52|B0BB05|Isoleucine--tRNA|WP_069568310.1|tpos:1-1036,0.054,0.0,-0.5,-0.446,Non-Allergen
"antigen_38|O84502|ADP,ATP|WP_009871857.1|tpos:1-540",0.029,0.5,-0.5,0.029,Non-Allergen
antigen_87|B0BAF8|GTPase|WP_011324840.1|tpos:1-490,0.008,0.5,-0.5,0.008,Non-Allergen
"antigen_88|Q3KM93|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate|WP_009871616.1|tpos:1-483",0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_121|P0DJI2|Large|WP_009873002.1|tpos:7-553,0.6,0.5,0.0,1.1,Allergen
antigen_123|P0DPS7|Serine/threonine-protein|WP_414038921.1|tpos:1-614,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_59|Q3KM43|Large|WP_009871666.1|tpos:1-141,0.311,0.0,-0.5,-0.189,Non-Allergen
antigen_124|Q3KKG9|Deubiquitinase|WP_011324910.1|tpos:1-339,0.103,0.5,0.0,0.603,Allergen
antigen_84|C4PQQ9|Deubiquitinase|WP_011324910.1|tpos:1-339,0.103,0.5,0.0,0.603,Allergen
antigen_116|O84322|Transcription|WP_009872557.1|tpos:1-182,0.341,0.0,0.0,0.341,Allergen
antigen_119|O84369|4-hydroxy-tetrahydrodipicolinate|WP_011324702.1|tpos:8-253,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_130|B0B9B0|Glutamyl-tRNA(Gln)|WP_009871349.1|tpos:1-491,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_39|P38002|ATP-dependent|WP_009871785.1|tpos:1-192,0.042,0.0,-0.5,-0.458,Non-Allergen
antigen_4|B0BAL3|UDP-N-acetylmuramoylalanine--D-glutamate|WP_009872138.1|tpos:1-416,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_54|B0B899|Large|WP_009871889.1|tpos:1-284,0.173,0.0,-0.5,-0.327,Non-Allergen
antigen_55|B0BCG3|Small|WP_009871888.1|tpos:1-88,0.256,0.0,0.0,0.256,Non-Allergen
antigen_56|Q3KLG6|Acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine|WP_009872289.1|tpos:1-280,0.321,0.0,-0.5,-0.179,Non-Allergen
antigen_89|Q3KLZ0|3-phosphoshikimate|WP_009871719.1|tpos:1-440,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_82|O84719|Glycerol-3-phosphate|WP_010725315.1|tpos:1-334,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_83|B0B887|Large|WP_414038892.1|tpos:1-123,0.149,0.0,0.0,0.149,Non-Allergen
