Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_10|O25658|7-alpha-hydroxysteroid|XNZ28432.1|tpos:1-262,0.488,0.0,0.5,0.988,Allergen
antigen_13|P56130|Putative|XNZ28560.1|tpos:1-418,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_25|P0A0R3|Co-chaperonin|XNZ28815.1|tpos:1-118,0.554,0.0,0.0,0.554,Allergen
antigen_5|O25537|Lipid-A-disaccharide|XNZ29676.1|tpos:1-360,0.082,0.0,-0.5,-0.418,Non-Allergen
antigen_14|A0A1Q9J9W6|Outer|XNZ28612.1|tpos:308-479,0.25,0.0,0.0,0.25,Non-Allergen
antigen_16|A0A060PRJ6|Outer|XNZ29140.1|tpos:1-385,0.16,0.5,0.0,0.66,Allergen
antigen_23|Q70NT5|Heat|XNZ28816.1|tpos:94-273,0.237,0.0,0.0,0.237,Non-Allergen
antigen_24|J0IQC3|Outer|XNZ28817.1|tpos:37-667,0.232,0.0,0.0,0.232,Non-Allergen
antigen_11|O25794|tRNA(Ile)-lysidine/2-thiocytidine|XNZ29133.1|tpos:1-253,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_19|A0A060CUG4|Cag|XNZ29287.1|tpos:1-440,0.091,0.0,0.0,0.091,Non-Allergen
antigen_18|A0A238GVV7|KatA|XNZ29682.1|tpos:1-291,0.152,0.0,0.0,0.152,Non-Allergen
antigen_21|A0A060PT92|LPP20|XNZ28949.1|tpos:1-175,0.196,0.5,0.0,0.696,Allergen
antigen_30|Q9ZHT1|Vacuolating|XNZ29474.1|tpos:2818-3188,0.221,0.0,0.0,0.221,Non-Allergen
antigen_20|P43313|DNA|XNZ28599.1|tpos:1-144,0.468,0.0,-0.5,-0.032,Non-Allergen
antigen_1|O25233|Potassium|XNZ29387.1|tpos:1-378,0.042,0.0,0.0,0.042,Non-Allergen
antigen_8|O25606|Conserved|XNZ29320.1|tpos:1-218,0.177,0.0,-0.5,-0.323,Non-Allergen
antigen_6|O25571|Outer|XNZ29367.1|tpos:1-530,0.241,0.5,0.0,0.741,Allergen
antigen_26|Q6DT22|Adhesin|XNZ28817.1|tpos:146-334,0.178,0.0,0.0,0.178,Non-Allergen
antigen_27|Q9AI97|BabB|XNZ28804.1|tpos:167-332,0.374,0.5,0.0,0.874,Allergen
antigen_28|Q7X2K0|SabA|XNZ28817.1|tpos:1-88,0.206,0.0,0.0,0.206,Non-Allergen
antigen_7|O25578|Uncharacterized|XNZ29363.1|tpos:1-229,0.077,0.0,-0.5,-0.423,Non-Allergen
antigen_12|P56105|DNA|XNZ28936.1|tpos:1-897,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_17|A0A238GT21|Outer|XNZ28817.1|tpos:37-368,0.191,0.0,0.0,0.191,Non-Allergen
antigen_0|O25204|Competence|XNZ28810.1|tpos:1-87,0.094,0.0,0.0,0.094,Non-Allergen
antigen_22|G1UIZ3|Neutrophil-activating|XNZ28599.1|tpos:1-144,0.468,0.0,-0.5,-0.032,Non-Allergen
antigen_29|Q75X90|Cag|XNZ28977.1|tpos:17-287,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_3|O25522|Conserved|XNZ29665.1|tpos:1-226,0.052,0.0,0.0,0.052,Non-Allergen
antigen_4|O25532|Urease|XNZ29670.1|tpos:1-253,0.154,0.0,0.0,0.154,Non-Allergen
antigen_2|O25249|Plasminogen-binding|XNZ29403.1|tpos:1-449,0.176,0.5,0.0,0.676,Allergen
antigen_15|A0A219MBY0|DupA|XNZ28809.1|tpos:177-787,0.089,0.0,-0.5,-0.411,Non-Allergen
