# SignalP-5.0	Organism: gram+	Timestamp: 20260324090102
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_183|A0AAX2K353||WP_000649898.1|tpos:1-485	SP(Sec/SPI)	0.993231	0.003084	0.002493	0.001192	CS pos: 28-29. AYA-EQ. Pr: 0.9794
antigen_184|A0A391M7N5||WP_000668339.1|tpos:1-208	LIPO(Sec/SPII)	0.000447	0.000065	0.999242	0.000245	CS pos: 19-20. LAG-CT. Pr: 0.9999
antigen_801|A0AAE8TJ59|Thermonuclease|WP_001643461.1|tpos:1-228	SP(Sec/SPI)	0.539452	0.065222	0.064329	0.330997	CS pos: 60-61. ANA-SQ. Pr: 0.4620
antigen_802|A0AAE3D601||WP_000913238.1|tpos:8-301	LIPO(Sec/SPII)	0.015057	0.001193	0.772486	0.211264	CS pos: 10-11. LSG-CS. Pr: 0.7754
antigen_897|Q2G0X7|Staphylococcal|WP_000784523.1|tpos:1-304	SP(Sec/SPI)	0.973277	0.016493	0.007923	0.002306	CS pos: 30-31. ANA-EV. Pr: 0.8099
antigen_898|Q2G1S8|Staphylococcal|WP_000784523.1|tpos:1-304	SP(Sec/SPI)	0.973277	0.016493	0.007923	0.002306	CS pos: 30-31. ANA-EV. Pr: 0.8099
antigen_899|A0A0D6GAM0||WP_000784258.1|tpos:1-234	SP(Sec/SPI)	0.992197	0.003563	0.003593	0.000647	CS pos: 30-31. VNA-SE. Pr: 0.9476
antigen_935|X5DYK9||WP_001224174.1|tpos:1-238	SP(Sec/SPI)	0.605465	0.000667	0.390186	0.003682	CS pos: 38-39. AKA-YH. Pr: 0.2095
antigen_936|A0A0D6HSA5||WP_000739587.1|tpos:1-240	SP(Sec/SPI)	0.755637	0.005716	0.227577	0.011071	CS pos: 38-39. AKA-YN. Pr: 0.3181
antigen_937|A0A2I7YBL5||WP_000432070.1|tpos:23-518	SP(Sec/SPI)	0.846276	0.005028	0.034606	0.114091	CS pos: 21-22. AGA-YS. Pr: 0.3698
antigen_472|A0A166Q7U6|Fibrinogen-binding|WP_000791575.1|tpos:1-165	SP(Sec/SPI)	0.993110	0.002818	0.003571	0.000501	CS pos: 29-30. ADA-SE. Pr: 0.9034
antigen_473|A0A641A9N7|Fibrinogen-binding|WP_000791575.1|tpos:1-165	SP(Sec/SPI)	0.993110	0.002818	0.003571	0.000501	CS pos: 29-30. ADA-SE. Pr: 0.9034
antigen_800|A0AAX2K1M1||WP_000835979.1|tpos:1-261	LIPO(Sec/SPII)	0.001329	0.000041	0.998479	0.000150	CS pos: 22-23. VTS-CD. Pr: 0.9989
antigen_889|A0A0D6GBZ3|Deferrochelatase|WP_000186228.1|tpos:1-409	TAT(Tat/SPI)	0.002405	0.986791	0.004026	0.006778	CS pos: 41-42. MWS-FK. Pr: 0.3811
antigen_208|A0AAJ4YZ65||WP_000669729.1|tpos:1-689	SP(Sec/SPI)	0.892424	0.004040	0.099119	0.004418	CS pos: 30-31. ASA-AA. Pr: 0.5720
antigen_209|A0A3A2ISC3||WP_000778481.1|tpos:1-231	SP(Sec/SPI)	0.958060	0.003705	0.033837	0.004398	CS pos: 30-31. VNA-KV. Pr: 0.6410
antigen_210|A0A641A8Q8||WP_000778481.1|tpos:1-231	SP(Sec/SPI)	0.958060	0.003705	0.033837	0.004398	CS pos: 30-31. VNA-KV. Pr: 0.6410
antigen_920|X5E0C0|Lipoprotein|WP_000732338.1|tpos:1-273	LIPO(Sec/SPII)	0.000536	0.000065	0.999264	0.000136	CS pos: 19-20. LAA-CG. Pr: 0.9997
antigen_968|A0A068E6F4||WP_001573519.1|tpos:1-41	OTHER	0.046746	0.001356	0.021417	0.930482	
antigen_993|A0A0D3QB03||WP_000604727.1|tpos:1-66	OTHER	0.261180	0.001766	0.195018	0.542036	
antigen_994|H6UH57||WP_029651361.1|tpos:5-476	SP(Sec/SPI)	0.994550	0.002314	0.002031	0.001106	CS pos: 28-29. AIA-QS. Pr: 0.8321
antigen_995|Q2FUY2|Clumping|WP_000745917.1|tpos:1-873	SP(Sec/SPI)	0.906361	0.066604	0.002940	0.024095	CS pos: 44-45. AQA-SE. Pr: 0.9474
antigen_930|A0A0D6HUN3||WP_001242414.1|tpos:1-244	OTHER	0.307895	0.000596	0.021595	0.669915	
antigen_931|A0A0D3Q6F6|Fibrinogen-binding|WP_000739205.1|tpos:1-105	SP(Sec/SPI)	0.984036	0.004553	0.008897	0.002514	CS pos: 29-30. SHA-QT. Pr: 0.7814
antigen_932|A0A0D3Q6D3|FPRL1|WP_029265411.1|tpos:10-134	SP(Sec/SPI)	0.823542	0.004658	0.013062	0.158737	CS pos: 27-28. AKA-FF. Pr: 0.7288
antigen_285|A0A166DEL7||WP_000728052.1|tpos:1-341	SP(Sec/SPI)	0.996721	0.000602	0.001888	0.000790	CS pos: 26-27. ANA-ST. Pr: 0.9549
antigen_286|A0AAE8TIB6||WP_000728052.1|tpos:1-341	SP(Sec/SPI)	0.996721	0.000602	0.001888	0.000790	CS pos: 26-27. ANA-ST. Pr: 0.9549
antigen_287|A0A641A6V2||WP_000728052.1|tpos:1-341	SP(Sec/SPI)	0.996721	0.000602	0.001888	0.000790	CS pos: 26-27. ANA-ST. Pr: 0.9549
antigen_288|A0A3A2ILB4||WP_000728052.1|tpos:1-341	SP(Sec/SPI)	0.996721	0.000602	0.001888	0.000790	CS pos: 26-27. ANA-ST. Pr: 0.9549
antigen_380|A0A8G2MAE5|Probable|WP_000751265.1|tpos:1-233	SP(Sec/SPI)	0.994875	0.002931	0.001546	0.000648	CS pos: 29-30. AHA-AE. Pr: 0.9855
antigen_679|Q57227||WP_001056917.1|tpos:1-325	SP(Sec/SPI)	0.990445	0.002702	0.004977	0.001876	CS pos: 26-27. ANA-EG. Pr: 0.8685
antigen_938|A0A0D6HQY2|Probable|WP_001041658.1|tpos:1-372	SP(Sec/SPI)	0.994665	0.003738	0.000806	0.000790	CS pos: 38-39. AYA-DE. Pr: 0.9957
antigen_851|A0A1S5YLW8||WP_001056917.1|tpos:1-324	SP(Sec/SPI)	0.990445	0.002702	0.004977	0.001876	CS pos: 26-27. ANA-EG. Pr: 0.8685
antigen_289|A0A7U7ET86|Immunoglobulin|WP_000728715.1|tpos:1-516	SP(Sec/SPI)	0.986537	0.008981	0.003804	0.000678	CS pos: 36-37. ANA-AQ. Pr: 0.9494
antigen_290|P0A015|Immunoglobulin|WP_000728715.1|tpos:1-516	SP(Sec/SPI)	0.986537	0.008981	0.003804	0.000678	CS pos: 36-37. ANA-AQ. Pr: 0.9494
antigen_291|A0A0Z0ILF4|Type|WP_000728940.1|tpos:1-1009	SP(Sec/SPI)	0.475242	0.000917	0.051651	0.472191	CS pos: 32-33. KYG-DQ. Pr: 0.0925
antigen_909|Q2G0L4|Serine-aspartate|WP_000745917.1|tpos:630-870	OTHER	0.031474	0.074080	0.018188	0.876257	
antigen_491|W8U915||WP_000808817.1|tpos:1-76	OTHER	0.112464	0.005356	0.103092	0.779089	
antigen_492|A0AAN1ZDM5||WP_000810443.1|tpos:1-196	LIPO(Sec/SPII)	0.273713	0.001051	0.406807	0.318428	CS pos: 22-23. LIG-YQ. Pr: 0.2194
antigen_493|B6V385||WP_000810443.1|tpos:1-196	LIPO(Sec/SPII)	0.273713	0.001051	0.406807	0.318428	CS pos: 22-23. LIG-YQ. Pr: 0.2194
antigen_494|A0A166J6C2||WP_000813311.1|tpos:1-170	SP(Sec/SPI)	0.962306	0.010689	0.020477	0.006528	CS pos: 33-34. AHA-EQ. Pr: 0.9345
antigen_495|W8UBK2|succinate|WP_000818278.1|tpos:1-588	SP(Sec/SPI)	0.583697	0.035658	0.011556	0.369089	CS pos: 22-23. IKA-AE. Pr: 0.4744
antigen_358|A0A2U0ITG8||WP_000745917.1|tpos:1-873	SP(Sec/SPI)	0.906361	0.066604	0.002940	0.024095	CS pos: 44-45. AQA-SE. Pr: 0.9474
antigen_359|Q6GDH2|Clumping|WP_000745917.1|tpos:1-873	SP(Sec/SPI)	0.906361	0.066604	0.002940	0.024095	CS pos: 44-45. AQA-SE. Pr: 0.9474
antigen_360|Q9F0L7||WP_000721567.1|tpos:8-237	OTHER	0.176292	0.001418	0.009644	0.812647	
antigen_43|A0AAJ5CTA4|Deferrochelatase|WP_000186228.1|tpos:1-409	TAT(Tat/SPI)	0.002405	0.986791	0.004026	0.006778	CS pos: 41-42. MWS-FK. Pr: 0.3811
antigen_44|A0AAE2ZV74||WP_000197096.1|tpos:1-551	LIPO(Sec/SPII)	0.000838	0.000113	0.998628	0.000421	CS pos: 20-21. LSG-CA. Pr: 0.9995
antigen_67|A0AAE2ZSI2||WP_000079140.1|tpos:1-60	LIPO(Sec/SPII)	0.354195	0.001322	0.500730	0.143753	CS pos: 26-27. TSK-CV. Pr: 0.4079
antigen_68|A0AAW4YAX5||WP_000265043.1|tpos:1-66	LIPO(Sec/SPII)	0.390369	0.000699	0.507199	0.101733	CS pos: 15-16. LLV-CI. Pr: 0.4579
antigen_69|A0A0E8IMG8||WP_000265043.1|tpos:1-66	LIPO(Sec/SPII)	0.390369	0.000699	0.507199	0.101733	CS pos: 15-16. LLV-CI. Pr: 0.4579
antigen_70|A0A1S6CY57||WP_000265258.1|tpos:1-66	SP(Sec/SPI)	0.529099	0.002460	0.191734	0.276708	CS pos: 29-30. IEA-LE. Pr: 0.4704
antigen_71|A0A4T9Y7X1||WP_000265258.1|tpos:1-66	SP(Sec/SPI)	0.529099	0.002460	0.191734	0.276708	CS pos: 29-30. IEA-LE. Pr: 0.4704
antigen_72|A0A0D1HE14||WP_000267034.1|tpos:1-57	OTHER	0.384612	0.007845	0.041173	0.566370	
