# SignalP-5.0	Organism: gram+	Timestamp: 20260324085610
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_527|A0A389PZW7||WP_000827758.1|tpos:1-388	SP(Sec/SPI)	0.995176	0.001768	0.001987	0.001069	CS pos: 25-26. ANA-ES. Pr: 0.9004
antigen_528|A0AAX2MNS4||WP_000827758.1|tpos:1-388	SP(Sec/SPI)	0.995176	0.001768	0.001987	0.001069	CS pos: 25-26. ANA-ES. Pr: 0.9004
antigen_529|A0A641A3T5||WP_000827758.1|tpos:1-388	SP(Sec/SPI)	0.995176	0.001768	0.001987	0.001069	CS pos: 25-26. ANA-ES. Pr: 0.9004
antigen_530|B0I1W0||WP_000668623.1|tpos:15-97	OTHER	0.008251	0.001137	0.000982	0.989630	
antigen_578|A0AAJ5CRM5||WP_001670353.1|tpos:8-305	OTHER	0.028359	0.001742	0.309707	0.660192	
antigen_579|A0A9P2YV90||WP_001805730.1|tpos:1-314	LIPO(Sec/SPII)	0.000359	0.000060	0.999347	0.000233	CS pos: 17-18. LSG-CS. Pr: 0.9999
antigen_580|A0A391LQ43||WP_000239820.1|tpos:1-320	SP(Sec/SPI)	0.507845	0.001510	0.035664	0.454981	CS pos: 27-28. SLA-II. Pr: 0.1474
antigen_366|A0AAE2ZU90||WP_000749381.1|tpos:1-279	SP(Sec/SPI)	0.997259	0.000708	0.001120	0.000913	CS pos: 24-25. AHA-QQ. Pr: 0.9787
antigen_661|A0A068DV34||WP_001045111.1|tpos:1-330	LIPO(Sec/SPII)	0.000361	0.000102	0.999306	0.000231	CS pos: 20-21. LAG-CS. Pr: 0.9999
antigen_714|A0AB74Q154||WP_001108538.1|tpos:1-250	OTHER	0.009033	0.000458	0.452150	0.538359	
antigen_734|A0AAX2MJJ6||WP_001208914.1|tpos:1-494	SP(Sec/SPI)	0.992111	0.002784	0.002493	0.002612	CS pos: 32-33. AEA-SE. Pr: 0.9502
antigen_802|A0AAE3D601||WP_001670353.1|tpos:1-305	LIPO(Sec/SPII)	0.000645	0.000083	0.998947	0.000325	CS pos: 17-18. LGG-CS. Pr: 0.9996
antigen_803|A0A266CZX0||WP_010956599.1|tpos:1-35	OTHER	0.089105	0.008267	0.031270	0.871358	
antigen_804|A0A266CVG1||WP_001788970.1|tpos:1-33	OTHER	0.212417	0.021656	0.109041	0.656885	
antigen_805|X5DX94||WP_001789457.1|tpos:1-41	OTHER	0.106449	0.047511	0.382435	0.463606	
antigen_806|A0A2C9TZA1||WP_001789987.1|tpos:1-30	OTHER	0.287595	0.005919	0.086384	0.620102	
antigen_807|A0A2C9TVS3||WP_031762187.1|tpos:1-35	OTHER	0.125090	0.005622	0.020653	0.848635	
antigen_809|A0A2I7YAT0||WP_075583722.1|tpos:1-55	OTHER	0.254961	0.000860	0.061800	0.682379	
antigen_810|Q8VVS0||WP_001801861.1|tpos:1-29	LIPO(Sec/SPII)	0.011477	0.001772	0.889141	0.097610	CS pos: 15-16. ISG-CA. Pr: 0.8720
antigen_812|A0A2C9TXI7||WP_001791878.1|tpos:1-30	OTHER	0.084216	0.018820	0.040984	0.855980	
antigen_885|A0A0D3Q462||WP_000038538.1|tpos:1-507	SP(Sec/SPI)	0.703659	0.002845	0.022967	0.270529	CS pos: 27-28. VYA-FF. Pr: 0.4302
antigen_993|A0A0D3QB03||WP_000604723.1|tpos:1-66	OTHER	0.231751	0.001539	0.188700	0.578010	
antigen_994|H6UH57||WP_000953731.1|tpos:1-474	SP(Sec/SPI)	0.991647	0.003796	0.002348	0.002209	CS pos: 30-31. AIA-QS. Pr: 0.8394
