# SignalP-5.0	Organism: gram+	Timestamp: 20260324090103
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_736|A0AAE8TIW8||YP_500900.1|tpos:1-327	LIPO(Sec/SPII)	0.000692	0.000148	0.998858	0.000301	CS pos: 21-22. VAA-CG. Pr: 0.9994
antigen_737|A0AAJ4YYM9||YP_500900.1|tpos:1-327	LIPO(Sec/SPII)	0.000692	0.000148	0.998858	0.000301	CS pos: 21-22. VAA-CG. Pr: 0.9994
antigen_245|A0A9N8NS69|1-phosphatidylinositol|YP_498656.1|tpos:1-328	SP(Sec/SPI)	0.994497	0.000816	0.003034	0.001653	CS pos: 26-27. AHA-SD. Pr: 0.9839
antigen_246|A0AAE8TJU8|1-phosphatidylinositol|YP_498656.1|tpos:1-328	SP(Sec/SPI)	0.994497	0.000816	0.003034	0.001653	CS pos: 26-27. AHA-SD. Pr: 0.9839
antigen_248|A0A6A9GVV2||YP_498705.1|tpos:1-318	LIPO(Sec/SPII)	0.001797	0.000106	0.997879	0.000218	CS pos: 20-21. AAA-CG. Pr: 0.9982
antigen_249|A0AAE8PC26||YP_498972.1|tpos:157-206	OTHER	0.143015	0.001952	0.007497	0.847536	
antigen_673|Q6GB45|Clumping|YP_499368.1|tpos:1-927	SP(Sec/SPI)	0.955997	0.010304	0.029148	0.004551	CS pos: 39-40. ADA-SE. Pr: 0.8951
antigen_674|A0A9P3DMY9||YP_499368.1|tpos:1-927	SP(Sec/SPI)	0.955997	0.010304	0.029148	0.004551	CS pos: 39-40. ADA-SE. Pr: 0.8951
antigen_977|Q07227|Gamma-hemolysin|YP_501171.1|tpos:1-315	SP(Sec/SPI)	0.979314	0.014863	0.000865	0.004959	CS pos: 29-30. AKA-AN. Pr: 0.9608
antigen_978|A0A2C9TTS8||YP_501184.1|tpos:1-35	LIPO(Sec/SPII)	0.039777	0.002981	0.710081	0.247161	CS pos: 15-16. ISG-CL. Pr: 0.6895
antigen_979|Q9KJ74|Protein|YP_501197.1|tpos:1-498	SP(Sec/SPI)	0.461930	0.001668	0.089464	0.446938	CS pos: 33-34. TKT-RL. Pr: 0.0532
antigen_475|Q33C64||YP_499372.1|tpos:66-153	OTHER	0.007404	0.001045	0.002935	0.988616	
antigen_476|A0AAX2MI48||YP_499372.1|tpos:34-153	OTHER	0.020265	0.000857	0.000467	0.978411	
antigen_597|A0A9P3DMH0||YP_499118.1|tpos:1-1349	SP(Sec/SPI)	0.812615	0.093189	0.002787	0.091408	CS pos: 52-53. AKA-AE. Pr: 0.8678
antigen_74|A0A166MPJ8||YP_499407.1|tpos:1-104	LIPO(Sec/SPII)	0.020046	0.001283	0.780004	0.198667	CS pos: 23-24. IQA-CA. Pr: 0.7588
antigen_756|A0AAJ5CS60||YP_501302.1|tpos:1-322	OTHER	0.224571	0.004058	0.162038	0.609333	
antigen_1001|X5ELQ6||YP_501465.1|tpos:1-374	LIPO(Sec/SPII)	0.001313	0.000073	0.998424	0.000190	CS pos: 20-21. LYS-CS. Pr: 0.9986
antigen_456|A0AAJ5CTM9||YP_498975.1|tpos:1-308	SP(Sec/SPI)	0.976308	0.012977	0.007669	0.003045	CS pos: 30-31. ANA-TT. Pr: 0.5306
antigen_459|X5DU72||YP_498705.1|tpos:1-318	LIPO(Sec/SPII)	0.001797	0.000106	0.997879	0.000218	CS pos: 20-21. AAA-CG. Pr: 0.9982
antigen_460|A0A3A3AD99||YP_498705.1|tpos:1-318	LIPO(Sec/SPII)	0.001797	0.000106	0.997879	0.000218	CS pos: 20-21. AAA-CG. Pr: 0.9982
antigen_461|W8U5U4||YP_500002.1|tpos:1-66	OTHER	0.012898	0.000115	0.026918	0.960070	
antigen_462|A0AAE3D640||YP_500002.1|tpos:1-66	OTHER	0.012898	0.000115	0.026918	0.960070	
antigen_463|A0AAJ4YYA4|Iron-regulated|YP_499628.1|tpos:1-227	SP(Sec/SPI)	0.998468	0.000645	0.000521	0.000367	CS pos: 28-29. ANA-AD. Pr: 0.9892
antigen_586|A0AAE3D5U9||YP_501435.1|tpos:1-319	OTHER	0.022591	0.000630	0.013038	0.963742	
antigen_587|A0A166K1P5||YP_501435.1|tpos:1-319	OTHER	0.022591	0.000630	0.013038	0.963742	
antigen_219|A0A090N1I4||YP_500646.1|tpos:1-58	OTHER	0.082012	0.001183	0.060660	0.856144	
antigen_220|A0AAE3D6K9||YP_500646.1|tpos:1-52	OTHER	0.082403	0.001135	0.054433	0.862029	
antigen_912|Q83TG5||YP_499276.1|tpos:1-146	LIPO(Sec/SPII)	0.000760	0.000110	0.998886	0.000244	CS pos: 20-21. LGA-CG. Pr: 0.9994
antigen_7|A0AAE8PBB7|Maltodextrin-binding|YP_498773.1|tpos:1-423	LIPO(Sec/SPII)	0.000598	0.000042	0.999204	0.000156	CS pos: 20-21. VTA-CG. Pr: 0.9997
antigen_8|A0A166NTM9|Maltodextrin-binding|YP_498773.1|tpos:1-423	LIPO(Sec/SPII)	0.000598	0.000042	0.999204	0.000156	CS pos: 20-21. VTA-CG. Pr: 0.9997
antigen_542|X5EIX3||YP_498805.1|tpos:1-509	SP(Sec/SPI)	0.578981	0.088154	0.051874	0.280991	CS pos: 43-44. VKA-YP. Pr: 0.4433
antigen_910|Q8VQS9||YP_499195.1|tpos:1-312	LIPO(Sec/SPII)	0.000794	0.000059	0.999024	0.000124	CS pos: 17-18. VAA-CG. Pr: 0.9988
antigen_389|A0A641A6Q5||YP_499330.1|tpos:1-279	SP(Sec/SPI)	0.997259	0.000708	0.001120	0.000913	CS pos: 24-25. AHA-QQ. Pr: 0.9787
antigen_390|W8U5S1||YP_499309.1|tpos:1-342	LIPO(Sec/SPII)	0.000351	0.000056	0.999451	0.000143	CS pos: 18-19. LAA-CG. Pr: 0.9999
antigen_751|A8QKE0|Neutral|YP_501422.1|tpos:1-498	SP(Sec/SPI)	0.530122	0.013447	0.060096	0.396335	CS pos: 16-17. ALA-ID. Pr: 0.3660
antigen_752|A0A3A3ACW7||YP_498754.1|tpos:1-665	OTHER	0.262080	0.003000	0.149366	0.585554	
antigen_168|A0A641A5I4|Probable|YP_499213.1|tpos:1-338	LIPO(Sec/SPII)	0.013060	0.003282	0.973835	0.009823	CS pos: 24-25. FLG-CT. Pr: 0.9727
antigen_53|A0AAE2ZZ06||YP_501197.1|tpos:1-498	SP(Sec/SPI)	0.461930	0.001668	0.089464	0.446938	CS pos: 33-34. TKT-RL. Pr: 0.0532
antigen_54|A0AAJ4YVE5||YP_501197.1|tpos:1-493	SP(Sec/SPI)	0.461930	0.001668	0.089464	0.446938	CS pos: 33-34. TKT-RL. Pr: 0.0532
antigen_604|A0A390ZED4||YP_501410.1|tpos:1-474	SP(Sec/SPI)	0.991774	0.003916	0.002577	0.001733	CS pos: 30-31. AIA-QS. Pr: 0.8454
antigen_605|A0A2W2YHU2||YP_501055.1|tpos:1-63	OTHER	0.010588	0.000193	0.096083	0.893137	
antigen_606|A0A0C2LBT4||YP_501055.1|tpos:1-63	OTHER	0.010588	0.000193	0.096083	0.893137	
antigen_229|A0A0D6GUT9|4,4'-diapophytoene|YP_501332.1|tpos:1-502	SP(Sec/SPI)	0.653165	0.004850	0.101583	0.240402	CS pos: 23-24. SQG-HE. Pr: 0.2989
antigen_230|A0AAE8TK43|4,4'-diapophytoene|YP_501332.1|tpos:1-502	SP(Sec/SPI)	0.653165	0.004850	0.101583	0.240402	CS pos: 23-24. SQG-HE. Pr: 0.2989
antigen_94|A0A641A9I3||YP_498947.1|tpos:1-83	OTHER	0.105843	0.003344	0.138692	0.752121	
antigen_95|A0A2S6D624||YP_498947.1|tpos:1-83	OTHER	0.105843	0.003344	0.138692	0.752121	
antigen_96|A0A145HED3||YP_498947.1|tpos:1-83	OTHER	0.105843	0.003344	0.138692	0.752121	
antigen_97|A0A0D6WE86||YP_498947.1|tpos:1-83	OTHER	0.105843	0.003344	0.138692	0.752121	
antigen_98|A0A2C6MZL2|Heme|YP_499611.1|tpos:54-356	SP(Sec/SPI)	0.826763	0.017867	0.046289	0.109082	CS pos: 34-35. GSA-DG. Pr: 0.3631
antigen_99|Q6GA99|Heme|YP_499611.1|tpos:54-356	SP(Sec/SPI)	0.826763	0.017867	0.046289	0.109082	CS pos: 34-35. GSA-DG. Pr: 0.3631
antigen_550|A0A2Y9TLI2|triacylglycerol|YP_501455.1|tpos:1-680	SP(Sec/SPI)	0.983985	0.005100	0.010084	0.000831	CS pos: 34-35. AQA-AE. Pr: 0.9716
antigen_916|A0A0D6HYB8||YP_499371.1|tpos:1-340	SP(Sec/SPI)	0.995140	0.000591	0.003019	0.001249	CS pos: 26-27. AKA-SV. Pr: 0.9437
antigen_179|W8U9Q7||YP_500467.1|tpos:1-121	LIPO(Sec/SPII)	0.285764	0.011934	0.562317	0.139985	CS pos: 24-25. LQG-RD. Pr: 0.3957
antigen_180|A0A166N5L1||YP_500488.1|tpos:1-485	SP(Sec/SPI)	0.995819	0.001914	0.001537	0.000730	CS pos: 28-29. AHA-EQ. Pr: 0.9908
antigen_692|Q6GAG0|Bifunctional|YP_499546.1|tpos:1-1256	SP(Sec/SPI)	0.997209	0.001289	0.001006	0.000496	CS pos: 29-30. VQA-AE. Pr: 0.9829
antigen_985|A0A0D3QB23||YP_501243.1|tpos:1-264	SP(Sec/SPI)	0.603004	0.001213	0.140079	0.255704	CS pos: 31-32. TNG-RN. Pr: 0.1833
antigen_986|Q2FVC5|Uncharacterized|YP_501248.1|tpos:1-261	LIPO(Sec/SPII)	0.002894	0.000061	0.996423	0.000622	CS pos: 22-23. IGG-CV. Pr: 0.9969
antigen_147|P0A074|Gamma-hemolysin|YP_501170.1|tpos:1-309	SP(Sec/SPI)	0.937213	0.014534	0.003492	0.044761	CS pos: 29-30. SKA-EN. Pr: 0.8418
antigen_650|A0A390UFQ0|Serine|YP_500442.1|tpos:1-235	SP(Sec/SPI)	0.917726	0.012326	0.019476	0.050472	CS pos: 35-36. AKA-EK. Pr: 0.5793
antigen_651|A0A641A6X6|Serine|YP_500441.1|tpos:1-240	SP(Sec/SPI)	0.947043	0.008645	0.012863	0.031449	CS pos: 36-37. AKA-EN. Pr: 0.8283
antigen_652|Q53781|Serine|YP_500441.1|tpos:1-240	SP(Sec/SPI)	0.947043	0.008645	0.012863	0.031449	CS pos: 36-37. AKA-EN. Pr: 0.8283
antigen_996|A0AAN1H0Q7|Neutral|YP_501422.1|tpos:1-498	SP(Sec/SPI)	0.530122	0.013447	0.060096	0.396335	CS pos: 16-17. ALA-ID. Pr: 0.3660
antigen_368|W8UA89|Multifunctional|YP_500252.2|tpos:1-759	SP(Sec/SPI)	0.427618	0.001660	0.373685	0.197037	CS pos: 22-23. GMA-AT. Pr: 0.1458
antigen_574|A0AAJ5CU80||YP_500882.1|tpos:1-310	SP(Sec/SPI)	0.846006	0.002594	0.022810	0.128590	CS pos: 28-29. VFG-NI. Pr: 0.7728
antigen_575|Q9ZAI5||YP_500882.1|tpos:1-310	SP(Sec/SPI)	0.846006	0.002594	0.022810	0.128590	CS pos: 28-29. VFG-NI. Pr: 0.7728
antigen_576|A0AAX2MGZ5|Cell|YP_500264.1|tpos:1-280	SP(Sec/SPI)	0.795076	0.001816	0.137729	0.065380	CS pos: 32-33. SQS-QS. Pr: 0.5493
antigen_414|A0A3A5M257||YP_498986.1|tpos:1-225	SP(Sec/SPI)	0.988981	0.007047	0.002727	0.001245	CS pos: 30-31. VKA-ST. Pr: 0.8511
antigen_791|A0A3A3ALI8||YP_498657.1|tpos:17-249	OTHER	0.013680	0.000953	0.023625	0.961743	
antigen_792|A0A389QCM1||YP_498989.1|tpos:15-272	LIPO(Sec/SPII)	0.000421	0.000039	0.999414	0.000126	CS pos: 18-19. IAG-CG. Pr: 0.9998
