# SignalP-5.0	Organism: gram+	Timestamp: 20260324085610
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_145|A0AAE2ZUJ5||WP_000594519.1|tpos:1-309	SP(Sec/SPI)	0.937213	0.014534	0.003492	0.044761	CS pos: 29-30. SKA-EN. Pr: 0.8418
antigen_146|Q6GE14|Gamma-hemolysin|WP_000594519.1|tpos:1-309	SP(Sec/SPI)	0.937213	0.014534	0.003492	0.044761	CS pos: 29-30. SKA-EN. Pr: 0.8418
antigen_26|A0A162H7Z8||WP_000111117.1|tpos:1-56	OTHER	0.379507	0.013845	0.031988	0.574660	
antigen_27|A0A3A3AKD2||WP_000111117.1|tpos:1-56	OTHER	0.379507	0.013845	0.031988	0.574660	
antigen_28|X5DWZ3||WP_000111117.1|tpos:1-56	OTHER	0.379507	0.013845	0.031988	0.574660	
antigen_29|A0A9P2Z0D5||WP_000120296.1|tpos:1-415	SP(Sec/SPI)	0.990235	0.006169	0.002709	0.000887	CS pos: 32-33. VEA-KD. Pr: 0.9595
antigen_587|A0A166K1P5||WP_000916728.1|tpos:1-319	OTHER	0.022591	0.000630	0.013038	0.963742	
antigen_874|A0A1S6DSG8||WP_000977803.1|tpos:1-256	LIPO(Sec/SPII)	0.001025	0.000085	0.998677	0.000213	CS pos: 24-25. TAG-CG. Pr: 0.9992
antigen_429|Q9ZFS5||WP_000769820.1|tpos:1-231	SP(Sec/SPI)	0.988663	0.002021	0.005649	0.003666	CS pos: 30-31. VHA-KE. Pr: 0.8600
antigen_430|A0A641A9C5||WP_000769820.1|tpos:1-231	SP(Sec/SPI)	0.988663	0.002021	0.005649	0.003666	CS pos: 30-31. VHA-KE. Pr: 0.8600
antigen_431|A0A166NT33||WP_000773989.1|tpos:1-57	OTHER	0.143631	0.000630	0.078405	0.777333	
antigen_432|W8U713||WP_000773989.1|tpos:1-57	OTHER	0.143631	0.000630	0.078405	0.777333	
antigen_305|A0A390BBS7|Lipoprotein|WP_000732324.1|tpos:1-273	LIPO(Sec/SPII)	0.000469	0.000066	0.999323	0.000142	CS pos: 19-20. LAA-CG. Pr: 0.9998
antigen_535|A0A2U0IK27||WP_000835971.1|tpos:1-260	LIPO(Sec/SPII)	0.000940	0.000042	0.998875	0.000142	CS pos: 22-23. ATS-CG. Pr: 0.9990
antigen_620|A0AAJ4YX88||WP_000992518.1|tpos:1-374	OTHER	0.066344	0.001417	0.042124	0.890116	
antigen_668|W8TWS4|Ribonuclease|WP_001050913.1|tpos:1-519	OTHER	0.328428	0.004027	0.063802	0.603744	
antigen_836|A0A2U0ITS3|Glycosyl-4,4'-diaponeurosporenoate|WP_001805835.1|tpos:1-162	OTHER	0.224674	0.001771	0.081329	0.692226	
antigen_472|A0A166Q7U6|Fibrinogen-binding|WP_000791581.1|tpos:1-165	SP(Sec/SPI)	0.992009	0.003402	0.003964	0.000626	CS pos: 29-30. ADA-SE. Pr: 0.9035
antigen_609|Q6G6I7|Uncharacterized|WP_000581871.1|tpos:1-264	LIPO(Sec/SPII)	0.012482	0.000086	0.986085	0.001347	CS pos: 22-23. IGG-CI. Pr: 0.9867
antigen_696|W8TTS4||WP_001080281.1|tpos:1-218	LIPO(Sec/SPII)	0.064576	0.001529	0.899888	0.034007	CS pos: 22-23. VMG-CE. Pr: 0.9048
antigen_854|A0A2U0IM51||WP_031761401.1|tpos:1-30	LIPO(Sec/SPII)	0.151497	0.003054	0.553333	0.292115	CS pos: 12-13. IFG-CI. Pr: 0.5042
antigen_855|A0A506TLD8||WP_031762187.1|tpos:1-35	OTHER	0.125090	0.005622	0.020653	0.848635	
antigen_856|A0A2I7Y3F7||WP_031762187.1|tpos:1-35	OTHER	0.125090	0.005622	0.020653	0.848635	
