# SignalP-5.0	Organism: gram+	Timestamp: 20260324085610
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_169|A0A0D1GAM5|Probable|WP_000625887.1|tpos:1-338	LIPO(Sec/SPII)	0.012847	0.002662	0.974681	0.009810	CS pos: 24-25. FLG-CT. Pr: 0.9737
antigen_308|A0A162FG49|Lipoprotein|WP_000732329.1|tpos:1-273	LIPO(Sec/SPII)	0.000463	0.000066	0.999326	0.000145	CS pos: 19-20. LAA-CG. Pr: 0.9998
antigen_415|A0A9P3DMJ7|Protein|WP_000769416.1|tpos:1-391	SP(Sec/SPI)	0.459943	0.007007	0.115123	0.417927	CS pos: 33-34. VNE-KT. Pr: 0.0477
antigen_903|A0A0D6G9V6||WP_000673059.1|tpos:1-232	SP(Sec/SPI)	0.980701	0.007932	0.004426	0.006941	CS pos: 30-31. VHA-KV. Pr: 0.7959
antigen_994|H6UH57||WP_000953748.1|tpos:1-474	SP(Sec/SPI)	0.991774	0.003916	0.002577	0.001733	CS pos: 30-31. AIA-QS. Pr: 0.8454
antigen_330|A0A641A8S4|Efem/EfeO|WP_000737194.1|tpos:1-284	LIPO(Sec/SPII)	0.000480	0.000073	0.999161	0.000285	CS pos: 17-18. IAA-CG. Pr: 0.9997
antigen_423|A0A2S6DKY9||WP_000769705.1|tpos:1-141	SP(Sec/SPI)	0.992495	0.005388	0.001824	0.000293	CS pos: 30-31. ASA-DS. Pr: 0.9265
antigen_670|A0A6B5L736||WP_001051422.1|tpos:1-829	SP(Sec/SPI)	0.544085	0.004763	0.034836	0.416316	CS pos: 38-39. TNA-PK. Pr: 0.1992
antigen_374|A0A1J0J3G8||WP_000751207.1|tpos:1-297	SP(Sec/SPI)	0.997218	0.001162	0.001224	0.000396	CS pos: 24-25. AQA-YT. Pr: 0.9654
antigen_375|A0A2U0IJR9||WP_000751207.1|tpos:1-297	SP(Sec/SPI)	0.997218	0.001162	0.001224	0.000396	CS pos: 24-25. AQA-YT. Pr: 0.9654
antigen_484|A0A0Z4LY14||WP_000793046.1|tpos:1-431	SP(Sec/SPI)	0.998666	0.000407	0.000617	0.000311	CS pos: 24-25. AQA-AN. Pr: 0.9569
antigen_485|A0A218M1Q9||WP_000793046.1|tpos:1-431	SP(Sec/SPI)	0.998666	0.000407	0.000617	0.000311	CS pos: 24-25. AQA-AN. Pr: 0.9569
antigen_504|A0A2C9TL89||WP_000822161.1|tpos:1-124	LIPO(Sec/SPII)	0.000302	0.000050	0.999447	0.000200	CS pos: 17-18. LAG-CS. Pr: 1.0000
antigen_704|A0A166EAB0||WP_001093562.1|tpos:1-146	LIPO(Sec/SPII)	0.000794	0.000101	0.998882	0.000223	CS pos: 20-21. LGA-CG. Pr: 0.9993
antigen_705|A0A9Q3MR89||WP_001093562.1|tpos:1-146	LIPO(Sec/SPII)	0.000794	0.000101	0.998882	0.000223	CS pos: 20-21. LGA-CG. Pr: 0.9993
antigen_706|A0A227LZW5||WP_001093562.1|tpos:1-146	LIPO(Sec/SPII)	0.000794	0.000101	0.998882	0.000223	CS pos: 20-21. LGA-CG. Pr: 0.9993
