# SignalP-5.0	Organism: gram+	Timestamp: 20260324085610
# ID	Prediction	SP(Sec/SPI)	TAT(Tat/SPI)	LIPO(Sec/SPII)	OTHER	CS Position
antigen_144|A0AAX2JYZ4||WP_000592299.1|tpos:1-1054	SP(Sec/SPI)	0.802545	0.004497	0.022605	0.170353	CS pos: 32-33. ASA-KL. Pr: 0.4027
antigen_145|A0AAE2ZUJ5||WP_000594513.1|tpos:1-309	SP(Sec/SPI)	0.937213	0.014534	0.003492	0.044761	CS pos: 29-30. SKA-EN. Pr: 0.8418
antigen_829|A0A2U0IF80||WP_001211498.1|tpos:1-259	LIPO(Sec/SPII)	0.000510	0.000071	0.999262	0.000157	CS pos: 22-23. IIG-CD. Pr: 0.9997
antigen_830|A0A6B5E444||WP_044026075.1|tpos:1-256	LIPO(Sec/SPII)	0.000520	0.000062	0.999228	0.000190	CS pos: 22-23. IAG-CG. Pr: 0.9997
antigen_928|A0A0D6HSN6|Iron-regulated|WP_001041596.1|tpos:1-641	SP(Sec/SPI)	0.976727	0.020786	0.001206	0.001280	CS pos: 40-41. AQA-AE. Pr: 0.9650
antigen_141|A0AAJ4YX07||WP_000592299.1|tpos:1-1054	SP(Sec/SPI)	0.802545	0.004497	0.022605	0.170353	CS pos: 32-33. ASA-KL. Pr: 0.4027
antigen_142|A0A641A7L3||WP_000592299.1|tpos:1-1054	SP(Sec/SPI)	0.802545	0.004497	0.022605	0.170353	CS pos: 32-33. ASA-KL. Pr: 0.4027
antigen_654|A0A3A5LJL8|Iron-regulated|WP_001041596.1|tpos:1-641	SP(Sec/SPI)	0.976727	0.020786	0.001206	0.001280	CS pos: 40-41. AQA-AE. Pr: 0.9650
antigen_886|A0A0D3Q467|Type|WP_000728965.1|tpos:1-1009	SP(Sec/SPI)	0.475242	0.000917	0.051651	0.472191	CS pos: 32-33. KYG-DQ. Pr: 0.0925
antigen_137|A0A390W179||WP_044026055.1|tpos:1-264	LIPO(Sec/SPII)	0.000392	0.000045	0.999354	0.000209	CS pos: 22-23. IGG-CG. Pr: 0.9998
antigen_631|A0A390ZI89||WP_000162195.1|tpos:1-140	OTHER	0.126258	0.001473	0.065761	0.806509	
antigen_632|A0A391E3Q8||WP_000162195.1|tpos:1-136	OTHER	0.126258	0.001473	0.065761	0.806509	
antigen_633|A0A5S9C563||WP_000162195.1|tpos:1-138	OTHER	0.126258	0.001473	0.065761	0.806509	
antigen_634|O54462||WP_044026074.1|tpos:113-205	OTHER	0.008711	0.000121	0.001088	0.990081	
antigen_972|A0A0D6H001||WP_000827006.1|tpos:1-209	LIPO(Sec/SPII)	0.000384	0.000050	0.999423	0.000143	CS pos: 17-18. LAA-CG. Pr: 0.9998
antigen_973|A0A0D3QA93||WP_000727756.1|tpos:1-515	LIPO(Sec/SPII)	0.000620	0.000068	0.999149	0.000162	CS pos: 20-21. LAA-CG. Pr: 0.9997
