# SignalP-5.0	Organism: euk	Timestamp: 20251009144009
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_133|C1CG97|Putative|WP_000821636.1|tpos:1-80	OTHER	0.001755	0.998245	
antigen_134|C1CBC0|UPF0371|WP_050204537.1|tpos:1-494	OTHER	0.000653	0.999347	
antigen_159|C1CN42|N-acetyldiaminopimelate|WP_000885107.1|tpos:1-376	OTHER	0.000747	0.999253	
antigen_163|C1CT54|Anthranilate|WP_000658684.1|tpos:1-334	OTHER	0.000583	0.999417	
antigen_184|B5E6G7|Large|WP_000013542.1|tpos:1-180	OTHER	0.000589	0.999411	
antigen_186|Q8DQZ7|DNA|WP_050244751.1|tpos:1-353	OTHER	0.002723	0.997277	
antigen_191|C1C9E8|UPF0154|WP_000364990.1|tpos:1-82	SP(Sec/SPI)	0.764085	0.235915	CS pos: 20-21. ALG-GM. Pr: 0.6883
antigen_192|C1CTP8|Large|WP_000831905.1|tpos:1-44	OTHER	0.011125	0.988875	
antigen_193|Q97Q19|Phosphatidylglycerol--prolipoprotein|WP_050244703.1|tpos:1-262	OTHER	0.001470	0.998530	
antigen_76|C1CLY4|D-aminoacyl-tRNA|WP_000691400.1|tpos:1-147	OTHER	0.000624	0.999376	
antigen_1|C1CI34|DNA-directed|WP_000639577.1|tpos:1-77	OTHER	0.000521	0.999479	
antigen_3|B5E515|Bifunctional|WP_000850024.1|tpos:1-173	OTHER	0.000390	0.999610	
antigen_4|C1CUF5|Ribosomal|WP_000695929.1|tpos:1-159	OTHER	0.000324	0.999676	
antigen_6|C1CQV3|UPF0223|WP_001041971.1|tpos:1-92	OTHER	0.001406	0.998594	
antigen_7|B5E216|Regulatory|WP_000705097.1|tpos:1-258	OTHER	0.000519	0.999481	
antigen_9|Q04IK6|DNA-directed|WP_000907145.1|tpos:1-1203	OTHER	0.000466	0.999534	
antigen_23|Q04JI0|Probable|WP_000422599.1|tpos:1-195	OTHER	0.000652	0.999348	
antigen_25|C1CFJ7|Small|WP_001018251.1|tpos:1-89	OTHER	0.001265	0.998735	
antigen_27|Q04J70|Protein|WP_001274089.1|tpos:1-837	OTHER	0.000306	0.999694	
antigen_34|Q2MGI2|Peptide|WP_015511312.1|tpos:1-364	OTHER	0.000731	0.999269	
antigen_77|B8ZJJ5|Adenylosuccinate|WP_000205044.1|tpos:1-428	OTHER	0.002843	0.997157	
antigen_62|B2IMN3|Queuine|WP_001285241.1|tpos:1-380	OTHER	0.000977	0.999023	
antigen_110|C1CK48|Endoribonuclease|WP_000275156.1|tpos:1-165	OTHER	0.000474	0.999526	
antigen_188|Q97R94|Gamma-glutamyl|WP_000254686.1|tpos:1-420	OTHER	0.000367	0.999633	
antigen_119|B8ZN60|N-(5'-phosphoribosyl)anthranilate|WP_050233567.1|tpos:1-199	OTHER	0.000808	0.999192	
antigen_120|C1CSV9|Alanine|WP_000648083.1|tpos:1-367	OTHER	0.001914	0.998086	
antigen_122|B1I8M2|Small|WP_000090781.1|tpos:1-121	OTHER	0.001050	0.998950	
antigen_123|C1C5V9|Polyribonucleotide|WP_001814440.1|tpos:1-737	OTHER	0.001072	0.998928	
antigen_30|C1CLL2|ATP|WP_001054562.1|tpos:1-66	OTHER	0.438157	0.561843	
antigen_31|C1CA16|Aspartate--ammonia|WP_000747993.1|tpos:1-330	OTHER	0.000794	0.999206	
antigen_16|B5E4T0|Tagatose-6-phosphate|WP_000604283.1|tpos:1-309	OTHER	0.001325	0.998675	
antigen_17|B2IRR9|Cell|WP_000053388.1|tpos:1-179	OTHER	0.000308	0.999692	
antigen_18|B5E5N3|3-dehydroquinate|WP_000702164.1|tpos:1-355	OTHER	0.000561	0.999439	
antigen_111|B5E677|ATP|WP_001054562.1|tpos:1-66	OTHER	0.438157	0.561843	
antigen_112|C1CEF3|Galactose-6-phosphate|WP_001216910.1|tpos:1-171	OTHER	0.004595	0.995405	
antigen_114|B8ZKX1|Phosphatidylglycerol--prolipoprotein|WP_050244703.1|tpos:1-261	OTHER	0.001470	0.998530	
antigen_118|Q97S36|Phenylalanine--tRNA|WP_001813261.1|tpos:1-348	OTHER	0.000555	0.999445	
antigen_33|Q97SC7|DNA|WP_050244751.1|tpos:1-353	OTHER	0.002723	0.997277	
antigen_35|P59206|Putative|WP_078134949.1|tpos:20-677	SP(Sec/SPI)	0.999482	0.000518	CS pos: 23-24. AMA-SD. Pr: 0.9360
antigen_55|B1ICA2|UPF0122|WP_000402071.1|tpos:1-110	OTHER	0.000452	0.999548	
antigen_135|Q97T09|Methionine|WP_050213971.1|tpos:1-353	OTHER	0.000285	0.999715	
antigen_136|C1CIA0|Large|WP_000512911.1|tpos:1-277	OTHER	0.000568	0.999432	
antigen_137|B2IS65|Small|WP_000090781.1|tpos:1-121	OTHER	0.001050	0.998950	
antigen_138|C1CCB4|UPF0371|WP_050204537.1|tpos:1-494	OTHER	0.000653	0.999347	
antigen_19|B1ICB3|Large|WP_000710764.1|tpos:1-80	OTHER	0.000739	0.999261	
antigen_37|Q97TD1|Peptidyl-tRNA|WP_127244967.1|tpos:1-189	OTHER	0.000607	0.999393	
antigen_39|C1CL83|Chorismate|WP_001269864.1|tpos:1-388	OTHER	0.005112	0.994888	
antigen_40|B2IMT4|UvrABC|WP_001061111.1|tpos:1-615	OTHER	0.000911	0.999089	
