query	target	pident	nident	alnlen	evalue	bits
antigen_86|A0A2S1FUJ1|Superantigen-like	BX571856.1	48.300	0	233	2.125E-54	187
antigen_66|A0A1S6DAJ0|5'-nucleotidase	BX571856.1	21.800	0	368	1.711E-12	68
antigen_82|A0A0H3KEE1|Staphylococcal	BX571856.1	60.900	0	352	1.170E-113	364
antigen_24|Q2FXB0|Leucotoxin	BX571856.1	71.300	0	303	5.044E-141	441
antigen_84|A0A0H3KAV8|Staphylococcal	BX571856.1	43.900	0	206	2.344E-44	158
antigen_9|Q2FVL8|Assimilatory	BX571856.1	23.300	0	300	1.039E-09	59
antigen_92|O54462|Superantigen-like	BX571856.1	31.600	0	93	2.255E-06	45
antigen_14|Q2FWD6|Putative	BX571856.1	38.300	0	479	3.418E-97	323
antigen_20|Q2FWW7|ABC	BX571856.1	26.200	0	208	1.468E-15	75
antigen_55|Q2G1X0|Alpha-hemolysin	BX571856.1	26.600	0	308	1.952E-20	90
antigen_25|Q2FXJ6|Serine	BX571856.1	99.700	0	424	9.358E-266	808
antigen_26|Q2FXN2|Amino	BX571856.1	65.400	0	451	3.397E-198	614
antigen_29|Q2FYP2|ABC	BX571856.1	99.600	0	533	0.000E+00	1067
antigen_81|A0A0H3KAV3|Staphylococcal	BX571856.1	69.400	0	226	5.627E-95	304
antigen_7|Q2FVK2|Gamma-hemolysin	BX571856.1	97.700	0	315	1.815E-204	625
antigen_19|Q2FWW3|Aminotransferase	BX571856.1	97.400	0	428	4.862E-280	849
antigen_63|Q2G2Q0|DNA	BX571856.1	41.100	0	755	2.891E-173	563
antigen_30|Q2FYV4|Homoserine	BX571856.1	99.700	0	426	7.005E-275	834
antigen_31|Q2FZ49|Chromosome	BX571856.1	98.900	0	1188	0.000E+00	2202
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	BX571856.1	29.500	0	194	4.756E-11	60
antigen_73|G0Z025|Enterotoxin-like	BX571856.1	43.400	0	68	1.327E-08	51
antigen_74|A0A0H2XIH9|Fibrinogen-binding	BX571856.1	48.200	0	56	9.750E-10	54
antigen_6|Q2FVI5|Bcr/CflA	BX571856.1	28.100	0	164	1.056E-04	41
antigen_64|Q2G2W1|Quinolone	BX571856.1	21.600	0	407	6.129E-14	72
antigen_93|E2FYX5|von	BX571856.1	47.900	0	122	1.025E-22	100
antigen_8|Q2FVK3|Gamma-hemolysin	BX571856.1	99.300	0	309	6.623E-204	623
antigen_85|A0A2S1FUJ3|Superantigen-like	BX571856.1	53.400	0	234	5.471E-67	223
antigen_87|A0A0H3K7M3|Superantigen-like	BX571856.1	28.700	0	183	1.647E-09	55
antigen_46|Q2G155|Lipase	BX571856.1	97.800	0	691	0.000E+00	1335
antigen_50|Q2G1K8|Capsular	BX571856.1	99.500	0	222	2.236E-130	406
antigen_16|Q2FWP0|Uncharacterized	BX571856.1	32.200	0	265	9.253E-34	131
antigen_83|Q2G1S6|Staphylococcal	BX571856.1	87.100	0	234	4.738E-132	411
antigen_61|Q2G2G6|DUF4064	BX571856.1	99.400	0	339	4.680E-199	610
antigen_65|Q2G2Y0|Staphylococcal	BX571856.1	54.200	0	234	4.944E-66	220
antigen_40|Q2G091|ABC	BX571856.1	29.200	0	634	1.775E-79	276
antigen_41|Q2G0A2|Quinolone	BX571856.1	26.200	0	141	8.037E-06	45
antigen_42|Q2G0B3|ABC	BX571856.1	98.500	0	542	0.000E+00	1045
antigen_43|Q2G0N9|Large	BX571856.1	100.000	0	166	4.696E-99	312
