query	target	pident	nident	alnlen	evalue	bits
antigen_52|Q2G1N0|Staphyloferrin	HE681097.1	21.600	0	362	3.806E-06	46
antigen_9|Q2FVL8|Assimilatory	HE681097.1	21.900	0	332	1.462E-07	52
antigen_73|G0Z025|Enterotoxin-like	HE681097.1	37.900	0	86	1.582E-05	42
antigen_74|A0A0H2XIH9|Fibrinogen-binding	HE681097.1	94.100	0	34	1.282E-11	59
antigen_86|A0A2S1FUJ1|Superantigen-like	HE681097.1	44.400	0	232	6.499E-50	174
antigen_42|Q2G0B3|ABC	HE681097.1	25.500	0	216	2.341E-17	83
antigen_29|Q2FYP2|ABC	HE681097.1	31.400	0	502	8.309E-72	250
antigen_10|Q2FVV4|CPBP	HE681097.1	34.500	0	110	1.380E-06	46
antigen_61|Q2G2G6|DUF4064	HE681097.1	99.700	0	339	3.672E-200	614
antigen_25|Q2FXJ6|Serine	HE681097.1	34.600	0	360	2.932E-55	198
antigen_81|A0A0H3KAV3|Staphylococcal	HE681097.1	70.300	0	226	4.414E-96	307
antigen_82|A0A0H3KEE1|Staphylococcal	HE681097.1	38.600	0	180	1.858E-27	112
antigen_77|Q5HDD7|Immunoglobulin-binding	HE681097.1	91.000	0	436	2.517E-244	747
antigen_5|Q2FVH8|Membrane	HE681097.1	24.500	0	291	2.828E-06	47
antigen_32|Q2FZ93|Phospho-N-acetylmuramoyl-pentapeptide-transferase	HE681097.1	100.000	0	321	9.578E-199	608
antigen_47|Q2G168|Putative	HE681097.1	99.400	0	349	1.470E-215	659
antigen_83|Q2G1S6|Staphylococcal	HE681097.1	42.700	0	229	1.927E-50	175
antigen_84|A0A0H3KAV8|Staphylococcal	HE681097.1	37.900	0	229	2.694E-32	123
antigen_26|Q2FXN2|Amino	HE681097.1	98.200	0	452	8.506E-287	870
antigen_20|Q2FWW7|ABC	HE681097.1	33.400	0	236	2.339E-43	158
antigen_64|Q2G2W1|Quinolone	HE681097.1	21.600	0	407	4.530E-14	73
antigen_72|A0AAX2YX78|Extracellular	HE681097.1	44.800	0	147	6.463E-25	107
antigen_41|Q2G0A2|Quinolone	HE681097.1	22.100	0	386	2.165E-08	53
antigen_85|A0A2S1FUJ3|Superantigen-like	HE681097.1	52.100	0	234	2.099E-64	216
antigen_40|Q2G091|ABC	HE681097.1	99.500	0	627	0.000E+00	1219
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	HE681097.1	30.900	0	133	1.607E-09	55
antigen_66|A0A1S6DAJ0|5'-nucleotidase	HE681097.1	94.800	0	772	0.000E+00	1427
antigen_19|Q2FWW3|Aminotransferase	HE681097.1	23.400	0	267	3.192E-07	49
antigen_65|Q2G2Y0|Staphylococcal	HE681097.1	52.900	0	234	2.596E-63	213
antigen_6|Q2FVI5|Bcr/CflA	HE681097.1	28.100	0	164	1.030E-04	41
antigen_30|Q2FYV4|Homoserine	HE681097.1	100.000	0	426	2.656E-275	835
antigen_21|Q2FX09|Response	HE681097.1	22.100	0	210	4.344E-09	53
antigen_36|Q2G010|Thermonuclease	HE681097.1	98.600	0	228	1.408E-139	432
antigen_87|A0A0H3K7M3|Superantigen-like	HE681097.1	29.900	0	203	3.450E-11	60
