query	target	pident	nident	alnlen	evalue	bits
antigen_6|Q2FVI5|Bcr/CflA	CP002114.3	99.500	0	403	2.188E-242	739
antigen_13|Q2FWC4|Peptidase	CP002114.3	25.200	0	285	1.331E-09	57
antigen_20|Q2FWW7|ABC	CP002114.3	29.200	0	243	2.260E-28	113
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	CP002114.3	35.500	0	89	4.134E-07	48
antigen_34|Q2FZF0|Iron-regulated	CP002114.3	31.700	0	103	6.375E-05	43
antigen_41|Q2G0A2|Quinolone	CP002114.3	98.400	0	388	5.281E-242	737
antigen_42|Q2G0B3|ABC	CP002114.3	24.800	0	421	8.785E-29	120
antigen_24|Q2FXB0|Leucotoxin	CP002114.3	70.700	0	303	3.575E-141	441
antigen_29|Q2FYP2|ABC	CP002114.3	27.200	0	204	1.491E-15	77
antigen_30|Q2FYV4|Homoserine	CP002114.3	99.500	0	426	4.503E-274	832
antigen_43|Q2G0N9|Large	CP002114.3	100.000	0	166	4.560E-99	312
antigen_55|Q2G1X0|Alpha-hemolysin	CP002114.3	33.700	0	248	9.858E-42	154
antigen_87|A0A0H3K7M3|Superantigen-like	CP002114.3	29.200	0	111	2.354E-06	45
antigen_26|Q2FXN2|Amino	CP002114.3	23.400	0	349	1.301E-09	57
antigen_36|Q2G010|Thermonuclease	CP002114.3	98.600	0	228	3.971E-140	434
antigen_10|Q2FVV4|CPBP	CP002114.3	32.400	0	111	1.029E-06	46
antigen_92|O54462|Superantigen-like	CP002114.3	29.800	0	112	7.035E-05	40
antigen_7|Q2FVK2|Gamma-hemolysin	CP002114.3	66.800	0	312	2.459E-130	411
antigen_44|Q2G0V8|Phosphatidic	CP002114.3	99.500	0	224	2.329E-143	443
antigen_81|A0A0H3KAV3|Staphylococcal	CP002114.3	39.300	0	228	5.916E-43	153
antigen_19|Q2FWW3|Aminotransferase	CP002114.3	97.800	0	428	8.664E-283	857
antigen_64|Q2G2W1|Quinolone	CP002114.3	25.300	0	192	8.091E-11	62
antigen_65|Q2G2Y0|Staphylococcal	CP002114.3	40.900	0	229	7.524E-38	139
antigen_63|Q2G2Q0|DNA	CP002114.3	41.100	0	755	2.059E-173	563
antigen_72|A0AAX2YX78|Extracellular	CP002114.3	45.500	0	147	2.033E-25	108
antigen_73|G0Z025|Enterotoxin-like	CP002114.3	93.100	0	203	3.551E-118	369
antigen_74|A0A0H2XIH9|Fibrinogen-binding	CP002114.3	89.600	0	165	9.630E-94	297
antigen_83|Q2G1S6|Staphylococcal	CP002114.3	42.500	0	233	6.879E-39	142
antigen_84|A0A0H3KAV8|Staphylococcal	CP002114.3	98.200	0	231	7.583E-142	439
antigen_85|A0A2S1FUJ3|Superantigen-like	CP002114.3	38.000	0	228	1.837E-34	129
antigen_86|A0A2S1FUJ1|Superantigen-like	CP002114.3	38.400	0	280	2.999E-43	154
antigen_82|A0A0H3KEE1|Staphylococcal	CP002114.3	60.300	0	352	2.129E-113	364
antigen_8|Q2FVK3|Gamma-hemolysin	CP002114.3	99.000	0	309	1.208E-203	622
antigen_40|Q2G091|ABC	CP002114.3	28.300	0	209	2.289E-13	70
antigen_47|Q2G168|Putative	CP002114.3	97.700	0	349	3.100E-213	652
antigen_9|Q2FVL8|Assimilatory	CP002114.3	30.600	0	177	3.045E-12	67
antigen_5|Q2FVH8|Membrane	CP002114.3	22.800	0	381	2.133E-06	48
antigen_14|Q2FWD6|Putative	CP002114.3	25.600	0	289	2.819E-11	63
antigen_16|Q2FWP0|Uncharacterized	CP002114.3	39.800	0	315	5.516E-64	220
antigen_52|Q2G1N0|Staphyloferrin	CP002114.3	25.500	0	241	6.776E-11	61
