query	target	pident	nident	alnlen	evalue	bits
antigen_78|Q6GBS5|Serine-aspartate	BX571857.1	100.000	0	1365	0.000E+00	2450
antigen_0|P14738|Fibronectin-binding	BX571857.1	24.600	0	561	1.628E-08	55
antigen_24|Q2FXB0|Leucotoxin	BX571857.1	71.000	0	303	1.251E-140	440
antigen_26|Q2FXN2|Amino	BX571857.1	65.400	0	451	3.276E-198	614
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	BX571857.1	28.700	0	192	2.016E-10	58
antigen_88|A0A0H2DUF0|Staphylococcal	BX571857.1	45.600	0	114	2.858E-23	91
antigen_9|Q2FVL8|Assimilatory	BX571857.1	30.600	0	177	3.025E-12	67
antigen_40|Q2G091|ABC	BX571857.1	31.700	0	502	2.345E-67	240
antigen_27|Q2FXX5|Enterotoxin	BX571857.1	35.400	0	164	1.199E-23	97
antigen_17|Q2FWS0|Phi	BX571857.1	87.800	0	82	4.020E-45	152
antigen_36|Q2G010|Thermonuclease	BX571857.1	99.100	0	228	1.532E-140	435
antigen_37|Q2G015|Clumping	BX571857.1	80.000	0	248	1.341E-42	167
antigen_64|Q2G2W1|Quinolone	BX571857.1	25.500	0	374	1.209E-15	78
antigen_86|A0A2S1FUJ1|Superantigen-like	BX571857.1	43.400	0	232	2.979E-43	154
antigen_87|A0A0H3K7M3|Superantigen-like	BX571857.1	27.900	0	226	9.249E-09	53
antigen_52|Q2G1N0|Staphyloferrin	BX571857.1	21.600	0	362	3.762E-06	46
antigen_57|Q2G2B2|Surface	BX571857.1	29.400	0	186	4.121E-09	58
antigen_16|Q2FWP0|Uncharacterized	BX571857.1	31.800	0	265	2.227E-33	130
antigen_21|Q2FX09|Response	BX571857.1	25.500	0	193	1.143E-19	85
antigen_69|Q2UXD0|Clumping	BX571857.1	29.600	0	354	2.596E-23	100
antigen_48|Q2G1E2|Membrane	BX571857.1	100.000	0	459	4.804E-301	912
antigen_66|A0A1S6DAJ0|5'-nucleotidase	BX571857.1	95.000	0	772	0.000E+00	1435
antigen_79|Q2FJ77|Serine-aspartate	BX571857.1	98.000	0	1154	0.000E+00	2017
antigen_32|Q2FZ93|Phospho-N-acetylmuramoyl-pentapeptide-transferase	BX571857.1	99.600	0	321	3.340E-198	607
antigen_2|Q2FUY2|Clumping	BX571857.1	35.500	0	944	1.728E-51	196
antigen_41|Q2G0A2|Quinolone	BX571857.1	22.100	0	386	2.140E-08	53
antigen_6|Q2FVI5|Bcr/CflA	BX571857.1	28.100	0	164	1.018E-04	41
antigen_7|Q2FVK2|Gamma-hemolysin	BX571857.1	99.300	0	315	1.549E-206	631
antigen_29|Q2FYP2|ABC	BX571857.1	100.000	0	533	0.000E+00	1069
antigen_82|A0A0H3KEE1|Staphylococcal	BX571857.1	42.500	0	208	3.341E-37	141
antigen_8|Q2FVK3|Gamma-hemolysin	BX571857.1	100.000	0	309	7.035E-205	625
antigen_10|Q2FVV4|CPBP	BX571857.1	34.600	0	75	1.372E-05	43
antigen_65|Q2G2Y0|Staphylococcal	BX571857.1	53.400	0	232	2.054E-67	224
antigen_72|A0AAX2YX78|Extracellular	BX571857.1	34.000	0	144	1.932E-14	73
antigen_74|A0A0H2XIH9|Fibrinogen-binding	BX571857.1	99.300	0	165	3.339E-103	324
antigen_85|A0A2S1FUJ3|Superantigen-like	BX571857.1	51.900	0	231	9.898E-67	222
antigen_55|Q2G1X0|Alpha-hemolysin	BX571857.1	26.600	0	308	2.536E-20	90
antigen_71|Q2FWC7|Type	BX571857.1	100.000	0	267	1.130E-177	544
antigen_84|A0A0H3KAV8|Staphylococcal	BX571857.1	82.300	0	232	3.028E-116	365
antigen_70|A0AAE2ZXQ7|Collagen	BX571857.1	24.000	0	650	4.057E-05	44
antigen_81|A0A0H3KAV3|Staphylococcal	BX571857.1	38.700	0	229	5.747E-40	145
antigen_83|Q2G1S6|Staphylococcal	BX571857.1	40.500	0	234	7.228E-45	159
antigen_92|O54462|Superantigen-like	BX571857.1	33.000	0	115	2.175E-06	45
antigen_42|Q2G0B3|ABC	BX571857.1	25.100	0	485	6.532E-33	133
antigen_73|G0Z025|Enterotoxin-like	BX571857.1	42.100	0	82	2.678E-06	44
