query	target	pident	nident	alnlen	evalue	bits
antigen_81|A0A0H3KAV3|Staphylococcal	BA000018.3	35.000	0	92	1.441E-07	49
antigen_57|Q2G2B2|Surface	BA000018.3	29.400	0	186	1.817E-09	59
antigen_24|Q2FXB0|Leucotoxin	BA000018.3	71.000	0	303	1.258E-140	440
antigen_9|Q2FVL8|Assimilatory	BA000018.3	30.600	0	177	3.041E-12	67
antigen_19|Q2FWW3|Aminotransferase	BA000018.3	100.000	0	428	1.277E-286	868
antigen_43|Q2G0N9|Large	BA000018.3	100.000	0	166	4.554E-99	312
antigen_70|A0AAE2ZXQ7|Collagen	BA000018.3	24.100	0	650	4.468E-06	47
antigen_21|Q2FX09|Response	BA000018.3	25.500	0	193	1.149E-19	85
antigen_37|Q2G015|Clumping	BA000018.3	81.900	0	268	6.077E-48	184
antigen_5|Q2FVH8|Membrane	BA000018.3	25.700	0	162	1.358E-04	42
antigen_0|P14738|Fibronectin-binding	BA000018.3	24.500	0	561	2.379E-09	58
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	BA000018.3	28.600	0	216	4.192E-06	44
antigen_32|Q2FZ93|Phospho-N-acetylmuramoyl-pentapeptide-transferase	BA000018.3	28.100	0	264	9.942E-22	94
antigen_36|Q2G010|Thermonuclease	BA000018.3	99.100	0	228	8.195E-141	436
antigen_14|Q2FWD6|Putative	BA000018.3	38.500	0	479	6.981E-98	325
antigen_29|Q2FYP2|ABC	BA000018.3	99.600	0	533	0.000E+00	1067
antigen_38|Q2G034|DUF4887	BA000018.3	99.500	0	209	7.041E-109	343
antigen_40|Q2G091|ABC	BA000018.3	31.700	0	502	2.358E-67	240
antigen_63|Q2G2Q0|DNA	BA000018.3	41.100	0	755	1.106E-173	564
antigen_66|A0A1S6DAJ0|5'-nucleotidase	BA000018.3	95.500	0	772	0.000E+00	1441
antigen_83|Q2G1S6|Staphylococcal	BA000018.3	34.200	0	73	1.249E-04	40
antigen_65|Q2G2Y0|Staphylococcal	BA000018.3	40.500	0	77	2.055E-07	48
antigen_8|Q2FVK3|Gamma-hemolysin	BA000018.3	100.000	0	309	7.072E-205	625
antigen_85|A0A2S1FUJ3|Superantigen-like	BA000018.3	27.500	0	190	2.642E-08	51
antigen_87|A0A0H3K7M3|Superantigen-like	BA000018.3	27.700	0	201	5.607E-05	41
antigen_92|O54462|Superantigen-like	BA000018.3	100.000	0	234	5.142E-153	471
antigen_13|Q2FWC4|Peptidase	BA000018.3	25.300	0	372	2.244E-18	85
antigen_79|Q2FJ77|Serine-aspartate	BA000018.3	96.900	0	1154	0.000E+00	1993
antigen_26|Q2FXN2|Amino	BA000018.3	22.100	0	450	1.608E-08	54
antigen_7|Q2FVK2|Gamma-hemolysin	BA000018.3	67.500	0	312	5.090E-131	413
antigen_82|A0A0H3KEE1|Staphylococcal	BA000018.3	41.400	0	68	9.275E-07	48
antigen_86|A0A2S1FUJ1|Superantigen-like	BA000018.3	30.200	0	76	3.911E-05	41
antigen_78|Q6GBS5|Serine-aspartate	BA000018.3	92.700	0	1385	0.000E+00	2286
antigen_2|Q2FUY2|Clumping	BA000018.3	83.600	0	273	5.588E-52	197
antigen_69|Q2UXD0|Clumping	BA000018.3	28.600	0	354	6.286E-23	99
antigen_16|Q2FWP0|Uncharacterized	BA000018.3	40.100	0	315	2.953E-64	220
antigen_20|Q2FWW7|ABC	BA000018.3	25.900	0	279	1.426E-22	96
antigen_55|Q2G1X0|Alpha-hemolysin	BA000018.3	33.300	0	248	1.584E-40	150
antigen_25|Q2FXJ6|Serine	BA000018.3	34.600	0	360	8.521E-56	199
antigen_42|Q2G0B3|ABC	BA000018.3	99.600	0	542	0.000E+00	1057
antigen_74|A0A0H2XIH9|Fibrinogen-binding	BA000018.3	98.700	0	165	8.653E-103	323
antigen_73|G0Z025|Enterotoxin-like	BA000018.3	92.600	0	203	2.353E-117	367
antigen_93|E2FYX5|von	BA000018.3	58.600	0	500	1.622E-172	542
antigen_46|Q2G155|Lipase	BA000018.3	99.200	0	691	0.000E+00	1356
antigen_4|Q2FV72|Ferrous	BA000018.3	22.800	0	263	8.708E-05	42
