query	target	pident	nident	alnlen	evalue	bits
antigen_5|Q2FVH8|Membrane	CP000253.1	24.500	0	291	2.817E-06	47
antigen_55|Q2G1X0|Alpha-hemolysin	CP000253.1	33.300	0	248	1.588E-40	150
antigen_13|Q2FWC4|Peptidase	CP000253.1	24.500	0	372	2.249E-17	82
antigen_71|Q2FWC7|Type	CP000253.1	100.000	0	267	1.139E-177	544
antigen_83|Q2G1S6|Staphylococcal	CP000253.1	100.000	0	234	2.001E-153	473
antigen_46|Q2G155|Lipase	CP000253.1	100.000	0	690	0.000E+00	1365
antigen_84|A0A0H3KAV8|Staphylococcal	CP000253.1	45.400	0	208	6.511E-45	159
antigen_85|A0A2S1FUJ3|Superantigen-like	CP000253.1	55.100	0	232	2.290E-68	227
antigen_86|A0A2S1FUJ1|Superantigen-like	CP000253.1	64.600	0	232	1.683E-83	271
antigen_87|A0A0H3K7M3|Superantigen-like	CP000253.1	27.900	0	182	4.925E-10	57
antigen_26|Q2FXN2|Amino	CP000253.1	100.000	0	453	7.353E-292	885
antigen_49|Q2G1F5|Solute-binding	CP000253.1	100.000	0	590	0.000E+00	1179
antigen_33|Q2FZB1|Staphylococcal/Streptococcal	CP000253.1	28.200	0	185	1.124E-10	59
antigen_24|Q2FXB0|Leucotoxin	CP000253.1	31.800	0	282	2.366E-39	146
antigen_25|Q2FXJ6|Serine	CP000253.1	34.600	0	360	1.162E-55	199
antigen_64|Q2G2W1|Quinolone	CP000253.1	25.700	0	374	1.318E-16	81
antigen_65|Q2G2Y0|Staphylococcal	CP000253.1	56.200	0	231	2.835E-67	224
antigen_73|G0Z025|Enterotoxin-like	CP000253.1	39.700	0	77	3.158E-08	50
antigen_74|A0A0H2XIH9|Fibrinogen-binding	CP000253.1	40.000	0	74	1.277E-11	59
antigen_16|Q2FWP0|Uncharacterized	CP000253.1	40.100	0	315	2.960E-64	220
antigen_93|E2FYX5|von	CP000253.1	28.800	0	297	6.981E-15	75
antigen_20|Q2FWW7|ABC	CP000253.1	33.400	0	236	5.176E-42	154
antigen_31|Q2FZ49|Chromosome	CP000253.1	100.000	0	1188	0.000E+00	2227
antigen_40|Q2G091|ABC	CP000253.1	25.400	0	216	1.539E-15	78
antigen_29|Q2FYP2|ABC	CP000253.1	24.300	0	230	9.208E-13	68
antigen_36|Q2G010|Thermonuclease	CP000253.1	35.900	0	152	1.038E-21	91
antigen_7|Q2FVK2|Gamma-hemolysin	CP000253.1	29.100	0	312	5.788E-33	128
antigen_9|Q2FVL8|Assimilatory	CP000253.1	26.400	0	192	1.207E-05	46
antigen_81|A0A0H3KAV3|Staphylococcal	CP000253.1	100.000	0	226	2.562E-143	443
antigen_2|Q2FUY2|Clumping	CP000253.1	32.300	0	69	6.396E-04	40
antigen_42|Q2G0B3|ABC	CP000253.1	29.700	0	182	4.340E-18	85
antigen_44|Q2G0V8|Phosphatidic	CP000253.1	100.000	0	224	9.051E-144	444
antigen_82|A0A0H3KEE1|Staphylococcal	CP000253.1	60.700	0	352	5.453E-116	371
antigen_92|O54462|Superantigen-like	CP000253.1	34.600	0	93	2.754E-08	51
antigen_8|Q2FVK3|Gamma-hemolysin	CP000253.1	29.800	0	310	7.702E-38	142
antigen_52|Q2G1N0|Staphyloferrin	CP000253.1	21.600	0	362	3.791E-06	46
antigen_41|Q2G0A2|Quinolone	CP000253.1	22.100	0	386	2.157E-08	53
antigen_10|Q2FVV4|CPBP	CP000253.1	32.400	0	111	7.707E-07	47
antigen_66|A0A1S6DAJ0|5'-nucleotidase	CP000253.1	22.800	0	380	1.380E-13	72
