,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,WP_000002056.1,Cytoplasmic,0.0010,0.0162,0.9782,0.0047,0.0000,0.0000
1,WP_000002678.1,Cytoplasmic,0.0000,0.0022,0.9970,0.0008,0.0000,0.0000
2,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
3,WP_000002969.1,Cytoplasmic,0.0000,0.0067,0.9533,0.0400,0.0000,0.0000
4,WP_000003566.1,Cytoplasmic,0.0000,0.0023,0.9977,0.0000,0.0000,0.0000
5,WP_000003759.1,Cytoplasmic,0.0003,0.0155,0.9820,0.0022,0.0000,0.0000
6,WP_000003870.1,Cytoplasmic,0.0002,0.0554,0.9132,0.0312,0.0000,0.0000
7,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
8,WP_000004339.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
9,WP_000004981.1,Cytoplasmic,0.0001,0.0043,0.9946,0.0010,0.0000,0.0000
10,WP_000005212.1,Cytoplasmic,0.0023,0.0140,0.6803,0.3034,0.0000,0.0000
11,WP_000005886.1,Cytoplasmic,0.0004,0.0988,0.6701,0.2306,0.0000,0.0000
12,WP_000006551.1,Cytoplasmic,0.0005,0.0082,0.9682,0.0231,0.0000,0.0000
13,WP_000007693.1,Cytoplasmic,0.0006,0.0376,0.7003,0.2615,0.0000,0.0000
14,WP_000007967.1,Cytoplasmic Membrane,0.0000,0.0001,0.0003,0.9996,0.0000,0.0000
15,WP_000008673.1,Cytoplasmic,0.0087,0.1457,0.8290,0.0167,0.0000,0.0000
16,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
17,WP_000009238.1,Cytoplasmic,0.0052,0.1015,0.8931,0.0002,0.0000,0.0000
18,WP_000009495.1,Cytoplasmic,0.0017,0.0106,0.9707,0.0171,0.0000,0.0000
19,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
20,WP_000011687.1,Cytoplasmic,0.0001,0.1321,0.4554,0.4125,0.0000,0.0000
21,WP_000011688.1,Cytoplasmic,0.0001,0.1365,0.4373,0.4261,0.0000,0.0000
22,WP_000011823.1,Cytoplasmic Membrane,0.0028,0.1995,0.0032,0.7945,0.0000,0.0000
23,WP_000017736.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9996,0.0000,0.0000
24,WP_000018608.1,Cytoplasmic,0.0011,0.0258,0.9251,0.0480,0.0000,0.0000
25,WP_000019127.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
26,WP_000019687.1,Cytoplasmic,0.0004,0.1164,0.8761,0.0071,0.0000,0.0000
27,WP_000019743.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
28,WP_000020211.1,Cytoplasmic,0.0004,0.0109,0.9668,0.0219,0.0000,0.0000
29,WP_000020302.1,Cytoplasmic,0.0002,0.0022,0.9968,0.0008,0.0000,0.0000
30,WP_000020361.1,Cytoplasmic,0.0002,0.0018,0.9967,0.0012,0.0000,0.0000
31,WP_000020817.1,Extracellular,0.0021,0.9640,0.0001,0.0338,0.0000,0.0000
32,WP_000020853.1,Cytoplasmic,0.0000,0.0453,0.9533,0.0014,0.0000,0.0000
33,WP_000021445.1,Cytoplasmic,0.0000,0.0090,0.9908,0.0002,0.0000,0.0000
34,WP_000021864.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,1.0000,0.0000,0.0000
35,WP_000022323.1,Cytoplasmic,0.0012,0.0265,0.6177,0.3546,0.0000,0.0000
36,WP_000022732.1,Cytoplasmic,0.0004,0.0503,0.9488,0.0005,0.0000,0.0000
37,WP_000022887.1,Cytoplasmic,0.0000,0.0469,0.9521,0.0010,0.0000,0.0000
38,WP_000023324.1,Cytoplasmic,0.0009,0.0118,0.7861,0.2011,0.0000,0.0000
39,WP_000024129.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
40,WP_000024827.1,Extracellular,0.0002,0.6817,0.3165,0.0016,0.0000,0.0000
41,WP_000025835.1,Cytoplasmic Membrane,0.0000,0.0735,0.0000,0.9265,0.0000,0.0000
42,WP_000026194.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
43,WP_000026308.1,Cytoplasmic,0.0002,0.1288,0.8675,0.0035,0.0000,0.0000
44,WP_000027399.1,Cytoplasmic,0.0001,0.1854,0.8086,0.0059,0.0000,0.0000
45,WP_000027917.1,Cytoplasmic,0.0031,0.0840,0.8913,0.0216,0.0000,0.0000
46,WP_000028610.1,Cytoplasmic,0.0004,0.0037,0.9931,0.0029,0.0000,0.0000
47,WP_000028669.1,Cytoplasmic,0.0004,0.0053,0.9906,0.0036,0.0000,0.0000
48,WP_000029204.1,Cytoplasmic Membrane,0.0000,0.0002,0.0000,0.9998,0.0000,0.0000
49,WP_000029536.1,Cytoplasmic Membrane,0.0052,0.0972,0.3690,0.5286,0.0000,0.0000
50,WP_000030062.1,Cytoplasmic,0.0001,0.0125,0.9821,0.0054,0.0000,0.0000
51,WP_000030823.1,Cytoplasmic,0.0002,0.0088,0.9884,0.0026,0.0000,0.0000
52,WP_000031108.1,Cytoplasmic,0.0017,0.0024,0.9955,0.0005,0.0000,0.0000
53,WP_000031274.1,Cytoplasmic Membrane,0.0002,0.0029,0.4046,0.5923,0.0000,0.0000
54,WP_000031403.1,Cytoplasmic Membrane,0.0000,0.0004,0.0000,0.9995,0.0000,0.0000
55,WP_000031502.1,Cytoplasmic,0.0000,0.0018,0.9980,0.0001,0.0000,0.0000
56,WP_000031892.1,Cytoplasmic,0.0001,0.0056,0.9925,0.0019,0.0000,0.0000
57,WP_000032525.1,Extracellular,0.0015,0.5901,0.4059,0.0025,0.0000,0.0000
58,WP_000032650.1,Cytoplasmic,0.0001,0.0323,0.9662,0.0013,0.0000,0.0000
59,WP_000032727.1,Cytoplasmic,0.0014,0.0496,0.8876,0.0614,0.0000,0.0000
