,ACC,Localization,Cell wall & surface,Extracellular,Cytoplasmic,Cytoplasmic Membrane,Outer Membrane,Periplasmic
0,WP_000002062.1,Cytoplasmic,0.0009,0.0218,0.9726,0.0047,0.0000,0.0000
1,WP_000002683.1,Cytoplasmic Membrane,0.0000,0.0006,0.0000,0.9994,0.0000,0.0000
2,WP_000002967.1,Cytoplasmic,0.0000,0.0058,0.9588,0.0354,0.0000,0.0000
3,WP_000003566.1,Cytoplasmic,0.0000,0.0023,0.9977,0.0000,0.0000,0.0000
4,WP_000003759.1,Cytoplasmic,0.0003,0.0155,0.9820,0.0022,0.0000,0.0000
5,WP_000003870.1,Cytoplasmic,0.0002,0.0554,0.9132,0.0312,0.0000,0.0000
6,WP_000004086.1,Extracellular,0.0000,0.5134,0.4865,0.0000,0.0000,0.0000
7,WP_000004344.1,Cytoplasmic Membrane,0.0000,0.0000,0.0000,0.9999,0.0000,0.0000
8,WP_000004981.1,Cytoplasmic,0.0001,0.0043,0.9946,0.0010,0.0000,0.0000
9,WP_000005206.1,Cytoplasmic,0.0020,0.0109,0.7449,0.2422,0.0000,0.0000
10,WP_000005876.1,Cytoplasmic,0.0002,0.0469,0.8804,0.0725,0.0000,0.0000
11,WP_000006110.1,Cytoplasmic,0.0007,0.1214,0.8773,0.0007,0.0000,0.0000
12,WP_000006551.1,Cytoplasmic,0.0005,0.0082,0.9682,0.0231,0.0000,0.0000
13,WP_000006843.1,Extracellular,0.0019,0.6365,0.2710,0.0906,0.0000,0.0000
14,WP_000007686.1,Cytoplasmic,0.0006,0.0345,0.6972,0.2677,0.0000,0.0000
15,WP_000007965.1,Cytoplasmic Membrane,0.0000,0.0001,0.0002,0.9996,0.0000,0.0000
16,WP_000008683.1,Cytoplasmic,0.0114,0.1503,0.8131,0.0253,0.0000,0.0000
17,WP_000009069.1,Cytoplasmic Membrane,0.0000,0.0015,0.0001,0.9983,0.0000,0.0000
18,WP_000009238.1,Cytoplasmic,0.0052,0.1015,0.8931,0.0002,0.0000,0.0000
19,WP_000009764.1,Cytoplasmic,0.0035,0.1069,0.7741,0.1155,0.0000,0.0000
20,WP_000011542.1,Cytoplasmic Membrane,0.0000,0.0026,0.0002,0.9971,0.0000,0.0000
21,WP_000011686.1,Cytoplasmic,0.0001,0.1458,0.4683,0.3858,0.0000,0.0000
22,WP_000011688.1,Cytoplasmic,0.0001,0.1365,0.4373,0.4261,0.0000,0.0000
