accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011718.1,0.0023,0.1976,0.0039,0.7962,0.0,0.0,0.468958,0.531042,0.308256,0.685391,0.006353
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.656308,0.343692,0.589233,0.410397,0.000369
WP_000034972.1,0.0042,0.0275,0.0001,0.9683,0.0,0.0,0.988363,0.011637,0.010963,0.988922,0.000115
WP_000038224.1,0.0015,0.2607,0.0001,0.7377,0.0,0.0,0.478545,0.521455,0.274838,0.724182,0.000979
WP_000079140.1,0.0,0.0162,0.0003,0.9834,0.0,0.0,0.863929,0.136071,0.002863,0.996994,0.000143
WP_000110603.1,0.0004,0.0041,0.0143,0.9811,0.0,0.0,0.602578,0.397422,0.377853,0.619415,0.002732
WP_000111367.1,0.0001,0.0037,0.0002,0.996,0.0,0.0,0.649441,0.350559,0.001341,0.998659,0.0
WP_000120322.1,0.638,0.1638,0.0003,0.1979,0.0,0.0,0.877898,0.122102,0.052028,0.947249,0.000722
WP_000162814.1,0.0012,0.0157,0.0,0.9831,0.0,0.0,0.995775,0.004225,0.004742,0.995019,0.000239
WP_000185325.1,0.0089,0.9863,0.0016,0.0032,0.0,0.0,0.798258,0.201742,0.091114,0.892185,0.0167
WP_000197102.1,0.0542,0.1529,0.0003,0.7926,0.0,0.0,0.987661,0.012339,0.000581,0.999392,2.7e-05
WP_000205307.1,0.0,0.0103,0.0,0.9897,0.0,0.0,0.075086,0.924914,0.122198,0.862556,0.015246
WP_000216721.1,0.0016,0.3359,0.0008,0.6617,0.0,0.0,0.293436,0.706564,0.393818,0.605513,0.000669
WP_000220903.1,0.0,0.0094,0.0,0.9906,0.0,0.0,0.131991,0.868009,0.290804,0.667562,0.041634
WP_000221415.1,0.0052,0.9948,0.0,0.0,0.0,0.0,0.667716,0.332284,0.591288,0.39878,0.009932
WP_000222263.1,0.006,0.994,0.0,0.0001,0.0,0.0,0.533011,0.466989,0.557292,0.42787,0.014838
WP_000239545.1,0.0001,0.9998,0.0,0.0,0.0,0.0,0.876798,0.123202,0.037347,0.951945,0.010709
WP_000239610.1,0.0017,0.9976,0.0,0.0007,0.0,0.0,0.76104,0.23896,0.043837,0.954277,0.001886
WP_000246909.1,0.0,0.0049,0.0,0.9951,0.0,0.0,0.066403,0.933597,0.243109,0.753541,0.00335
WP_000265041.1,0.0025,0.4131,0.0079,0.5765,0.0,0.0,0.944158,0.055842,0.001323,0.998654,2.3e-05
WP_000265252.1,0.0013,0.2727,0.0015,0.7245,0.0,0.0,0.44418,0.55582,0.022707,0.977106,0.000187
WP_000267034.1,0.0001,0.5348,0.0005,0.4646,0.0,0.0,0.061929,0.938071,0.282483,0.657076,0.06044
WP_000339146.1,0.0009,0.0777,0.0026,0.9188,0.0,0.0,0.748544,0.251456,0.039075,0.960113,0.000812
WP_000351243.1,0.0,0.0551,0.0001,0.9449,0.0,0.0,0.26732,0.73268,0.32788,0.67207,5e-05
WP_000365324.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.524511,0.475489,0.955335,0.044315,0.000349
WP_000428173.1,0.0701,0.0449,0.031,0.854,0.0,0.0,0.282377,0.717623,0.403568,0.569434,0.026998
WP_000439998.1,0.001,0.355,0.0003,0.6436,0.0,0.0,0.517049,0.482951,0.123839,0.874416,0.001744
WP_000455861.1,0.0001,0.9994,0.0,0.0005,0.0,0.0,0.948565,0.051435,0.005652,0.994255,9.3e-05
WP_000456135.1,0.011,0.2536,0.0002,0.7353,0.0,0.0,0.986583,0.013417,0.006875,0.993046,7.9e-05
WP_000466746.1,0.0,0.0295,0.0003,0.9702,0.0,0.0,0.490733,0.509267,0.059731,0.895612,0.044657
WP_000467123.1,0.0,0.0,0.0,1.0,0.0,0.0,0.842024,0.157976,0.956535,0.042457,0.001008
WP_000472256.1,0.0001,0.0224,0.0006,0.9769,0.0,0.0,0.029623,0.970377,0.451962,0.54502,0.003019
WP_000473587.1,0.0003,0.9994,0.0,0.0003,0.0,0.0,0.937874,0.062126,0.018425,0.939839,0.041736
