accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
YP_498631.1,0.7627,0.1321,0.0005,0.1047,0.0,0.0,0.991407,0.001132,0.004121,0.00334,0.016685,0.983177,0.000138
YP_498634.1,0.0,0.028,0.0027,0.9692,0.0,0.0,0.125408,0.000582,0.015424,0.858587,0.334746,0.665091,0.000163
YP_498656.1,0.0,1.0,0.0,0.0,0.0,0.0,0.994497,0.000816,0.003034,0.001653,0.001103,0.998845,5.1e-05
YP_498657.1,0.0037,0.2349,0.0006,0.7608,0.0,0.0,0.00126,8.2e-05,0.998425,0.000233,0.0163,0.983186,0.000514
YP_498658.1,0.002,0.2435,0.0004,0.7542,0.0,0.0,0.001075,8.1e-05,0.998621,0.000223,0.026198,0.972666,0.001136
YP_498659.1,0.0031,0.22,0.0006,0.7764,0.0,0.0,0.00109,8.6e-05,0.998582,0.000242,0.019684,0.979354,0.000963
YP_498660.1,0.0064,0.1799,0.0009,0.8128,0.0,0.0,0.001071,0.000102,0.998582,0.000245,0.017605,0.980845,0.00155
YP_498668.1,0.0,0.0009,0.0001,0.9991,0.0,0.0,0.057794,0.000531,0.580476,0.361199,0.872448,0.125774,0.001779
YP_498670.1,0.9084,0.0524,0.0001,0.039,0.0,0.0,0.986537,0.008981,0.003804,0.000678,0.426637,0.557534,0.015829
YP_498674.1,0.0023,0.0039,0.0,0.9938,0.0,0.0,0.000361,0.000102,0.999306,0.000231,0.004572,0.995134,0.000294
YP_498695.1,0.0216,0.9768,0.0001,0.0015,0.0,0.0,0.99632,0.002144,0.000905,0.000631,0.012373,0.986584,0.001043
YP_498705.1,0.0004,0.0524,0.0001,0.9472,0.0,0.0,0.001797,0.000106,0.997879,0.000218,0.002443,0.997489,6.8e-05
YP_498706.1,0.0504,0.9471,0.0001,0.0025,0.0,0.0,0.987636,0.004184,0.005656,0.002524,0.019383,0.975618,0.005
YP_498737.1,0.004,0.3054,0.004,0.6866,0.0,0.0,0.000646,0.000209,0.998432,0.000713,0.034167,0.963712,0.002121
YP_498767.1,0.0259,0.283,0.0005,0.6907,0.0,0.0,0.000616,5.7e-05,0.999159,0.000168,0.000975,0.998938,8.7e-05
YP_498769.1,0.0001,0.063,0.0001,0.9368,0.0,0.0,0.465262,0.001453,0.129551,0.403734,0.121824,0.877049,0.001126
YP_498773.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.000598,4.2e-05,0.999204,0.000156,0.013275,0.9866,0.000125
YP_498783.1,0.005,0.1506,0.0026,0.8419,0.0,0.0,0.001198,0.000118,0.998256,0.000427,0.002391,0.9976,9e-06
YP_498789.1,0.2965,0.702,0.0002,0.0013,0.0,0.0,0.982814,0.001993,0.001993,0.013199,0.045806,0.952179,0.002014
YP_498790.1,0.0001,0.2232,0.0207,0.756,0.0,0.0,0.137447,0.007315,0.022906,0.832332,0.223271,0.248706,0.528023
YP_498800.1,0.0002,0.03,0.0007,0.969,0.0,0.0,0.143631,0.00063,0.078405,0.777333,0.099453,0.891634,0.008913
YP_498805.1,0.0,0.0,0.0,1.0,0.0,0.0,0.578981,0.088154,0.051874,0.280991,0.995047,0.003527,0.001426
YP_498843.1,0.0011,0.9989,0.0,0.0001,0.0,0.0,0.998013,0.001202,0.000529,0.000255,0.002205,0.997779,1.6e-05
YP_498847.1,0.0188,0.1657,0.0001,0.8155,0.0,0.0,0.703659,0.002845,0.022967,0.270529,0.519157,0.479865,0.000978
YP_498850.1,0.0009,0.9991,0.0,0.0,0.0,0.0,0.997218,0.001162,0.001224,0.000396,0.007434,0.992528,3.8e-05
YP_498852.1,0.0181,0.0719,0.0033,0.9068,0.0,0.0,0.475242,0.000917,0.051651,0.472191,0.928559,0.068423,0.003018
YP_498853.1,0.0055,0.0379,0.0002,0.9563,0.0,0.0,0.095756,0.001748,0.319717,0.582778,0.194884,0.798957,0.006159
YP_498863.1,0.0,0.0041,0.0001,0.9958,0.0,0.0,0.002489,0.000338,0.505823,0.49135,0.999993,4e-06,3e-06
YP_498871.1,0.0023,0.2406,0.0,0.7571,0.0,0.0,0.000302,5e-05,0.999447,0.0002,0.000384,0.999591,2.5e-05
YP_498875.1,0.0054,0.9913,0.0,0.0033,0.0,0.0,0.955558,0.021208,0.015906,0.007328,0.145373,0.754191,0.100436
YP_498890.1,0.0007,0.9989,0.0002,0.0002,0.0,0.0,0.973163,0.017617,0.002754,0.006466,0.854925,0.144359,0.000716
YP_498914.1,0.0475,0.0995,0.0003,0.8526,0.0,0.0,0.00048,7.3e-05,0.999161,0.000285,0.0019,0.99807,3.1e-05
YP_498915.1,0.0038,0.5115,0.0249,0.4599,0.0,0.0,0.002268,0.988184,0.003962,0.005587,0.984166,0.011453,0.004381
YP_498916.1,0.0,0.0015,0.0,0.9985,0.0,0.0,0.466602,0.005883,0.030313,0.497202,0.093083,0.904805,0.002112
YP_498943.1,0.0009,0.999,0.0,0.0001,0.0,0.0,0.819885,0.029227,0.013965,0.136923,0.765304,0.163004,0.071692
YP_498944.1,0.0005,0.2348,0.0,0.7647,0.0,0.0,0.502971,0.001904,0.022714,0.472411,0.370633,0.627531,0.001835
YP_498945.1,0.1136,0.2448,0.0007,0.6409,0.0,0.0,0.000422,4.3e-05,0.999392,0.000143,0.00387,0.995703,0.000427
YP_498947.1,0.0,0.0294,0.0002,0.9704,0.0,0.0,0.105843,0.003344,0.138692,0.752121,0.056469,0.89812,0.045411
YP_498951.1,0.0128,0.4539,0.0001,0.5333,0.0,0.0,0.000491,7.4e-05,0.999201,0.000234,0.002049,0.997706,0.000244
YP_498971.1,0.0147,0.9841,0.0,0.0012,0.0,0.0,0.987487,0.007408,0.004027,0.001078,0.071416,0.77129,0.157293
YP_498972.1,0.002,0.9967,0.0001,0.0012,0.0,0.0,0.942068,0.003913,0.044045,0.009974,0.006188,0.987596,0.006216
YP_498973.1,0.0461,0.9523,0.0002,0.0013,0.0,0.0,0.982026,0.003614,0.009772,0.004588,0.142247,0.816132,0.041621
YP_498975.1,0.0369,0.962,0.0001,0.001,0.0,0.0,0.976308,0.012977,0.007669,0.003045,0.027682,0.936325,0.035993
YP_498976.1,0.0264,0.9723,0.0,0.0012,0.0,0.0,0.987323,0.008639,0.002114,0.001923,0.05028,0.638514,0.311206
YP_498978.1,0.0472,0.9479,0.0001,0.0047,0.0,0.0,0.995631,0.001391,0.002405,0.000573,0.008473,0.986258,0.005269
YP_498979.1,0.059,0.9396,0.0001,0.0014,0.0,0.0,0.98519,0.002363,0.00867,0.003777,0.026002,0.966035,0.007963
YP_498980.1,0.0089,0.9686,0.0,0.0224,0.0,0.0,0.983392,0.002802,0.004913,0.008893,0.041609,0.954633,0.003758
YP_498981.1,0.0347,0.9529,0.0,0.0124,0.0,0.0,0.922105,0.003753,0.064595,0.009547,0.024264,0.964609,0.011127
YP_498982.1,0.0123,0.985,0.0,0.0026,0.0,0.0,0.955539,0.008174,0.016496,0.01979,0.020973,0.922498,0.056529
YP_498986.1,0.0029,0.9969,0.0,0.0002,0.0,0.0,0.988981,0.007047,0.002727,0.001245,0.066415,0.86976,0.063825
YP_498987.1,0.4824,0.4927,0.0081,0.0167,0.0,0.0,0.993749,0.002136,0.001777,0.002338,0.373849,0.624559,0.001591
YP_498988.1,0.1069,0.8923,0.0001,0.0007,0.0,0.0,0.963769,0.000991,0.026884,0.008357,0.016382,0.983029,0.000589
YP_498989.1,0.0017,0.3473,0.0001,0.6508,0.0,0.0,0.001161,0.00125,0.996679,0.00091,0.179955,0.819227,0.000818
YP_498990.1,0.0025,0.4676,0.0006,0.5293,0.0,0.0,0.001295,3.7e-05,0.998504,0.000164,0.001881,0.998101,1.8e-05
YP_499010.1,0.0048,0.1158,0.0,0.8795,0.0,0.0,0.000502,7.9e-05,0.999216,0.000203,0.000223,0.999757,2e-05
YP_499011.1,0.0013,0.9987,0.0,0.0,0.0,0.0,0.994915,0.003012,0.001437,0.000636,0.030374,0.967588,0.002038
YP_499028.1,0.0,0.4081,0.071,0.5209,0.0,0.0,0.130519,0.011599,0.050698,0.807184,0.01567,0.983914,0.000416
YP_499117.1,0.9378,0.0396,0.0008,0.0218,0.0,0.0,0.875151,0.090427,0.001955,0.032467,0.992421,0.004539,0.00304
YP_499118.1,0.8827,0.1166,0.0,0.0007,0.0,0.0,0.812615,0.093189,0.002787,0.091408,0.96278,0.001898,0.035323
YP_499137.1,0.0,0.0103,0.0001,0.9896,0.0,0.0,0.660095,0.008896,0.069608,0.261401,0.80684,0.190181,0.002979
YP_499180.1,0.0033,0.9963,0.0,0.0004,0.0,0.0,0.997919,0.000501,0.001324,0.000257,0.00173,0.997196,0.001074
YP_499195.1,0.0008,0.0019,0.0,0.9972,0.0,0.0,0.000794,5.9e-05,0.999024,0.000124,0.000864,0.999119,1.7e-05
YP_499199.1,0.0,0.0033,0.0005,0.9962,0.0,0.0,0.008228,0.000365,0.515518,0.475889,0.999349,0.000329,0.000322
YP_499206.1,0.0009,0.0957,0.0002,0.9032,0.0,0.0,0.997708,0.000514,0.001243,0.000535,0.000313,0.999685,2e-06
YP_499213.1,0.0,0.0001,0.0,0.9998,0.0,0.0,0.01306,0.003282,0.973835,0.009823,0.829592,0.168896,0.001512
YP_499230.1,0.057,0.9429,0.0,0.0,0.0,0.0,0.982953,0.004467,0.002627,0.009953,0.007266,0.992507,0.000227
YP_499244.1,0.0119,0.0434,0.0,0.9446,0.0,0.0,0.000361,4.6e-05,0.999389,0.000204,0.02839,0.971553,5.7e-05
