accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011825.1,0.0024,0.1766,0.0031,0.8179,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.447837,0.54715,0.005013
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.000508,5.7e-05,0.998769,0.000666,0.589233,0.410397,0.000369
WP_000034964.1,0.0034,0.0257,0.0001,0.9709,0.0,0.0,0.000598,4.2e-05,0.999204,0.000156,0.013226,0.986642,0.000131
WP_000036335.1,0.0,0.0013,0.0001,0.9986,0.0,0.0,0.02689,0.000371,0.84696,0.125779,0.851502,0.146174,0.002324
WP_000037434.1,0.0018,0.4112,0.0002,0.5868,0.0,0.0,0.152815,0.002626,0.088599,0.755959,0.474892,0.523602,0.001506
WP_000038538.1,0.0191,0.1682,0.0001,0.8126,0.0,0.0,0.703659,0.002845,0.022967,0.270529,0.521856,0.477193,0.000951
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.351133,0.001289,0.216154,0.431424,0.377154,0.620097,0.002749
WP_000111116.1,0.0,0.0036,0.0004,0.9959,0.0,0.0,0.386038,0.01347,0.031036,0.569456,0.002603,0.997396,1e-06
WP_000120317.1,0.5825,0.2053,0.0003,0.2119,0.0,0.0,0.990257,0.006461,0.002454,0.000829,0.064053,0.934707,0.00124
WP_000160858.1,0.7193,0.13,0.0,0.1507,0.0,0.0,0.847946,0.055607,0.011802,0.084645,0.957237,0.041267,0.001496
WP_000161219.1,0.0009,0.9991,0.0,0.0,0.0,0.0,0.931214,0.001001,0.023714,0.044071,0.00574,0.994252,8e-06
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.001431,8.4e-05,0.998306,0.000179,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.828547,0.163998,0.002972,0.004483,0.091697,0.890188,0.018116
WP_000197013.1,0.0537,0.0961,0.0003,0.8499,0.0,0.0,0.000807,0.000113,0.998667,0.000412,0.000198,0.999776,2.6e-05
WP_000205307.1,0.0,0.0103,0.0,0.9897,0.0,0.0,0.054124,0.000861,0.059842,0.885173,0.122198,0.862556,0.015246
WP_000208572.1,0.0021,0.1761,0.0002,0.8216,0.0,0.0,0.46193,0.001668,0.089464,0.446938,0.78489,0.202953,0.012157
WP_000216727.1,0.002,0.3725,0.001,0.6245,0.0,0.0,0.770928,0.009975,0.049243,0.169854,0.388684,0.610683,0.000633
WP_000222252.1,0.0072,0.9927,0.0,0.0001,0.0,0.0,0.602413,0.008508,0.061886,0.327193,0.701541,0.29083,0.007629
WP_000239612.1,0.004,0.9948,0.0,0.0012,0.0,0.0,0.963249,0.010164,0.018408,0.008179,0.042839,0.955489,0.001672
WP_000239820.1,0.0,0.0,0.0,1.0,0.0,0.0,0.507845,0.00151,0.035664,0.454981,0.914904,0.084293,0.000804
WP_000246909.1,0.0,0.0049,0.0,0.9951,0.0,0.0,0.059004,0.001484,0.029154,0.910359,0.243109,0.753541,0.00335
WP_000250735.1,0.0,0.0178,0.0003,0.9818,0.0,0.0,0.345362,0.001285,0.508108,0.145245,0.004287,0.995438,0.000275
WP_000265043.1,0.0022,0.4145,0.0078,0.5755,0.0,0.0,0.390369,0.000699,0.507199,0.101733,0.001284,0.998692,2.4e-05
WP_000265258.1,0.0015,0.279,0.0013,0.7182,0.0,0.0,0.529099,0.00246,0.191734,0.276708,0.028542,0.971229,0.000229
WP_000267034.1,0.0001,0.5348,0.0005,0.4646,0.0,0.0,0.384612,0.007845,0.041173,0.56637,0.282483,0.657076,0.06044
WP_000379098.1,0.0,0.0007,0.0002,0.9991,0.0,0.0,0.523054,0.035885,0.016515,0.424546,0.983002,0.016339,0.000659
WP_000428172.1,0.07,0.0472,0.0299,0.8529,0.0,0.0,0.490585,0.043363,0.076147,0.389905,0.435751,0.543349,0.0209
WP_000432068.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.658728,0.01712,0.005175,0.318977,0.959693,0.035151,0.005155
WP_000455858.1,0.0001,0.9993,0.0,0.0006,0.0,0.0,0.851983,0.003005,0.109854,0.035158,0.005657,0.994249,9.4e-05
WP_000466742.1,0.0,0.0182,0.0002,0.9816,0.0,0.0,0.065397,0.002229,0.127484,0.80489,0.162642,0.775359,0.061999
WP_000467123.1,0.0,0.0,0.0,1.0,0.0,0.0,0.833133,0.017571,0.045928,0.103367,0.956535,0.042457,0.001008
WP_000472256.1,0.0001,0.0224,0.0006,0.9769,0.0,0.0,0.25928,0.002582,0.008511,0.729628,0.451962,0.54502,0.003019
WP_000473140.1,0.0019,0.9978,0.0,0.0002,0.0,0.0,0.84683,0.045454,0.018201,0.089514,0.415095,0.214945,0.36996
WP_000482647.1,0.0,0.0923,0.0012,0.9065,0.0,0.0,0.037157,0.003544,0.642424,0.316875,0.162157,0.364401,0.473442
WP_000499647.1,0.0022,0.9232,0.0001,0.0745,0.0,0.0,0.949776,0.004907,0.027163,0.018154,0.541652,0.445875,0.012473
WP_000503564.1,0.0086,0.9866,0.001,0.0038,0.0,0.0,0.699403,0.007678,0.008521,0.284398,0.074214,0.925634,0.000152
WP_000516801.1,0.0011,0.1294,0.0,0.8695,0.0,0.0,0.337021,0.00133,0.351467,0.310182,0.886088,0.100269,0.013644
WP_000517164.1,0.0149,0.2845,0.0002,0.7004,0.0,0.0,0.0005,9.9e-05,0.999139,0.000262,0.005053,0.994885,6.2e-05
WP_000540907.1,0.002,0.3946,0.0005,0.6029,0.0,0.0,0.001273,4.4e-05,0.998531,0.000152,0.002922,0.997032,4.6e-05
WP_000549236.1,0.0037,0.1124,0.0001,0.8838,0.0,0.0,0.001276,7.4e-05,0.998447,0.000203,0.012685,0.987267,4.9e-05
WP_000556760.1,0.0,0.0037,0.0,0.9963,0.0,0.0,0.07348,0.00059,0.060001,0.865929,0.49072,0.508869,0.000411
WP_000581879.1,0.0003,0.1336,0.0,0.8661,0.0,0.0,0.766575,0.002511,0.115266,0.115648,0.211482,0.786787,0.001731
WP_000581892.1,0.0001,0.1101,0.0,0.8898,0.0,0.0,0.603004,0.001213,0.140079,0.255704,0.441593,0.554845,0.003562
WP_000582326.1,0.0,0.0006,0.0001,0.9993,0.0,0.0,0.647135,0.007514,0.16086,0.184491,0.27545,0.723701,0.000849
WP_000592318.1,0.0,0.0001,0.0,0.9999,0.0,0.0,0.802545,0.004497,0.022605,0.170353,0.247429,0.742542,0.010029
WP_000594516.1,0.0004,0.9994,0.0001,0.0002,0.0,0.0,0.937213,0.014534,0.003492,0.044761,0.048618,0.936095,0.015287
WP_000595265.1,0.0,0.051,0.0129,0.9361,0.0,0.0,0.145512,0.002227,0.019447,0.832814,0.116164,0.883607,0.000229
WP_000595402.1,0.0001,0.9999,0.0,0.0,0.0,0.0,0.984323,0.00438,0.00418,0.007116,0.141538,0.769132,0.089329
WP_000604723.1,0.0,0.0046,0.0,0.9954,0.0,0.0,0.231751,0.001539,0.1887,0.57801,0.264961,0.734614,0.000425
WP_000610232.1,0.8919,0.1068,0.0001,0.0012,0.0,0.0,0.83357,0.075298,0.002832,0.0883,0.998227,0.000991,0.000782
WP_000611512.1,0.0008,0.0282,0.0009,0.9701,0.0,0.0,0.89249,0.003745,0.00839,0.095374,0.059394,0.939149,0.001457
WP_000625899.1,0.0,0.0001,0.0,0.9999,0.0,0.0,0.012833,0.002319,0.974579,0.010268,0.795855,0.202523,0.001622
WP_000643618.1,0.0001,0.088,0.0001,0.9118,0.0,0.0,0.30083,0.001526,0.058992,0.638653,0.381735,0.612699,0.005566
WP_000645763.1,0.7753,0.1135,0.0007,0.1105,0.0,0.0,0.980185,0.003034,0.011828,0.004952,0.011943,0.987864,0.000193
WP_000648118.1,0.0351,0.1684,0.0204,0.7761,0.0,0.0,0.285764,0.011934,0.562317,0.139985,0.127275,0.822757,0.049968
WP_000649910.1,0.0,0.0001,0.0,0.9999,0.0,0.0,0.995819,0.001914,0.001537,0.00073,0.004262,0.995364,0.000374
WP_000668342.1,0.0543,0.0534,0.0,0.8922,0.0,0.0,0.000447,6.5e-05,0.999242,0.000245,0.033865,0.964182,0.001953
WP_000668623.1,0.0003,0.1425,0.0001,0.8571,0.0,0.0,0.316143,0.000827,0.041367,0.641662,0.008303,0.991581,0.000117
WP_000669003.1,0.0186,0.9784,0.0001,0.003,0.0,0.0,0.986286,0.008919,0.003831,0.000964,0.052259,0.831351,0.116391
WP_000669029.1,0.0508,0.4534,0.0023,0.4935,0.0,0.0,0.0004,4.9e-05,0.999409,0.000143,0.006189,0.993682,0.00013
WP_000669523.1,0.0663,0.933,0.0001,0.0006,0.0,0.0,0.967419,0.000928,0.024197,0.007456,0.006486,0.993068,0.000446
WP_000669659.1,0.0067,0.3182,0.0001,0.6751,0.0,0.0,0.002882,9.8e-05,0.996693,0.000327,0.007341,0.964377,0.028283
WP_000669724.1,0.4126,0.5873,0.0,0.0001,0.0,0.0,0.883651,0.00415,0.108088,0.004111,0.001735,0.996323,0.001942
WP_000676573.1,0.0092,0.9906,0.0001,0.0001,0.0,0.0,0.968085,0.027093,0.003929,0.000893,0.024987,0.952795,0.022218
WP_000681155.1,0.0001,0.0625,0.0,0.9374,0.0,0.0,0.988915,0.001047,0.009236,0.000802,0.096883,0.902862,0.000255
