accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
YP_008530238.1,0.0006,0.396,0.5861,0.0173,0.0,0.0,0.024505,0.002183,0.01416,0.959153,0.935502,0.044491,0.020007
YP_008530239.1,0.0001,0.0588,0.0001,0.941,0.0,0.0,0.078075,0.005197,0.052512,0.864216,0.858365,0.141573,6.2e-05
YP_008530240.1,0.0144,0.0961,0.8565,0.033,0.0,0.0,0.005011,0.000247,0.000396,0.994346,0.996798,0.000359,0.002844
YP_008530241.1,0.0,0.0403,0.0003,0.9593,0.0,0.0,0.019989,0.002238,0.012643,0.96513,0.9972,0.001231,0.001569
YP_008530242.1,0.0,0.0735,0.0,0.9265,0.0,0.0,0.00169,0.000231,0.023387,0.974693,0.847488,0.142161,0.010352
YP_008530243.1,0.0004,0.1276,0.846,0.026,0.0,0.0,0.005469,0.000491,0.001485,0.992555,0.998989,1.2e-05,0.001
YP_008530244.1,0.0002,0.0378,0.0004,0.9616,0.0,0.0,0.106072,0.001706,0.015349,0.876872,0.96,0.022871,0.017129
YP_008530245.1,0.0002,0.0371,0.0004,0.9623,0.0,0.0,0.113277,0.001752,0.015458,0.869513,0.958793,0.02391,0.017297
YP_498609.1,0.0107,0.0195,0.9569,0.0129,0.0,0.0,0.002197,0.000149,0.00042,0.997234,0.99996,1.7e-05,2.3e-05
YP_498610.1,0.0018,0.0127,0.8399,0.1456,0.0,0.0,0.011306,0.000452,0.000534,0.987708,0.998888,0.000126,0.000985
YP_498611.1,0.0,0.0004,0.9994,0.0002,0.0,0.0,0.002067,0.000157,0.000268,0.997509,0.998433,0.001475,9.2e-05
YP_498612.1,0.0011,0.0037,0.9819,0.0133,0.0,0.0,0.007642,0.000271,0.001318,0.990769,0.999882,3.3e-05,8.5e-05
YP_498613.1,0.0002,0.0412,0.9534,0.0052,0.0,0.0,0.002817,0.000288,0.000389,0.996506,0.999391,0.000573,3.6e-05
YP_498614.1,0.0004,0.0258,0.9683,0.0055,0.0,0.0,0.004017,0.006633,0.000645,0.988705,0.999425,0.000307,0.000268
YP_498615.1,0.0005,0.0012,0.9919,0.0064,0.0,0.0,0.347222,0.031707,0.038771,0.582301,0.084157,0.032218,0.883625
YP_498616.1,0.0001,0.0014,0.9905,0.008,0.0,0.0,0.00164,0.00019,0.00027,0.9979,0.999969,2.4e-05,7e-06
YP_498617.1,0.0,0.0006,0.9994,0.0,0.0,0.0,0.002202,0.002398,0.000373,0.995028,0.999484,8e-06,0.000508
YP_498618.1,0.0,0.0013,0.0002,0.9985,0.0,0.0,0.008396,0.000597,0.015859,0.975148,0.999953,2e-06,4.5e-05
YP_498619.1,0.0,0.0003,0.0,0.9997,0.0,0.0,0.008588,0.000285,0.006354,0.984773,0.953247,0.044537,0.002217
YP_498620.1,0.0004,0.0485,0.9429,0.0082,0.0,0.0,0.018573,0.000273,0.000993,0.980161,0.999873,0.000122,5e-06
YP_498621.1,0.0001,0.0014,0.0002,0.9983,0.0,0.0,0.00186,0.000219,0.009305,0.988616,0.999942,2.7e-05,3.1e-05
YP_498622.1,0.0,0.0027,0.0001,0.9971,0.0,0.0,0.001127,0.000712,0.009726,0.988435,0.999461,0.000499,4e-05
YP_498623.1,0.0003,0.0179,0.9816,0.0002,0.0,0.0,0.008698,0.000399,0.002571,0.988332,0.999907,7e-06,8.6e-05
YP_498624.1,0.0002,0.0199,0.9097,0.0703,0.0,0.0,0.004964,0.000152,0.000264,0.99462,0.999996,1e-06,4e-06
YP_498625.1,0.0002,0.0259,0.9731,0.0008,0.0,0.0,0.012079,0.000505,0.001896,0.985519,0.999788,0.000175,3.7e-05
YP_498626.1,0.0,0.0019,0.9911,0.007,0.0,0.0,0.004145,0.000213,0.000302,0.99534,0.999994,5e-06,1e-06
YP_498627.1,0.0001,0.001,0.0001,0.9988,0.0,0.0,0.088624,0.000328,0.009699,0.901349,0.877402,0.116543,0.006056
YP_498628.1,0.0079,0.0313,0.005,0.9558,0.0,0.0,0.047176,0.001419,0.011136,0.94027,0.997334,0.002621,4.5e-05
YP_498629.1,0.0,0.0011,0.0,0.9989,0.0,0.0,0.448612,0.000871,0.040542,0.509975,0.722884,0.267325,0.009791
YP_498630.1,0.0,0.0017,0.9977,0.0006,0.0,0.0,0.016959,0.000883,0.004028,0.97813,0.855049,0.03014,0.11481
YP_498631.1,0.7627,0.1321,0.0005,0.1047,0.0,0.0,0.991407,0.001132,0.004121,0.00334,0.016685,0.983177,0.000138
YP_498632.1,0.0047,0.1259,0.3335,0.5359,0.0,0.0,0.036884,0.000616,0.005705,0.956795,0.99676,0.002407,0.000834
YP_498633.1,0.0002,0.0067,0.9925,0.0005,0.0,0.0,0.008899,0.00034,0.002259,0.988501,0.998067,0.000555,0.001378
YP_498634.1,0.0,0.028,0.0027,0.9692,0.0,0.0,0.125408,0.000582,0.015424,0.858587,0.334746,0.665091,0.000163
YP_498635.1,0.0001,0.2923,0.7054,0.0022,0.0,0.0,0.12863,0.036874,0.044502,0.789994,0.934934,0.054984,0.010082
YP_498636.1,0.0014,0.6272,0.2543,0.1172,0.0,0.0,0.003722,8.5e-05,0.000372,0.995821,0.999915,1.3e-05,7.2e-05
YP_498637.1,0.0,0.0053,0.9944,0.0003,0.0,0.0,0.001633,0.000168,0.000236,0.997964,0.999954,2.9e-05,1.7e-05
YP_498638.1,0.0,0.3176,0.6814,0.001,0.0,0.0,0.161802,0.007829,0.043057,0.787311,0.424019,0.218126,0.357855
YP_498639.1,0.0,0.0006,0.0,0.9994,0.0,0.0,0.054892,0.009404,0.016165,0.919539,0.999337,0.000465,0.000198
YP_498640.1,0.0114,0.0449,0.9383,0.0054,0.0,0.0,0.004536,0.000986,0.000445,0.994034,0.998122,8.6e-05,0.001792
YP_498641.1,0.0006,0.1897,0.6854,0.1242,0.0,0.0,0.005604,0.001709,0.001465,0.991222,0.999919,3.2e-05,4.9e-05
YP_498642.1,0.0098,0.0396,0.8839,0.0668,0.0,0.0,0.008721,0.001059,0.074653,0.915567,0.986,0.00171,0.012291
YP_498643.1,0.0012,0.1166,0.1414,0.7409,0.0,0.0,0.021445,0.002427,0.015703,0.960425,0.990847,0.002548,0.006605
YP_498644.1,0.0002,0.003,0.93,0.0668,0.0,0.0,0.091779,0.019166,0.041383,0.847672,0.852696,0.003424,0.14388
YP_498645.1,0.0,0.0136,0.9853,0.0011,0.0,0.0,0.005793,0.000477,0.001135,0.992595,0.999747,0.000144,0.000109
YP_498646.1,0.0,0.1639,0.0001,0.836,0.0,0.0,0.001709,0.000178,0.017418,0.980694,0.997625,0.002197,0.000178
YP_498647.1,0.0001,0.014,0.9845,0.0014,0.0,0.0,0.011254,0.000724,0.001216,0.986806,0.99963,0.000186,0.000183
YP_498648.1,0.0,0.0013,0.0,0.9987,0.0,0.0,0.024105,0.001433,0.010221,0.964241,0.999534,0.000375,9.1e-05
YP_498649.1,0.0002,0.0634,0.9349,0.0015,0.0,0.0,0.003631,0.00023,0.001163,0.994976,0.999488,5.9e-05,0.000453
YP_498650.1,0.0007,0.0469,0.918,0.0343,0.0,0.0,0.006889,0.000433,0.000793,0.991885,0.958601,0.004062,0.037337
YP_498651.1,0.0002,0.154,0.7687,0.0771,0.0,0.0,0.113688,0.000624,0.003671,0.882016,0.999673,0.000114,0.000213
