accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002071.1,0.0008,0.0163,0.9788,0.0041,0.0,0.0,0.00422,0.000375,0.000485,0.99492,0.999621,0.000333,4.6e-05
WP_000002677.1,0.0,0.0022,0.9968,0.001,0.0,0.0,0.002632,0.00019,0.000308,0.996869,0.99983,9.9e-05,7.1e-05
WP_000002682.1,0.0,0.0005,0.0,0.9995,0.0,0.0,0.001773,0.00023,0.02006,0.977936,0.999771,0.000211,1.8e-05
WP_000002973.1,0.0,0.0075,0.9606,0.0319,0.0,0.0,0.006482,0.000189,0.000713,0.992616,0.99973,6.6e-05,0.000205
WP_000003566.1,0.0,0.0023,0.9977,0.0,0.0,0.0,0.00375,0.003865,0.000435,0.99195,0.999971,7e-06,2.2e-05
WP_000003755.1,0.0003,0.0121,0.9857,0.0019,0.0,0.0,0.002995,0.000421,0.000317,0.996268,0.999975,1e-05,1.5e-05
WP_000003870.1,0.0002,0.0554,0.9132,0.0312,0.0,0.0,0.002036,0.000168,0.000277,0.997519,0.99989,5.6e-05,5.3e-05
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,0.007954,0.000534,0.001166,0.990346,0.99996,5e-06,3.4e-05
WP_000004344.1,0.0,0.0,0.0,0.9999,0.0,0.0,0.043737,0.000861,0.002372,0.95303,0.999333,0.000558,0.000108
WP_000004981.1,0.0001,0.0043,0.9946,0.001,0.0,0.0,0.002902,0.000496,0.000222,0.99638,0.999839,0.000104,5.8e-05
WP_000005215.1,0.0025,0.0137,0.6862,0.2976,0.0,0.0,0.003144,0.000292,0.000326,0.996237,0.999886,4.9e-05,6.5e-05
WP_000005876.1,0.0002,0.0469,0.8804,0.0725,0.0,0.0,0.002317,8.7e-05,0.000196,0.9974,0.997394,0.000746,0.001859
WP_000006110.1,0.0007,0.1214,0.8773,0.0007,0.0,0.0,0.011002,0.000421,0.001575,0.987002,0.998815,0.000194,0.000991
WP_000006551.1,0.0005,0.0082,0.9682,0.0231,0.0,0.0,0.003018,0.000921,0.000446,0.995615,0.999964,1.4e-05,2.3e-05
WP_000007686.1,0.0006,0.0345,0.6972,0.2677,0.0,0.0,0.007139,0.001668,0.00234,0.988853,0.999764,2e-06,0.000233
WP_000007970.1,0.0,0.0001,0.0004,0.9995,0.0,0.0,0.000821,0.000108,0.004293,0.994777,0.99992,1.4e-05,6.6e-05
WP_000009071.1,0.0,0.0016,0.0001,0.9983,0.0,0.0,0.017029,0.00038,0.006208,0.976383,0.99989,1.6e-05,9.5e-05
WP_000009238.1,0.0052,0.1015,0.8931,0.0002,0.0,0.0,0.104333,0.008115,0.018002,0.869551,0.972786,0.023153,0.004061
WP_000009398.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.026763,0.000395,0.003781,0.969061,0.99991,1.8e-05,7.2e-05
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,0.002146,9.7e-05,0.00602,0.991737,0.959784,0.004178,0.036038
WP_000011687.1,0.0001,0.1321,0.4554,0.4125,0.0,0.0,0.005104,0.000649,0.000932,0.993315,0.955522,0.031416,0.013062
WP_000011688.1,0.0001,0.1365,0.4373,0.4261,0.0,0.0,0.001381,9.7e-05,0.000271,0.998251,0.998011,0.000128,0.001861
WP_000011825.1,0.0024,0.1766,0.0031,0.8179,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.447837,0.54715,0.005013
WP_000015639.1,0.0,0.5533,0.0007,0.4459,0.0,0.0,0.007615,0.000229,0.004917,0.987239,0.935781,0.05407,0.01015
WP_000017736.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.005078,0.000723,0.001671,0.992528,1.0,0.0,0.0
WP_000018608.1,0.0011,0.0258,0.9251,0.048,0.0,0.0,0.014794,0.003857,0.002859,0.97849,0.999901,6e-05,3.9e-05
WP_000019126.1,0.0,0.0,0.0,1.0,0.0,0.0,0.249376,0.01015,0.002296,0.738178,0.992566,0.006942,0.000493
WP_000019688.1,0.0004,0.1107,0.8824,0.0065,0.0,0.0,0.003023,0.000738,0.000537,0.995702,0.999968,1.3e-05,1.9e-05
WP_000019744.1,0.0,0.0,0.0,1.0,0.0,0.0,0.027321,0.000219,0.000909,0.97155,0.99998,1.5e-05,5e-06
WP_000020302.1,0.0002,0.0022,0.9968,0.0008,0.0,0.0,0.009464,0.000641,0.00128,0.988616,0.999986,6e-06,8e-06
WP_000020346.1,0.0002,0.002,0.9967,0.0011,0.0,0.0,0.030419,0.000964,0.010134,0.958482,0.967786,0.024699,0.007516
WP_000020813.1,0.0014,0.9886,0.0001,0.0099,0.0,0.0,0.006641,0.001543,0.000945,0.990871,0.999723,4.7e-05,0.000229
WP_000020853.1,0.0,0.0453,0.9533,0.0014,0.0,0.0,0.023325,0.001962,0.004847,0.969866,0.91047,0.073456,0.016074
WP_000021445.1,0.0,0.009,0.9908,0.0002,0.0,0.0,0.002975,0.000161,0.000482,0.996381,0.999961,5e-06,3.4e-05
WP_000021865.1,0.0,0.0,0.0,1.0,0.0,0.0,0.056074,0.000646,0.001979,0.941302,0.99752,0.001551,0.000929
WP_000022320.1,0.0012,0.0296,0.6073,0.3619,0.0,0.0,0.006899,0.000782,0.001337,0.990982,0.995807,0.003578,0.000615
WP_000022728.1,0.0006,0.0472,0.9516,0.0007,0.0,0.0,0.003061,0.000246,0.000341,0.996353,0.999103,0.00061,0.000287
WP_000022887.1,0.0,0.0469,0.9521,0.001,0.0,0.0,0.006037,0.000144,0.000754,0.993066,0.999534,4.7e-05,0.000419
WP_000023338.1,0.0009,0.0139,0.7435,0.2417,0.0,0.0,0.018155,0.001087,0.001722,0.979037,0.983534,0.006739,0.009727
WP_000024119.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.017136,0.000966,0.390678,0.591219,0.999164,0.000801,3.5e-05
WP_000024395.1,0.0,0.0,0.0,1.0,0.0,0.0,0.133028,0.145062,0.014687,0.707223,0.999253,0.000305,0.000442
WP_000024827.1,0.0002,0.6817,0.3165,0.0016,0.0,0.0,0.005565,0.002315,0.000737,0.991383,0.999948,8e-06,4.4e-05
WP_000025268.1,0.0006,0.153,0.4782,0.3682,0.0,0.0,0.002121,0.000279,0.000228,0.997372,0.999932,4.1e-05,2.7e-05
WP_000025835.1,0.0,0.0735,0.0,0.9265,0.0,0.0,0.00169,0.000231,0.023387,0.974693,0.847488,0.142161,0.010352
WP_000026196.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.146458,0.001097,0.03271,0.819735,0.985063,0.01469,0.000247
WP_000026308.1,0.0002,0.1288,0.8675,0.0035,0.0,0.0,0.003174,0.000223,0.000615,0.995988,0.992509,0.006,0.001491
WP_000026854.1,0.0045,0.0324,0.7322,0.2309,0.0,0.0,0.003025,0.000117,0.001269,0.995589,0.999647,0.000112,0.000241
WP_000027924.1,0.0033,0.0737,0.901,0.022,0.0,0.0,0.002346,0.000217,0.000614,0.996823,0.999858,8.8e-05,5.4e-05
WP_000028651.1,0.0003,0.0045,0.992,0.0032,0.0,0.0,0.003066,0.000553,0.00066,0.99572,0.999923,2.4e-05,5.3e-05
WP_000029204.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.047956,0.003449,0.032106,0.916488,0.977763,0.010399,0.011838
WP_000029532.1,0.0048,0.0944,0.3617,0.5391,0.0,0.0,0.002383,9.1e-05,0.00026,0.997266,0.9999,7.6e-05,2.4e-05
WP_000030075.1,0.0001,0.0128,0.9811,0.0061,0.0,0.0,0.007652,0.00033,0.000366,0.991653,0.99992,4.4e-05,3.7e-05
WP_000030811.1,0.0002,0.0093,0.9879,0.0026,0.0,0.0,0.025668,0.024848,0.002504,0.94698,0.999833,8.3e-05,8.5e-05
WP_000031112.1,0.0023,0.0039,0.993,0.0008,0.0,0.0,0.030656,0.010625,0.00715,0.951569,0.987145,4.3e-05,0.012812
WP_000031266.1,0.0002,0.0034,0.4713,0.525,0.0,0.0,0.077335,0.001947,0.0036,0.917118,0.998724,0.000427,0.000849
WP_000031403.1,0.0,0.0004,0.0,0.9995,0.0,0.0,0.010558,0.000988,0.00214,0.986314,0.999783,3.4e-05,0.000183
