accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002062.1,0.0009,0.0218,0.9726,0.0047,0.0,0.0,0.00422,0.000375,0.000485,0.99492,0.999604,0.00035,4.6e-05
WP_000002683.1,0.0,0.0006,0.0,0.9994,0.0,0.0,0.00169,0.000218,0.018319,0.979773,0.999822,0.000162,1.7e-05
WP_000002967.1,0.0,0.0058,0.9588,0.0354,0.0,0.0,0.005624,0.000169,0.000711,0.993496,0.999756,6.1e-05,0.000183
WP_000003566.1,0.0,0.0023,0.9977,0.0,0.0,0.0,0.00375,0.003865,0.000435,0.99195,0.999971,7e-06,2.2e-05
WP_000003759.1,0.0003,0.0155,0.982,0.0022,0.0,0.0,0.003189,0.000432,0.000309,0.99607,0.999977,9e-06,1.4e-05
WP_000003870.1,0.0002,0.0554,0.9132,0.0312,0.0,0.0,0.002036,0.000168,0.000277,0.997519,0.99989,5.6e-05,5.3e-05
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,0.007954,0.000534,0.001166,0.990346,0.99996,5e-06,3.4e-05
WP_000004344.1,0.0,0.0,0.0,0.9999,0.0,0.0,0.043737,0.000861,0.002372,0.95303,0.999333,0.000558,0.000108
WP_000004981.1,0.0001,0.0043,0.9946,0.001,0.0,0.0,0.002902,0.000496,0.000222,0.99638,0.999839,0.000104,5.8e-05
WP_000005206.1,0.002,0.0109,0.7449,0.2422,0.0,0.0,0.00235,0.000214,0.000267,0.99717,0.999702,0.000108,0.00019
WP_000005876.1,0.0002,0.0469,0.8804,0.0725,0.0,0.0,0.002317,8.7e-05,0.000196,0.9974,0.997394,0.000746,0.001859
WP_000006110.1,0.0007,0.1214,0.8773,0.0007,0.0,0.0,0.011002,0.000421,0.001575,0.987002,0.998815,0.000194,0.000991
WP_000006551.1,0.0005,0.0082,0.9682,0.0231,0.0,0.0,0.003018,0.000921,0.000446,0.995615,0.999964,1.4e-05,2.3e-05
WP_000006843.1,0.0019,0.6365,0.271,0.0906,0.0,0.0,0.006367,0.000136,0.00065,0.992847,0.999853,6.1e-05,8.6e-05
WP_000007686.1,0.0006,0.0345,0.6972,0.2677,0.0,0.0,0.007139,0.001668,0.00234,0.988853,0.999764,2e-06,0.000233
WP_000007965.1,0.0,0.0001,0.0002,0.9996,0.0,0.0,0.000821,0.000108,0.004293,0.994777,0.999926,1.3e-05,6.1e-05
WP_000008683.1,0.0114,0.1503,0.8131,0.0253,0.0,0.0,0.011924,0.00069,0.002167,0.985219,0.998833,0.000154,0.001013
WP_000009069.1,0.0,0.0015,0.0001,0.9983,0.0,0.0,0.017029,0.00038,0.006208,0.976383,0.99989,1.6e-05,9.5e-05
WP_000009238.1,0.0052,0.1015,0.8931,0.0002,0.0,0.0,0.104333,0.008115,0.018002,0.869551,0.972786,0.023153,0.004061
WP_000009764.1,0.0035,0.1069,0.7741,0.1155,0.0,0.0,0.003441,0.00062,0.000968,0.994971,0.999878,3.1e-05,9.1e-05
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,0.002146,9.7e-05,0.00602,0.991737,0.959784,0.004178,0.036038
WP_000011686.1,0.0001,0.1458,0.4683,0.3858,0.0,0.0,0.004362,0.000591,0.000889,0.994159,0.965637,0.024176,0.010187
WP_000011688.1,0.0001,0.1365,0.4373,0.4261,0.0,0.0,0.001381,9.7e-05,0.000271,0.998251,0.998011,0.000128,0.001861
WP_000011718.1,0.0023,0.1976,0.0039,0.7962,0.0,0.0,0.414927,0.001706,0.059172,0.524196,0.308256,0.685391,0.006353
WP_000015645.1,0.0,0.0004,0.999,0.0006,0.0,0.0,0.007855,0.000743,0.000695,0.990706,0.999687,0.000192,0.000121
WP_000017736.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.005078,0.000723,0.001671,0.992528,1.0,0.0,0.0
WP_000018608.1,0.0011,0.0258,0.9251,0.048,0.0,0.0,0.014794,0.003857,0.002859,0.97849,0.999901,6e-05,3.9e-05
WP_000019121.1,0.0,0.0,0.0,1.0,0.0,0.0,0.173107,0.005187,0.002012,0.819694,0.995084,0.004647,0.000269
WP_000019682.1,0.0004,0.136,0.8573,0.0063,0.0,0.0,0.003023,0.000738,0.000537,0.995702,0.999968,1.3e-05,1.9e-05
WP_000019744.1,0.0,0.0,0.0,1.0,0.0,0.0,0.027321,0.000219,0.000909,0.97155,0.99998,1.5e-05,5e-06
WP_000020295.1,0.0003,0.0023,0.9964,0.001,0.0,0.0,0.009879,0.000524,0.001158,0.988439,0.999984,6e-06,9e-06
WP_000020359.1,0.0002,0.0021,0.9964,0.0013,0.0,0.0,0.030419,0.000964,0.010134,0.958482,0.967615,0.025038,0.007346
WP_000020793.1,0.0012,0.9757,0.0001,0.0231,0.0,0.0,0.006641,0.001543,0.000945,0.990871,0.999732,4.5e-05,0.000223
WP_000020853.1,0.0,0.0453,0.9533,0.0014,0.0,0.0,0.023325,0.001962,0.004847,0.969866,0.91047,0.073456,0.016074
