accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011825.1,0.0024,0.1766,0.0031,0.8179,0.0,0.0,0.332943,0.667057,0.447837,0.54715,0.005013
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.656308,0.343692,0.589233,0.410397,0.000369
WP_000034964.1,0.0034,0.0257,0.0001,0.9709,0.0,0.0,0.985984,0.014016,0.013226,0.986642,0.000131
WP_000037434.1,0.0018,0.4112,0.0002,0.5868,0.0,0.0,0.205095,0.794905,0.474892,0.523602,0.001506
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.602578,0.397422,0.377154,0.620097,0.002749
WP_000111116.1,0.0,0.0036,0.0004,0.9959,0.0,0.0,0.617342,0.382658,0.002603,0.997396,1e-06
WP_000120317.1,0.5825,0.2053,0.0003,0.2119,0.0,0.0,0.866474,0.133526,0.064053,0.934707,0.00124
WP_000161219.1,0.0009,0.9991,0.0,0.0,0.0,0.0,0.881324,0.118676,0.00574,0.994252,8e-06
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.996124,0.003876,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.798258,0.201742,0.091697,0.890188,0.018116
WP_000197013.1,0.0537,0.0961,0.0003,0.8499,0.0,0.0,0.984158,0.015842,0.000198,0.999776,2.6e-05
WP_000205307.1,0.0,0.0103,0.0,0.9897,0.0,0.0,0.075086,0.924914,0.122198,0.862556,0.015246
WP_000216727.1,0.002,0.3725,0.001,0.6245,0.0,0.0,0.29663,0.70337,0.388684,0.610683,0.000633
WP_000239612.1,0.004,0.9948,0.0,0.0012,0.0,0.0,0.776686,0.223314,0.042839,0.955489,0.001672
WP_000246909.1,0.0,0.0049,0.0,0.9951,0.0,0.0,0.066403,0.933597,0.243109,0.753541,0.00335
WP_000250735.1,0.0,0.0178,0.0003,0.9818,0.0,0.0,0.828904,0.171096,0.004287,0.995438,0.000275
WP_000265043.1,0.0022,0.4145,0.0078,0.5755,0.0,0.0,0.947585,0.052415,0.001284,0.998692,2.4e-05
WP_000265258.1,0.0015,0.279,0.0013,0.7182,0.0,0.0,0.465546,0.534454,0.028542,0.971229,0.000229
WP_000267034.1,0.0001,0.5348,0.0005,0.4646,0.0,0.0,0.061929,0.938071,0.282483,0.657076,0.06044
WP_000365317.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.524511,0.475489,0.959007,0.040633,0.00036
WP_000428172.1,0.07,0.0472,0.0299,0.8529,0.0,0.0,0.305556,0.694444,0.435751,0.543349,0.0209
WP_000455858.1,0.0001,0.9993,0.0,0.0006,0.0,0.0,0.957069,0.042931,0.005657,0.994249,9.4e-05
WP_000466742.1,0.0,0.0182,0.0002,0.9816,0.0,0.0,0.347368,0.652632,0.162642,0.775359,0.061999
WP_000467123.1,0.0,0.0,0.0,1.0,0.0,0.0,0.842024,0.157976,0.956535,0.042457,0.001008
WP_000472256.1,0.0001,0.0224,0.0006,0.9769,0.0,0.0,0.029623,0.970377,0.451962,0.54502,0.003019
WP_000482647.1,0.0,0.0923,0.0012,0.9065,0.0,0.0,0.027077,0.972923,0.162157,0.364401,0.473442
WP_000503564.1,0.0086,0.9866,0.001,0.0038,0.0,0.0,0.564513,0.435487,0.074214,0.925634,0.000152
WP_000517164.1,0.0149,0.2845,0.0002,0.7004,0.0,0.0,0.963873,0.036127,0.005053,0.994885,6.2e-05
WP_000540907.1,0.002,0.3946,0.0005,0.6029,0.0,0.0,0.987817,0.012183,0.002922,0.997032,4.6e-05
WP_000549236.1,0.0037,0.1124,0.0001,0.8838,0.0,0.0,0.98416,0.01584,0.012685,0.987267,4.9e-05
WP_000556760.1,0.0,0.0037,0.0,0.9963,0.0,0.0,0.1388,0.8612,0.49072,0.508869,0.000411
WP_000581879.1,0.0003,0.1336,0.0,0.8661,0.0,0.0,0.332839,0.667161,0.211482,0.786787,0.001731
WP_000581892.1,0.0001,0.1101,0.0,0.8898,0.0,0.0,0.122076,0.877924,0.441593,0.554845,0.003562
WP_000582326.1,0.0,0.0006,0.0001,0.9993,0.0,0.0,0.881381,0.118619,0.27545,0.723701,0.000849
WP_000592318.1,0.0,0.0001,0.0,0.9999,0.0,0.0,0.37601,0.62399,0.247429,0.742542,0.010029
