accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011823.1,0.0028,0.1995,0.0032,0.7945,0.0,0.0,0.332943,0.667057,0.446483,0.548113,0.005404
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.656308,0.343692,0.589233,0.410397,0.000369
WP_000034961.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.985984,0.014016,0.013275,0.9866,0.000125
WP_000037433.1,0.0011,0.2492,0.0,0.7497,0.0,0.0,0.170552,0.829448,0.487492,0.510372,0.002136
WP_000041898.1,0.0001,0.9994,0.0,0.0004,0.0,0.0,0.862267,0.137733,0.070669,0.917008,0.012322
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.602578,0.397422,0.377154,0.620097,0.002749
WP_000111118.1,0.0,0.0044,0.0006,0.9949,0.0,0.0,0.632735,0.367265,0.002338,0.997662,1e-06
WP_000120309.1,0.5753,0.2021,0.0002,0.2223,0.0,0.0,0.853768,0.146232,0.057337,0.942171,0.000492
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.996124,0.003876,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.798258,0.201742,0.091697,0.890188,0.018116
WP_000197023.1,0.0434,0.0902,0.0003,0.8661,0.0,0.0,0.984158,0.015842,0.00021,0.999763,2.7e-05
WP_000205305.1,0.0,0.0069,0.0,0.9931,0.0,0.0,0.075335,0.924665,0.116287,0.866258,0.017455
WP_000216728.1,0.0018,0.3479,0.0007,0.6496,0.0,0.0,0.301855,0.698145,0.397818,0.601504,0.000678
WP_000222233.1,0.0063,0.9936,0.0,0.0001,0.0,0.0,0.656761,0.343239,0.530921,0.456661,0.012417
WP_000230294.1,0.0,0.0641,0.0004,0.9355,0.0,0.0,0.774669,0.225331,0.010773,0.988902,0.000325
WP_000239610.1,0.0017,0.9976,0.0,0.0007,0.0,0.0,0.76104,0.23896,0.043837,0.954277,0.001886
WP_000246909.1,0.0,0.0049,0.0,0.9951,0.0,0.0,0.066403,0.933597,0.243109,0.753541,0.00335
WP_000265252.1,0.0013,0.2727,0.0015,0.7245,0.0,0.0,0.44418,0.55582,0.022707,0.977106,0.000187
WP_000267034.1,0.0001,0.5348,0.0005,0.4646,0.0,0.0,0.061929,0.938071,0.282483,0.657076,0.06044
WP_000339144.1,0.0007,0.0836,0.0023,0.9133,0.0,0.0,0.748544,0.251456,0.039094,0.960091,0.000815
WP_000351243.1,0.0,0.0551,0.0001,0.9449,0.0,0.0,0.26732,0.73268,0.32788,0.67207,5e-05
WP_000365324.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.524511,0.475489,0.955335,0.044315,0.000349
WP_000428172.1,0.07,0.0472,0.0299,0.8529,0.0,0.0,0.305556,0.694444,0.435751,0.543349,0.0209
WP_000455861.1,0.0001,0.9994,0.0,0.0005,0.0,0.0,0.948565,0.051435,0.005652,0.994255,9.3e-05
WP_000456136.1,0.0088,0.3202,0.0002,0.6708,0.0,0.0,0.986583,0.013417,0.007663,0.992259,7.8e-05
WP_000466739.1,0.0,0.0327,0.0002,0.9671,0.0,0.0,0.485316,0.514684,0.054418,0.903661,0.041921
WP_000467124.1,0.0,0.0,0.0,1.0,0.0,0.0,0.842024,0.157976,0.956535,0.042457,0.001008
