accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011823.1,0.0028,0.1995,0.0032,0.7945,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.446483,0.548113,0.005404
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.000508,5.7e-05,0.998769,0.000666,0.589233,0.410397,0.000369
WP_000034961.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.000598,4.2e-05,0.999204,0.000156,0.013275,0.9866,0.000125
WP_000036329.1,0.0,0.001,0.0001,0.9989,0.0,0.0,0.07145,0.000687,0.519882,0.407981,0.941418,0.057604,0.000978
WP_000037433.1,0.0011,0.2492,0.0,0.7497,0.0,0.0,0.137122,0.002269,0.079409,0.781199,0.487492,0.510372,0.002136
WP_000038541.1,0.0218,0.1573,0.0001,0.8208,0.0,0.0,0.722857,0.002646,0.022673,0.251823,0.540776,0.458218,0.001006
WP_000041898.1,0.0001,0.9994,0.0,0.0004,0.0,0.0,0.809367,0.009674,0.029593,0.151366,0.070669,0.917008,0.012322
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.351133,0.001289,0.216154,0.431424,0.377154,0.620097,0.002749
WP_000111118.1,0.0,0.0044,0.0006,0.9949,0.0,0.0,0.406294,0.013929,0.034155,0.545621,0.002338,0.997662,1e-06
WP_000120309.1,0.5753,0.2021,0.0002,0.2223,0.0,0.0,0.990235,0.006169,0.002709,0.000887,0.057337,0.942171,0.000492
WP_000160859.1,0.7325,0.1382,0.0,0.1292,0.0,0.0,0.847946,0.055607,0.011802,0.084645,0.957237,0.041267,0.001496
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.001431,8.4e-05,0.998306,0.000179,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.828547,0.163998,0.002972,0.004483,0.091697,0.890188,0.018116
WP_000186215.1,0.0038,0.5213,0.0249,0.45,0.0,0.0,0.002268,0.988184,0.003962,0.005587,0.984251,0.011205,0.004544
WP_000197023.1,0.0434,0.0902,0.0003,0.8661,0.0,0.0,0.000807,0.000113,0.998667,0.000412,0.00021,0.999763,2.7e-05
WP_000205305.1,0.0,0.0069,0.0,0.9931,0.0,0.0,0.055458,0.000856,0.060385,0.883302,0.116287,0.866258,0.017455
