accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002071.1,0.0008,0.0163,0.9788,0.0041,0.0,0.0,0.00422,0.000375,0.000485,0.99492,0.999621,0.000333,4.6e-05
WP_000002683.1,0.0,0.0006,0.0,0.9994,0.0,0.0,0.00169,0.000218,0.018319,0.979773,0.999822,0.000162,1.7e-05
WP_000002973.1,0.0,0.0075,0.9606,0.0319,0.0,0.0,0.006482,0.000189,0.000713,0.992616,0.99973,6.6e-05,0.000205
WP_000003566.1,0.0,0.0023,0.9977,0.0,0.0,0.0,0.00375,0.003865,0.000435,0.99195,0.999971,7e-06,2.2e-05
WP_000003759.1,0.0003,0.0155,0.982,0.0022,0.0,0.0,0.003189,0.000432,0.000309,0.99607,0.999977,9e-06,1.4e-05
WP_000003870.1,0.0002,0.0554,0.9132,0.0312,0.0,0.0,0.002036,0.000168,0.000277,0.997519,0.99989,5.6e-05,5.3e-05
WP_000004085.1,0.0,0.5151,0.4849,0.0,0.0,0.0,0.007954,0.000534,0.001166,0.990346,0.99996,5e-06,3.4e-05
WP_000004335.1,0.0,0.0,0.0,0.9999,0.0,0.0,0.043737,0.000861,0.002372,0.95303,0.99934,0.000552,0.000108
WP_000004981.1,0.0001,0.0043,0.9946,0.001,0.0,0.0,0.002902,0.000496,0.000222,0.99638,0.999839,0.000104,5.8e-05
WP_000005212.1,0.0023,0.014,0.6803,0.3034,0.0,0.0,0.002207,0.000194,0.000269,0.99733,0.9999,4.5e-05,5.6e-05
WP_000005886.1,0.0004,0.0988,0.6701,0.2306,0.0,0.0,0.00264,0.000126,0.000263,0.99697,0.990803,0.001349,0.007849
WP_000006110.1,0.0007,0.1214,0.8773,0.0007,0.0,0.0,0.011002,0.000421,0.001575,0.987002,0.998815,0.000194,0.000991
