accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000002080.1,0.0008,0.0154,0.9795,0.0042,0.0,0.0,0.004387,0.000256,0.00043,0.994927,0.999586,0.000369,4.5e-05
WP_000002682.1,0.0,0.0005,0.0,0.9995,0.0,0.0,0.001773,0.00023,0.02006,0.977936,0.999771,0.000211,1.8e-05
WP_000002973.1,0.0,0.0075,0.9606,0.0319,0.0,0.0,0.006482,0.000189,0.000713,0.992616,0.99973,6.6e-05,0.000205
WP_000003566.1,0.0,0.0023,0.9977,0.0,0.0,0.0,0.00375,0.003865,0.000435,0.99195,0.999971,7e-06,2.2e-05
WP_000003759.1,0.0003,0.0155,0.982,0.0022,0.0,0.0,0.003189,0.000432,0.000309,0.99607,0.999977,9e-06,1.4e-05
WP_000003870.1,0.0002,0.0554,0.9132,0.0312,0.0,0.0,0.002036,0.000168,0.000277,0.997519,0.99989,5.6e-05,5.3e-05
WP_000004086.1,0.0,0.5134,0.4865,0.0,0.0,0.0,0.007954,0.000534,0.001166,0.990346,0.99996,5e-06,3.4e-05
WP_000004340.1,0.0,0.0,0.0,0.9999,0.0,0.0,0.043737,0.000861,0.002372,0.95303,0.999333,0.000558,0.000108
WP_000004981.1,0.0001,0.0043,0.9946,0.001,0.0,0.0,0.002902,0.000496,0.000222,0.99638,0.999839,0.000104,5.8e-05
WP_000005208.1,0.0022,0.0147,0.6948,0.2883,0.0,0.0,0.002207,0.000194,0.000269,0.99733,0.999894,4.5e-05,6.1e-05
WP_000005632.1,0.0,0.0,0.0,1.0,0.0,0.0,0.031794,0.000765,0.005937,0.961503,0.999988,6e-06,6e-06
WP_000005879.1,0.0002,0.0465,0.9049,0.0484,0.0,0.0,0.002226,0.000123,0.000247,0.997404,0.993135,0.001243,0.005622
WP_000006110.1,0.0007,0.1214,0.8773,0.0007,0.0,0.0,0.011002,0.000421,0.001575,0.987002,0.998815,0.000194,0.000991
WP_000006551.1,0.0005,0.0082,0.9682,0.0231,0.0,0.0,0.003018,0.000921,0.000446,0.995615,0.999964,1.4e-05,2.3e-05
WP_000007675.1,0.0005,0.0324,0.6799,0.2872,0.0,0.0,0.007072,0.001551,0.002283,0.989094,0.999726,2e-06,0.000272
WP_000007960.1,0.0,0.0001,0.0002,0.9997,0.0,0.0,0.000821,0.000108,0.004293,0.994777,0.999932,1.4e-05,5.4e-05
WP_000008061.1,0.0172,0.1469,0.8354,0.0004,0.0,0.0,0.102913,0.007391,0.017215,0.872481,0.973748,0.023309,0.002943
WP_000008671.1,0.0066,0.1467,0.8304,0.0163,0.0,0.0,0.011924,0.00069,0.002167,0.985219,0.99881,0.000157,0.001034
WP_000009075.1,0.0,0.0016,0.0001,0.9983,0.0,0.0,0.017029,0.00038,0.006208,0.976383,0.999885,1.6e-05,9.8e-05
WP_000009406.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.028169,0.000411,0.003756,0.967665,0.999914,1.6e-05,6.9e-05
WP_000011542.1,0.0,0.0026,0.0002,0.9971,0.0,0.0,0.002146,9.7e-05,0.00602,0.991737,0.959784,0.004178,0.036038
WP_000011687.1,0.0001,0.1321,0.4554,0.4125,0.0,0.0,0.005104,0.000649,0.000932,0.993315,0.955522,0.031416,0.013062
WP_000011688.1,0.0001,0.1365,0.4373,0.4261,0.0,0.0,0.001381,9.7e-05,0.000271,0.998251,0.998011,0.000128,0.001861
WP_000011827.1,0.0027,0.1951,0.0035,0.7987,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.447837,0.54715,0.005013
WP_000015642.1,0.0,0.5512,0.0007,0.4481,0.0,0.0,0.008067,0.000237,0.006159,0.985536,0.891286,0.09176,0.016954
WP_000017736.1,0.0,0.0004,0.0,0.9996,0.0,0.0,0.005078,0.000723,0.001671,0.992528,1.0,0.0,0.0
WP_000018337.1,0.0001,0.0079,0.9832,0.0087,0.0,0.0,0.00669,0.000254,0.001384,0.991672,0.999983,8e-06,9e-06
WP_000018609.1,0.0013,0.0284,0.9177,0.0526,0.0,0.0,0.014794,0.003857,0.002859,0.97849,0.999901,6e-05,3.9e-05
WP_000019127.1,0.0,0.0,0.0,1.0,0.0,0.0,0.249376,0.01015,0.002296,0.738178,0.992566,0.006942,0.000493
