accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011827.1,0.0027,0.1951,0.0035,0.7987,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.447837,0.54715,0.005013
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.000508,5.7e-05,0.998769,0.000666,0.589233,0.410397,0.000369
WP_000034978.1,0.0026,0.0211,0.0001,0.9762,0.0,0.0,0.000616,4.6e-05,0.99916,0.000179,0.018962,0.98081,0.000228
WP_000036329.1,0.0,0.001,0.0001,0.9989,0.0,0.0,0.07145,0.000687,0.519882,0.407981,0.941418,0.057604,0.000978
WP_000037500.1,0.003,0.5065,0.0001,0.4904,0.0,0.0,0.17848,0.001563,0.106191,0.713767,0.478908,0.5161,0.004993
WP_000038220.1,0.0008,0.3067,0.0002,0.6923,0.0,0.0,0.149226,0.000964,0.08358,0.76623,0.458688,0.540551,0.000761
WP_000038530.1,0.0172,0.1602,0.0001,0.8225,0.0,0.0,0.703659,0.002845,0.022967,0.270529,0.524012,0.475037,0.000951
WP_000079140.1,0.0,0.0162,0.0003,0.9834,0.0,0.0,0.354195,0.001322,0.50073,0.143753,0.002863,0.996994,0.000143
WP_000089284.1,0.002,0.7073,0.0076,0.2831,0.0,0.0,0.700353,0.010385,0.002925,0.286336,0.60195,0.381728,0.016322
WP_000110603.1,0.0004,0.0041,0.0143,0.9811,0.0,0.0,0.351133,0.001289,0.216154,0.431424,0.377853,0.619415,0.002732
WP_000111116.1,0.0,0.0036,0.0004,0.9959,0.0,0.0,0.386038,0.01347,0.031036,0.569456,0.002603,0.997396,1e-06
WP_000120330.1,0.5511,0.2027,0.0002,0.2461,0.0,0.0,0.982095,0.013142,0.003682,0.00108,0.13089,0.86499,0.00412
WP_000160848.1,0.7445,0.1248,0.0,0.1307,0.0,0.0,0.847946,0.055607,0.011802,0.084645,0.959214,0.039349,0.001437
WP_000162804.1,0.0011,0.0154,0.0,0.9835,0.0,0.0,0.001461,8.3e-05,0.998277,0.000179,0.004195,0.99563,0.000175
WP_000182553.1,0.0034,0.9966,0.0,0.0,0.0,0.0,0.636021,0.0033,0.085186,0.275493,0.514184,0.479013,0.006803
WP_000185311.1,0.0079,0.9873,0.0021,0.0027,0.0,0.0,0.829803,0.163047,0.002639,0.004511,0.099306,0.878697,0.021997
WP_000186228.1,0.0038,0.5265,0.0232,0.4465,0.0,0.0,0.002405,0.986791,0.004026,0.006778,0.98527,0.010563,0.004167
WP_000197096.1,0.0547,0.1165,0.0003,0.8284,0.0,0.0,0.000838,0.000113,0.998628,0.000421,0.00042,0.999556,2.4e-05
WP_000205307.1,0.0,0.0103,0.0,0.9897,0.0,0.0,0.054124,0.000861,0.059842,0.885173,0.122198,0.862556,0.015246
WP_000208581.1,0.0019,0.2192,0.0001,0.7787,0.0,0.0,0.46193,0.001668,0.089464,0.446938,0.786403,0.201483,0.012114
WP_000216727.1,0.002,0.3725,0.001,0.6245,0.0,0.0,0.770928,0.009975,0.049243,0.169854,0.388684,0.610683,0.000633
WP_000222271.1,0.0074,0.9926,0.0,0.0001,0.0,0.0,0.59881,0.007506,0.168613,0.225071,0.494146,0.495117,0.010737
WP_000239619.1,0.0022,0.9971,0.0,0.0008,0.0,0.0,0.891452,0.020476,0.017931,0.070141,0.22506,0.772468,0.002472
WP_000246909.1,0.0,0.0049,0.0,0.9951,0.0,0.0,0.059004,0.001484,0.029154,0.910359,0.243109,0.753541,0.00335
WP_000265043.1,0.0022,0.4145,0.0078,0.5755,0.0,0.0,0.390369,0.000699,0.507199,0.101733,0.001284,0.998692,2.4e-05
WP_000265258.1,0.0015,0.279,0.0013,0.7182,0.0,0.0,0.529099,0.00246,0.191734,0.276708,0.028542,0.971229,0.000229
WP_000267034.1,0.0001,0.5348,0.0005,0.4646,0.0,0.0,0.384612,0.007845,0.041173,0.56637,0.282483,0.657076,0.06044
WP_000274040.1,0.0,0.0086,0.0001,0.9913,0.0,0.0,0.021827,0.001531,0.781392,0.195251,0.526154,0.467656,0.00619
WP_000277154.1,0.0337,0.9365,0.0,0.0298,0.0,0.0,0.988146,0.001157,0.002182,0.008516,0.007506,0.992238,0.000256
WP_000339142.1,0.0007,0.068,0.0018,0.9296,0.0,0.0,0.349466,0.002021,0.040332,0.608181,0.037778,0.961428,0.000795
WP_000379091.1,0.0,0.0009,0.0002,0.9989,0.0,0.0,0.523054,0.035885,0.016515,0.424546,0.983928,0.015442,0.00063
WP_000428172.1,0.07,0.0472,0.0299,0.8529,0.0,0.0,0.490585,0.043363,0.076147,0.389905,0.435751,0.543349,0.0209
WP_000432070.1,0.0,0.0002,0.0,0.9998,0.0,0.0,0.658728,0.01712,0.005175,0.318977,0.959693,0.035151,0.005155
WP_000455735.1,0.0077,0.4171,0.0001,0.5751,0.0,0.0,0.000413,5.6e-05,0.999261,0.000271,0.117726,0.881998,0.000276
WP_000466746.1,0.0,0.0295,0.0003,0.9702,0.0,0.0,0.107754,0.003422,0.144915,0.743909,0.059731,0.895612,0.044657
WP_000467123.1,0.0,0.0,0.0,1.0,0.0,0.0,0.833133,0.017571,0.045928,0.103367,0.956535,0.042457,0.001008
WP_000472257.1,0.0001,0.0156,0.0003,0.984,0.0,0.0,0.25928,0.002582,0.008511,0.729628,0.472085,0.524793,0.003122
WP_000476878.1,0.0088,0.8372,0.0039,0.1502,0.0,0.0,0.000316,4.8e-05,0.999493,0.000142,0.001773,0.99791,0.000317
WP_000482647.1,0.0,0.0923,0.0012,0.9065,0.0,0.0,0.037157,0.003544,0.642424,0.316875,0.162157,0.364401,0.473442
WP_000499651.1,0.0029,0.9756,0.0001,0.0214,0.0,0.0,0.963296,0.004587,0.023881,0.008235,0.395346,0.589859,0.014795
WP_000516800.1,0.001,0.139,0.0,0.86,0.0,0.0,0.337021,0.00133,0.351467,0.310182,0.897379,0.091946,0.010675
WP_000540898.1,0.0036,0.2181,0.0003,0.7781,0.0,0.0,0.000514,6.7e-05,0.999236,0.000184,0.002746,0.997009,0.000245
WP_000540914.1,0.0008,0.4879,0.0001,0.5112,0.0,0.0,0.000769,7.2e-05,0.998941,0.000219,0.012238,0.987263,0.000499
