accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011826.1,0.0024,0.1841,0.0031,0.8104,0.0,0.0,0.384471,0.00153,0.039319,0.57468,0.447837,0.54715,0.005013
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.000508,5.7e-05,0.998769,0.000666,0.589233,0.410397,0.000369
WP_000034846.1,0.0015,0.9964,0.0,0.0021,0.0,0.0,0.494503,0.001092,0.501455,0.00295,0.003795,0.996079,0.000126
WP_000034961.1,0.0034,0.0237,0.0,0.9729,0.0,0.0,0.000598,4.2e-05,0.999204,0.000156,0.013275,0.9866,0.000125
WP_000036330.1,0.0,0.0011,0.0001,0.9988,0.0,0.0,0.07145,0.000687,0.519882,0.407981,0.94018,0.058841,0.000979
WP_000038527.1,0.0167,0.1632,0.0001,0.8201,0.0,0.0,0.703659,0.002845,0.022967,0.270529,0.524012,0.475037,0.000951
WP_000041897.1,0.0002,0.9993,0.0,0.0005,0.0,0.0,0.809367,0.009674,0.029593,0.151366,0.073357,0.915442,0.011202
WP_000110600.1,0.0004,0.0041,0.0158,0.9797,0.0,0.0,0.351133,0.001289,0.216154,0.431424,0.377154,0.620097,0.002749
WP_000111117.1,0.0,0.0047,0.0009,0.9944,0.0,0.0,0.379507,0.013845,0.031988,0.57466,0.002222,0.997778,1e-06
WP_000120296.1,0.592,0.1927,0.0002,0.215,0.0,0.0,0.990235,0.006169,0.002709,0.000887,0.060069,0.938882,0.001049
WP_000141557.1,0.0001,0.523,0.0,0.4769,0.0,0.0,0.488675,0.047176,0.082828,0.38132,0.896654,0.094838,0.008508
WP_000160859.1,0.7325,0.1382,0.0,0.1292,0.0,0.0,0.847946,0.055607,0.011802,0.084645,0.957237,0.041267,0.001496
WP_000162810.1,0.0012,0.0155,0.0,0.9832,0.0,0.0,0.001431,8.4e-05,0.998306,0.000179,0.004365,0.995456,0.000179
WP_000185319.1,0.0089,0.986,0.0018,0.0034,0.0,0.0,0.828547,0.163998,0.002972,0.004483,0.091697,0.890188,0.018116
WP_000186223.1,0.0037,0.5106,0.0224,0.4633,0.0,0.0,0.002268,0.988184,0.003962,0.005587,0.984798,0.011004,0.004198
WP_000197018.1,0.047,0.0936,0.0003,0.8591,0.0,0.0,0.000807,0.000113,0.998667,0.000412,0.000203,0.99977,2.7e-05
