accession,deeplocpro_prob_cell_wall_surface,deeplocpro_prob_extracellular,deeplocpro_prob_cytoplasmic,deeplocpro_prob_cytoplasmic_membrane,deeplocpro_prob_outer_membrane,deeplocpro_prob_periplasmic,signalp_prob_signalp,signalp_prob_tat,signalp_prob_lipo,signalp_prob_other,targetp_prob_noTP,targetp_prob_SP,targetp_prob_mTP
WP_000011718.1,0.0023,0.1976,0.0039,0.7962,0.0,0.0,0.414927,0.001706,0.059172,0.524196,0.308256,0.685391,0.006353
WP_000032836.1,0.0,0.0025,0.0,0.9975,0.0,0.0,0.000508,5.7e-05,0.998769,0.000666,0.589233,0.410397,0.000369
WP_000034972.1,0.0042,0.0275,0.0001,0.9683,0.0,0.0,0.000597,4.1e-05,0.999205,0.000157,0.010963,0.988922,0.000115
WP_000036325.1,0.0,0.0014,0.0001,0.9985,0.0,0.0,0.034585,0.000368,0.598753,0.366295,0.960688,0.038684,0.000628
WP_000038224.1,0.0015,0.2607,0.0001,0.7377,0.0,0.0,0.30005,0.001239,0.131865,0.566846,0.274838,0.724182,0.000979
WP_000038521.1,0.0176,0.1631,0.0001,0.8193,0.0,0.0,0.703659,0.002845,0.022967,0.270529,0.524012,0.475037,0.000951
WP_000079140.1,0.0,0.0162,0.0003,0.9834,0.0,0.0,0.354195,0.001322,0.50073,0.143753,0.002863,0.996994,0.000143
WP_000110603.1,0.0004,0.0041,0.0143,0.9811,0.0,0.0,0.351133,0.001289,0.216154,0.431424,0.377853,0.619415,0.002732
WP_000111367.1,0.0001,0.0037,0.0002,0.996,0.0,0.0,0.404206,0.011331,0.033497,0.550966,0.001341,0.998659,0.0
WP_000120322.1,0.638,0.1638,0.0003,0.1979,0.0,0.0,0.989881,0.005914,0.003394,0.000811,0.052028,0.947249,0.000722
WP_000160868.1,0.7416,0.1269,0.0,0.1314,0.0,0.0,0.868669,0.048983,0.010687,0.07166,0.935388,0.062979,0.001633
WP_000162814.1,0.0012,0.0157,0.0,0.9831,0.0,0.0,0.001437,8.8e-05,0.998294,0.000182,0.004742,0.995019,0.000239
