parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
taxon_protein:777-other,['Other Coxiella burnetii protein'],"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']","['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']"
UNIPROT:H7C7D7,['Outer membrane protein (UniProt:H7C7D7)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg', 'Mus musculus (mouse)']"
UNIPROT:H7C7E4,['Uncharacterized protein (UniProt:H7C7E4)'],"['Coxiella burnetii', 'Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)']","['Homo sapiens (human)', 'Mus musculus (mouse)']"
UNIPROT:P0C8S3,['Large ribosomal subunit protein bL12 (UniProt:P0C8S3)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']"
UNIPROT:P19421,['Chaperonin GroEL (UniProt:P19421)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg']"
UNIPROT:P51752,['Peptidyl-prolyl cis-trans isomerase Mip (UniProt:P51752)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg']"
UNIPROT:P59650,['Deoxyhypusine synthase-like protein (UniProt:P59650)'],"[""Coxiella burnetii 'MSU Goat Q177' (Coxiella burnetii str. 'MSU Goat Q177')"", 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)']
UNIPROT:Q45952,['Uncharacterized protein CBUA0006 (UniProt:Q45952)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']"
UNIPROT:Q81ZP4,['Transposase (UniProt:Q81ZP4)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']"
UNIPROT:Q820B6,['Serine/threonine protein kinase domain protein (UniProt:Q820B6)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']"
UNIPROT:Q83A25,['Transcription termination factor Rho (UniProt:Q83A25)'],['Coxiella burnetii'],['Homo sapiens (human)']
UNIPROT:Q83A33,['Fic family protein (UniProt:Q83A33)'],['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']"
