source_organism,host_organisms,antigen_name,gene_name,Uniprot_ID,source
"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']","['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['Other Coxiella burnetii protein'],,,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg', 'Mus musculus (mouse)']",['Outer membrane protein (UniProt:H7C7D7)'],,H7C7D7,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)']","['Homo sapiens (human)', 'Mus musculus (mouse)']",['Uncharacterized protein (UniProt:H7C7E4)'],,H7C7E4,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Large ribosomal subunit protein bL12 (UniProt:P0C8S3)'],,P0C8S3,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg']",['Chaperonin GroEL (UniProt:P19421)'],,P19421,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg']",['Peptidyl-prolyl cis-trans isomerase Mip (UniProt:P51752)'],,P51752,IEDB
"[""Coxiella burnetii 'MSU Goat Q177' (Coxiella burnetii str. 'MSU Goat Q177')"", 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['Deoxyhypusine synthase-like protein (UniProt:P59650)'],,P59650,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Uncharacterized protein CBUA0006 (UniProt:Q45952)'],,Q45952,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Transposase (UniProt:Q81ZP4)'],,Q81ZP4,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Serine/threonine protein kinase domain protein (UniProt:Q820B6)'],,Q820B6,IEDB
['Coxiella burnetii'],['Homo sapiens (human)'],['Transcription termination factor Rho (UniProt:Q83A25)'],,Q83A25,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Fic family protein (UniProt:Q83A33)'],,Q83A33,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['Hypothetical exported protein (UniProt:Q83A39)'],,Q83A39,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Hypothetical exported protein (UniProt:Q83A45)'],,Q83A45,IEDB
['Coxiella burnetii RSA 493'],['Homo sapiens (human)'],['Proline/betaine transporter (UniProt:Q83A52)'],,Q83A52,IEDB
['Coxiella burnetii'],['Homo sapiens (human)'],"[""DNA 3'-5' helicase (UniProt:Q83A56)""]",,Q83A56,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Uncharacterized protein (UniProt:Q83A58)'],,Q83A58,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['YqaJ viral recombinase domain-containing protein (UniProt:Q83A93)'],,Q83A93,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Uncharacterized protein (UniProt:Q83A99)'],,Q83A99,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 493']","['Homo sapiens (human)', 'Mus musculus (mouse)']",['DNA topoisomerase 1 (UniProt:Q83AA5)'],,Q83AA5,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus (mouse)']",['Bcr/CflA family efflux transporter (UniProt:Q83AD7)'],,Q83AD7,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['ATP synthase subunit alpha (UniProt:Q83AF7)'],,Q83AF7,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']","['Bos taurus (bovine)', 'Homo sapiens (human)', 'Mus musculus (mouse)']",['Cell division ATP-binding protein FtsE (UniProt:Q83AI2)'],,Q83AI2,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg']",['Hypothetical exported protein (UniProt:Q83AL4)'],,Q83AL4,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)']",['Homo sapiens (human)'],['Oligopeptide transport system permease protein (UniProt:Q83AM5)'],,Q83AM5,IEDB
['Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)'],['Homo sapiens (human)'],['3-hydroxyisobutyryl-CoA hydrolase (UniProt:Q83AM7)'],,Q83AM7,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['GtrA family protein (UniProt:Q83AN0)'],,Q83AN0,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Protoporphyrinogen oxidase (UniProt:Q83AP6)'],,Q83AP6,IEDB
"['Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']",['Homo sapiens (human)'],['Hypothetical exported protein (UniProt:Q83AW0)'],,Q83AW0,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Uncharacterized protein CBU_1754 (UniProt:Q83AX3)'],,Q83AX3,IEDB
"['Coxiella burnetii', ""Coxiella burnetii 'MSU Goat Q177' (Coxiella burnetii str. 'MSU Goat Q177')"", 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['Thiol:disulfide interchange protein DsbD (UniProt:Q83B02)'],,Q83B02,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Aminomethyltransferase (UniProt:Q83B06)'],,Q83B06,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Hypothetical cytosolic protein (UniProt:Q83B41)'],,Q83B41,IEDB
['Coxiella burnetii'],"['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['ATP-binding protein (UniProt:Q83B70)'],,Q83B70,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Uncharacterized protein (UniProt:Q83B74)'],,Q83B74,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['IcmB (UniProt:Q83B91)'],,Q83B91,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Hypothetical membrane spanning protein (UniProt:Q83BF4)'],,Q83BF4,IEDB
['Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)'],['Homo sapiens (human)'],['Vitamin B12-dependent ribonucleotide reductase (UniProt:Q83BF6)'],,Q83BF6,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus (mouse)']",['F-box domain-containing protein (UniProt:Q83BG5)'],,Q83BG5,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Short chain dehydrogenase (UniProt:Q83BJ5)'],,Q83BJ5,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Tetratricopeptide repeat family protein (UniProt:Q83BP6)'],,Q83BP6,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['Hypothetical membrane spanning protein (UniProt:Q83BS3)'],,Q83BS3,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Uncharacterized HTH-type transcriptional regulator CBU_1416 (UniProt:Q83BT6)'],,Q83BT6,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Dihydrolipoyllysine-residue succinyltransferase component of 2-oxoglutarate dehydrogenase complex (UniProt:Q83BU7)'],,Q83BU7,IEDB
"['Coxiella burnetii', ""Coxiella burnetii 'MSU Goat Q177' (Coxiella burnetii str. 'MSU Goat Q177')""]",['Homo sapiens (human)'],"['Ditrans,polycis-undecaprenyl-diphosphate synthase ((2E,6E)-farnesyl-diphosphate specific) (UniProt:Q83BV5)']",,Q83BV5,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)']","['Homo sapiens (human)', 'Mus musculus (mouse)']",['ATP-dependent zinc metalloprotease FtsH (UniProt:Q83BY5)'],,Q83BY5,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 493']",['Homo sapiens (human)'],['Hypothetical cytosolic protein (UniProt:Q83BY8)'],,Q83BY8,IEDB
['Coxiella burnetii'],['Homo sapiens (human)'],"[""Inosine-5'-monophosphate dehydrogenase (UniProt:Q83BZ5)""]",,Q83BZ5,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Hypothetical cytosolic protein (UniProt:Q83C21)'],,Q83C21,IEDB
"['Coxiella burnetii', 'Coxiella burnetii RSA 331 (Coxiella burnetii str. RSA 331)']","['Homo sapiens (human)', 'Mus musculus (mouse)']",['Carbamoyl phosphate synthase large chain (UniProt:Q83C50)'],,Q83C50,IEDB
['Coxiella burnetii Q321 (Coxiella burnetii str. Q321)'],['Homo sapiens (human)'],['Lipoyl synthase (UniProt:Q83C63)'],,Q83C63,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Uncharacterized protein CBU_1260 (UniProt:Q83C69)'],,Q83C69,IEDB
"['Coxiella burnetii', 'Coxiella burnetii CbuK_Q154 (Coxiella burnetii str. CbuK_Q154)', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)']",['Homo sapiens (human)'],['Integral membrane protein (UniProt:Q83C79)'],,Q83C79,IEDB
['Coxiella burnetii'],['Homo sapiens (human)'],['Hypothetical ATPase (UniProt:Q83C94)'],,Q83C94,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']",['Homo sapiens (human)'],"[""DNA 3'-5' helicase (UniProt:Q83C98)""]",,Q83C98,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Hypothetical membrane spanning protein (UniProt:Q83CA7)'],,Q83CA7,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus HLA-DR3 Tg', 'Mus musculus (mouse)']",['Hypothetical exported protein (UniProt:Q83CG1)'],,Q83CG1,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']","['Homo sapiens (human)', 'Mus musculus (mouse)']",['Transcription-repair-coupling factor (UniProt:Q83CG9)'],,Q83CG9,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)', 'Coxiella burnetii RSA 493']",['Homo sapiens (human)'],['Hypothetical membrane associated protein (UniProt:Q83CH1)'],,Q83CH1,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Sec translocon accessory complex subunit YajC (UniProt:Q83CH2)'],,Q83CH2,IEDB
['Coxiella burnetii Dugway 5J108-111 (Coxiella burnetii str. Dugway)'],['Homo sapiens (human)'],['Enhanced entry protein (UniProt:Q83CH8)'],,Q83CH8,IEDB
['Coxiella burnetii'],['Homo sapiens (human)'],['Ribonuclease R (UniProt:Q83CM3)'],,Q83CM3,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['DUF924 domain-containing protein (UniProt:Q83CN2)'],,Q83CN2,IEDB
"['Coxiella burnetii', 'Coxiella burnetii Q321 (Coxiella burnetii str. Q321)', 'Coxiella burnetii RSA 493']","['Homo sapiens (human)', 'Mus musculus C57BL/6', 'Mus musculus (mouse)']",['Segregation and condensation protein A (UniProt:Q83CP8)'],,Q83CP8,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['phospholipase D (UniProt:Q83CY3)'],,Q83CY3,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)', 'Mus musculus HLA-DR3 Tg']",['Hypothetical exported membrane associated protein (UniProt:Q83D52)'],,Q83D52,IEDB
['Coxiella burnetii'],"['Cavia porcellus Duncan-Hartley', 'Homo sapiens (human)']",['Hypothetical cytosolic protein (UniProt:Q83D57)'],,Q83D57,IEDB
"['Coxiella burnetii', ""Coxiella burnetii 'MSU Goat Q177' (Coxiella burnetii str. 'MSU Goat Q177')""]","['Homo sapiens (human)', 'Mus musculus (mouse)']",['Hypothetical membrane spanning protein (UniProt:Q83D89)'],,Q83D89,IEDB
['Coxiella burnetii RSA 493'],['Homo sapiens (human)'],['Hypothetical membrane spanning protein (UniProt:Q83DA1)'],,Q83DA1,IEDB
