Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_149|O83956|Rubredoxin|AHN67633.1|tpos:1-52,0.588,0.0,0.0,0.588,Allergen
antigen_18|O83530|Crossover|AHN67188.1|tpos:1-196,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_19|O83324|Probable|AHN66992.1|tpos:1-313,0.143,0.0,0.0,0.143,Non-Allergen
antigen_20|O83640|Tryptophan--tRNA|AHN67300.1|tpos:1-337,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_190|O83720|Ribosomal|AHN67396.1|tpos:1-111,0.255,0.0,-0.5,-0.245,Non-Allergen
antigen_57|O83819|Uncharacterized|AHN67501.1|tpos:1-111,0.518,0.5,0.0,1.018,Allergen
antigen_58|O66107|Ribulose-phosphate|AHN67585.1|tpos:1-218,0.06,0.0,0.0,0.06,Non-Allergen
antigen_59|O83452|dITP/XTP|AHN67117.1|tpos:1-254,0.051,0.5,-0.5,0.051,Non-Allergen
antigen_8|O83168|Uncharacterized|AHN66835.1|tpos:5-64,0.302,0.0,0.0,0.302,Allergen
antigen_10|O83195|Proline--tRNA|AHN66864.1|tpos:3-619,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_23|O83975|Peptidyl-tRNA|AHN67653.1|tpos:1-202,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_78|O83797|Uncharacterized|AHN67478.1|tpos:1-61,0.202,0.0,0.0,0.202,Non-Allergen
antigen_80|O83969|Recombination|AHN67646.1|tpos:1-201,0.21,0.0,0.0,0.21,Non-Allergen
antigen_150|O83878|tRNA|AHN67551.1|tpos:1-250,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_49|O83463|Uncharacterized|AHN67130.1|tpos:1-196,0.197,0.0,0.0,0.197,Non-Allergen
antigen_56|O83386|4-diphosphocytidyl-2-C-methyl-D-erythritol|AHN67056.1|tpos:1-291,0.18,0.0,-0.5,-0.32,Non-Allergen
antigen_116|O83099|Large|AHN66763.1|tpos:1-156,0.1,0.0,-0.5,-0.4,Non-Allergen
antigen_118|O83253|Uncharacterized|AHN66924.1|tpos:1-34,0.212,0.0,0.0,0.212,Non-Allergen
antigen_119|O83142|Probable|AHN66807.1|tpos:1-593,0.03,0.0,0.5,0.53,Allergen
antigen_177|O66106|Ribosomal|AHN67586.1|tpos:1-222,0.058,0.0,-0.5,-0.442,Non-Allergen
antigen_16|O83723|Probable|AHN67399.1|tpos:1-204,0.037,0.0,-0.5,-0.463,Non-Allergen
antigen_17|O83859|tRNA|AHN67538.1|tpos:1-361,0.229,0.0,-0.5,-0.271,Non-Allergen
antigen_44|O83690|Protein|AHN67354.1|tpos:1-407,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_45|O83230|Large|AHN66899.1|tpos:1-103,0.223,0.5,-0.5,0.223,Non-Allergen
antigen_46|B2S369|Probable|AHN67152.1|tpos:1-245,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_47|O83254|Uncharacterized|AHN66926.1|tpos:1-228,0.046,0.0,0.0,0.046,Non-Allergen
antigen_161|O83131|Uncharacterized|AHN66797.1|tpos:1-215,0.252,0.0,0.0,0.252,Non-Allergen
antigen_162|O83710|Flagellar|AHN67374.1|tpos:1-376,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_163|O84003|ATP-dependent|AHN67685.1|tpos:1-199,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_74|O83990|Uridine|AHN67672.1|tpos:21-278,0.281,0.5,-0.5,0.281,Non-Allergen
antigen_75|O83979|Transcription|AHN67657.1|tpos:1-141,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_76|O83229|Large|AHN66898.1|tpos:1-122,0.243,0.0,0.0,0.243,Non-Allergen
antigen_117|O83170|Uncharacterized|AHN66837.1|tpos:1-376,0.727,0.5,-0.5,0.727,Allergen
antigen_120|O07896|Ribonuclease|AHN67471.1|tpos:1-308,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_165|O83266|Large|AHN66937.1|tpos:1-226,0.151,0.0,0.0,0.151,Non-Allergen
antigen_134|O83739|Small|AHN67416.1|tpos:1-69,0.072,0.0,0.0,0.072,Non-Allergen
antigen_135|O83575|Uncharacterized|AHN67236.1|tpos:1-292,0.06,0.0,0.0,0.06,Non-Allergen
antigen_5|O83490|6-phosphogluconolactonase|AHN67155.1|tpos:1-212,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_6|O83806|Tyrosine--tRNA|AHN67488.1|tpos:8-416,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_194|O83485|UvrABC|AHN67151.1|tpos:1-691,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_107|O83066|Uncharacterized|AHN66724.1|tpos:1-681,0.014,0.0,0.0,0.014,Non-Allergen
antigen_121|O83258|Replication|AHN66930.1|tpos:1-657,0.169,0.0,-0.5,-0.331,Non-Allergen
antigen_2|O83608|Uncharacterized|AHN67268.1|tpos:1-217,0.209,0.0,0.0,0.209,Non-Allergen
antigen_35|O83727|Large|AHN67403.1|tpos:7-111,0.218,0.0,-0.5,-0.282,Non-Allergen
antigen_100|O83668|Fructose-bisphosphate|AHN67325.1|tpos:1-332,0.055,0.0,0.5,0.555,Allergen
antigen_101|O83766|Uncharacterized|AHN67445.1|tpos:1-121,0.252,0.0,0.0,0.252,Non-Allergen
antigen_102|O83228|Small|AHN66897.1|tpos:1-84,0.153,0.0,0.0,0.153,Non-Allergen
antigen_103|O83845|tRNA|AHN67524.1|tpos:13-147,0.116,0.0,-0.5,-0.384,Non-Allergen
antigen_36|O83074|Uncharacterized|AHN66733.1|tpos:1-92,0.154,0.0,0.0,0.154,Non-Allergen
antigen_37|O83537|Elongation|AHN67195.1|tpos:1-187,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_39|O83792|Uncharacterized|AHN67469.1|tpos:1-221,0.009,0.5,-0.5,0.009,Non-Allergen
antigen_181|O83590|Lipoprotein-releasing|AHN67253.1|tpos:1-226,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_184|O83546|Uncharacterized|AHN67206.1|tpos:25-94,0.29,0.0,0.0,0.29,Non-Allergen
antigen_185|O83653|Serine--tRNA|AHN67313.1|tpos:1-426,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_14|O83101|Single-stranded|AHN66765.1|tpos:1-176,0.123,0.0,0.0,0.123,Non-Allergen
antigen_15|O83279|Apolipoprotein|AHN66951.1|tpos:1-546,0.111,0.0,-0.5,-0.389,Non-Allergen
antigen_174|O83564|Putative|AHN67225.1|tpos:1-403,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_175|O83237|Large|AHN66907.1|tpos:1-153,0.202,0.5,-0.5,0.202,Non-Allergen
antigen_176|O83220|Large|AHN66889.1|tpos:1-216,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_69|O83822|Translation|AHN67504.1|tpos:1-173,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_178|O83129|Cysteine--tRNA|AHN66795.1|tpos:1-520,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_71|O07887|Motility|AHN67382.1|tpos:3-240,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_72|P96118|Zinc|AHN66869.1|tpos:1-298,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_73|O83505|DNA|AHN67167.1|tpos:1-605,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_11|O83876|RNA-binding|AHN67549.1|tpos:1-77,0.052,0.0,0.0,0.052,Non-Allergen
antigen_170|O83085|Putative|AHN66747.1|tpos:1-299,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_179|O83705|Uncharacterized|AHN67367.1|tpos:1-125,0.28,0.0,0.0,0.28,Non-Allergen
