Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_12|O83737|Methionyl-tRNA|WP_010882201.1|tpos:1-319,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_13|O83154|UvrABC|WP_014342273.1|tpos:1-668,0.029,0.0,0.0,0.029,Non-Allergen
antigen_2|O83608|Uncharacterized|WP_010882045.1|tpos:1-218,0.206,0.0,0.0,0.206,Non-Allergen
antigen_146|O83295|Probable|WP_010881720.1|tpos:1-324,0.015,0.0,0.0,0.015,Non-Allergen
antigen_147|O83319|Dephospho-CoA|WP_010881745.1|tpos:1-211,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_196|O83223|Small|WP_010881640.1|tpos:1-95,0.172,0.0,0.0,0.172,Non-Allergen
antigen_197|O83664|Flagellar|WP_010882103.1|tpos:1-150,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_198|O83890|TPR|WP_172841380.1|tpos:1-809,0.02,0.5,0.0,0.52,Allergen
antigen_82|O83278|DNA-binding|WP_010881700.1|tpos:1-105,0.185,0.0,-0.5,-0.315,Non-Allergen
antigen_83|P74931|Flagellar|WP_010882162.1|tpos:1-94,0.16,0.0,0.0,0.16,Non-Allergen
antigen_84|O83401|UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine|WP_010881834.1|tpos:1-459,0.042,0.0,0.0,0.042,Non-Allergen
antigen_179|O83705|Uncharacterized|WP_010882152.1|tpos:1-159,0.385,0.0,0.0,0.385,Allergen
antigen_189|O83541|V-type|WP_012460566.1|tpos:1-605,0.059,0.0,-0.5,-0.441,Non-Allergen
antigen_3|O83971|Flavin-dependent|WP_010882451.1|tpos:1-305,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_71|O07887|Motility|WP_010882169.1|tpos:1-238,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_72|P96118|Zinc|WP_010881612.1|tpos:1-298,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_73|O83505|DNA|WP_014342452.1|tpos:1-605,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_50|O83805|Uncharacterized|WP_014342601.1|tpos:1-240,0.009,0.5,0.0,0.509,Allergen
antigen_52|O83802|tRNA|WP_014342599.1|tpos:1-244,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_64|O83217|Elongation|WP_010881634.1|tpos:1-395,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_66|O83714|Bifunctional|WP_010882177.1|tpos:1-315,0.119,0.0,-0.5,-0.381,Non-Allergen
antigen_68|O83425|Protein|WP_010881858.1|tpos:1-583,0.006,0.5,-0.5,0.006,Non-Allergen
antigen_20|O83640|Tryptophan--tRNA|WP_010882078.1|tpos:1-337,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_22|O83861|Translation|WP_010882334.1|tpos:1-842,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_165|O83266|Large|WP_010881686.1|tpos:1-226,0.151,0.0,0.0,0.151,Non-Allergen
antigen_156|O83047|Chromosomal|WP_010881451.1|tpos:1-464,0.022,0.5,-0.5,0.022,Non-Allergen
antigen_157|O83848|Uncharacterized|WP_039487409.1|tpos:1-316,0.147,0.0,0.0,0.147,Non-Allergen
antigen_16|O83723|Probable|WP_108738964.1|tpos:1-204,0.04,0.0,-0.5,-0.46,Non-Allergen
antigen_18|O83530|Crossover|WP_010881966.1|tpos:1-196,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_19|O83324|Probable|WP_010881751.1|tpos:1-313,0.143,0.0,0.0,0.143,Non-Allergen
antigen_130|O66075|Large|WP_010881704.1|tpos:1-67,0.329,0.0,0.0,0.329,Allergen
antigen_141|O83817|UPF0178|WP_014342608.1|tpos:1-177,0.123,0.0,-0.5,-0.377,Non-Allergen
antigen_154|O83344|Uncharacterized|WP_014342370.1|tpos:1-477,0.055,0.0,0.0,0.055,Non-Allergen
antigen_112|O83388|tRNA(Ile)-lysidine|WP_010881821.1|tpos:1-477,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_113|O83625|Ribose-5-phosphate|WP_010882062.1|tpos:1-254,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_114|O83214|SsrA-binding|WP_010881631.1|tpos:1-154,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_186|O83949|Chaperone|WP_014342677.1|tpos:1-639,0.042,0.0,0.5,0.542,Allergen
antigen_4|O83586|Uncharacterized|WP_014342495.1|tpos:1-618,0.138,0.0,0.0,0.138,Non-Allergen
antigen_63|O83284|Uncharacterized|WP_014342343.1|tpos:1-448,0.048,0.0,0.0,0.048,Non-Allergen
antigen_190|O83720|Ribosomal|WP_014342558.1|tpos:1-111,0.255,0.0,-0.5,-0.245,Non-Allergen
antigen_24|O83493|Uncharacterized|WP_010881929.1|tpos:1-162,0.085,0.0,0.0,0.085,Non-Allergen
antigen_25|O83952|Uncharacterized|WP_172841369.1|tpos:72-127,0.31,0.0,0.0,0.31,Allergen
antigen_26|O83058|Uncharacterized|WP_014342231.1|tpos:219-410,0.099,0.0,0.0,0.099,Non-Allergen
antigen_27|O83219|Large|WP_010881636.1|tpos:1-208,0.223,0.0,0.0,0.223,Non-Allergen
antigen_95|O83550|Uncharacterized|WP_010881986.1|tpos:1-73,0.225,0.0,0.0,0.225,Non-Allergen
antigen_96|O83650|Lysine--tRNA|WP_010882089.1|tpos:1-528,0.059,0.5,-0.5,0.059,Non-Allergen
antigen_48|O83870|Uncharacterized|WP_014342635.1|tpos:1-797,0.088,0.0,0.0,0.088,Non-Allergen
antigen_21|O83610|1-deoxy-D-xylulose|WP_013945233.1|tpos:1-376,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_23|O83975|Peptidyl-tRNA|WP_010882455.1|tpos:1-202,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_59|O83452|dITP/XTP|WP_010881886.1|tpos:1-269,0.037,0.5,-0.5,0.037,Non-Allergen
antigen_60|O83218|Small|WP_010881635.1|tpos:1-102,0.073,0.0,0.0,0.073,Non-Allergen
antigen_61|O83336|Uncharacterized|WP_172841376.1|tpos:188-235,0.395,0.0,0.0,0.395,Allergen
antigen_62|O83992|Uncharacterized|WP_010882473.1|tpos:1-228,0.09,0.0,0.0,0.09,Non-Allergen
antigen_108|O83262|Large|WP_010881682.1|tpos:1-56,0.353,0.0,0.0,0.353,Allergen
antigen_109|O83696|Uncharacterized|WP_014342545.1|tpos:1-181,0.183,0.0,0.0,0.183,Non-Allergen
antigen_110|O83464|Elongation|WP_010881898.1|tpos:1-683,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_178|O83129|Cysteine--tRNA|WP_010881540.1|tpos:1-520,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_199|O83683|Uncharacterized|WP_010882122.1|tpos:1-202,0.075,0.0,0.0,0.075,Non-Allergen
antigen_120|O07896|Ribonuclease|WP_014342594.1|tpos:1-308,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_121|O83258|Replication|WP_108738934.1|tpos:1-657,0.137,0.0,-0.5,-0.363,Non-Allergen
antigen_15|O83279|Apolipoprotein|WP_014342340.1|tpos:1-546,0.106,0.0,-0.5,-0.394,Non-Allergen
antigen_91|B2S2J8|Small|WP_010881699.1|tpos:1-95,0.153,0.0,-0.5,-0.347,Non-Allergen
antigen_92|P18193|Flagellar|WP_108738935.1|tpos:1-350,0.079,0.0,0.0,0.079,Non-Allergen
antigen_137|O83348|DNA|WP_010881776.1|tpos:1-900,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_14|O83101|Single-stranded|WP_010881511.1|tpos:1-176,0.123,0.0,0.0,0.123,Non-Allergen
antigen_99|P96130|ATP-dependent|WP_010882132.1|tpos:1-686,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_134|O83739|Small|WP_108738967.1|tpos:1-69,0.068,0.0,0.0,0.068,Non-Allergen
antigen_135|O83575|Uncharacterized|WP_014342487.1|tpos:1-678,0.015,0.0,0.0,0.015,Non-Allergen
antigen_187|O83077|Putative|WP_010881483.1|tpos:1-316,0.088,0.0,-0.5,-0.412,Non-Allergen
antigen_55|O83231|Large|WP_014342323.1|tpos:1-185,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_97|O83390|Uncharacterized|WP_010881823.1|tpos:1-69,0.133,0.0,0.0,0.133,Non-Allergen
antigen_98|O83809|Threonine--tRNA|WP_010882281.1|tpos:1-592,0.016,0.5,-0.5,0.016,Non-Allergen
antigen_169|O83272|Small|WP_010881692.1|tpos:1-156,0.094,0.0,-0.5,-0.406,Non-Allergen
antigen_170|O83085|Putative|WP_010881494.1|tpos:1-299,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_184|O83546|Uncharacterized|WP_010881982.1|tpos:1-70,0.29,0.0,0.0,0.29,Non-Allergen
antigen_185|O83653|Serine--tRNA|WP_010882092.1|tpos:1-426,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_131|B2S321|V-type|WP_014342419.1|tpos:27-197,0.16,0.0,0.0,0.16,Non-Allergen
antigen_132|O83225|Small|WP_010881642.1|tpos:1-247,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_133|O83776|Methionine--tRNA|WP_010882243.1|tpos:1-811,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_65|O83097|Replicative|WP_010881507.1|tpos:1-438,0.013,0.5,-0.5,0.013,Non-Allergen
antigen_67|O83785|Large|WP_010882252.1|tpos:1-62,0.546,0.0,-0.5,0.046,Non-Allergen
antigen_69|O83822|Translation|WP_010882294.1|tpos:1-179,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_70|O83903|UDP-N-acetylmuramyl-tripeptide|WP_010882376.1|tpos:1-540,0.031,0.0,0.0,0.031,Non-Allergen
antigen_107|O83066|Uncharacterized|WP_010881471.1|tpos:1-722,0.008,0.0,0.0,0.008,Non-Allergen
antigen_10|O83195|Proline--tRNA|WP_010881607.1|tpos:1-617,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_42|O83100|Small|WP_010881510.1|tpos:1-99,0.099,0.0,-0.5,-0.401,Non-Allergen
antigen_43|O83048|Beta|WP_010881452.1|tpos:1-371,0.147,0.0,-0.5,-0.353,Non-Allergen
antigen_44|O83690|Protein|WP_014342541.1|tpos:1-407,0.051,0.0,-0.5,-0.449,Non-Allergen
antigen_28|O83857|Small|WP_010882330.1|tpos:1-89,0.085,0.0,-0.5,-0.415,Non-Allergen
antigen_30|O83724|GTPase|WP_010882187.1|tpos:1-376,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_0|O83679|Glutamate--tRNA|WP_010882118.1|tpos:1-537,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_32|O83539|V-type|WP_010881975.1|tpos:1-209,0.083,0.0,0.0,0.083,Non-Allergen
antigen_33|O83358|Uncharacterized|WP_010881786.1|tpos:1-162,0.139,0.0,0.0,0.139,Non-Allergen
antigen_34|O83110|Chaperone|WP_010881520.1|tpos:1-878,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_90|O83536|Lon|WP_010881972.1|tpos:1-881,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_149|O83956|Rubredoxin|WP_010882435.1|tpos:1-52,0.588,0.0,0.0,0.588,Allergen
antigen_152|O83977|Co-chaperonin|WP_014342692.1|tpos:1-88,0.341,0.0,0.0,0.341,Allergen
