Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_100|O83668|Fructose-bisphosphate|UOY12839.1|tpos:1-332,0.055,0.0,0.5,0.555,Allergen
antigen_101|O83766|Uncharacterized|UOY12951.1|tpos:1-115,0.272,0.0,0.0,0.272,Non-Allergen
antigen_102|O83228|Small|UOY13643.1|tpos:1-84,0.153,0.0,0.0,0.153,Non-Allergen
antigen_147|O83319|Dephospho-CoA|UOY13425.1|tpos:1-211,0.052,0.0,-0.5,-0.448,Non-Allergen
antigen_149|O83956|Rubredoxin|UOY13126.1|tpos:1-52,0.588,0.0,0.0,0.588,Allergen
antigen_150|O83878|tRNA|UOY13052.1|tpos:1-250,0.044,0.0,-0.5,-0.456,Non-Allergen
antigen_97|O83390|Uncharacterized|UOY13494.1|tpos:1-69,0.133,0.0,0.0,0.133,Non-Allergen
antigen_99|P96130|ATP-dependent|UOY12862.1|tpos:1-686,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_1|O83460|4-hydroxy-3-methylbut-2-en-1-yl|UOY13656.1|tpos:1-404,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_188|O83496|Uncharacterized|UOY13592.1|tpos:1-374,0.186,0.0,0.0,0.186,Non-Allergen
antigen_189|O83541|V-type|UOY12726.1|tpos:1-605,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_127|O83786|Acyl|UOY12968.1|tpos:1-78,0.345,0.0,-0.5,-0.155,Non-Allergen
antigen_128|O83649|DNA|UOY12822.1|tpos:1-215,0.237,0.0,0.0,0.237,Non-Allergen
antigen_196|O83223|Small|UOY13336.1|tpos:1-95,0.172,0.0,0.0,0.172,Non-Allergen
antigen_197|O83664|Flagellar|UOY12835.1|tpos:1-150,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_198|O83890|TPR|UOY13064.1|tpos:1-809,0.022,0.5,0.0,0.522,Allergen
antigen_35|O83727|Large|UOY13676.1|tpos:1-105,0.2,0.0,-0.5,-0.3,Non-Allergen
antigen_36|O83074|Uncharacterized|UOY13194.1|tpos:1-92,0.154,0.0,0.0,0.154,Non-Allergen
antigen_37|O83537|Elongation|UOY13631.1|tpos:1-187,0.125,0.0,-0.5,-0.375,Non-Allergen
antigen_38|O83209|Uncharacterized|UOY13326.1|tpos:1-568,0.153,0.0,0.0,0.153,Non-Allergen
antigen_108|O83262|Large|UOY13375.1|tpos:1-56,0.353,0.0,0.0,0.353,Allergen
antigen_109|O83696|Uncharacterized|UOY12872.1|tpos:1-181,0.186,0.0,0.0,0.186,Non-Allergen
antigen_110|O83464|Elongation|UOY13563.1|tpos:1-683,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_63|O83284|Uncharacterized|UOY13398.1|tpos:1-442,0.041,0.0,0.0,0.041,Non-Allergen
antigen_10|O83195|Proline--tRNA|UOY13312.1|tpos:1-617,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_179|O83705|Uncharacterized|UOY12878.1|tpos:1-159,0.385,0.0,0.0,0.385,Allergen
antigen_180|O83672|Uncharacterized|UOY12843.1|tpos:1-97,0.082,0.0,0.0,0.082,Non-Allergen
antigen_181|O83590|Lipoprotein-releasing|UOY12775.1|tpos:1-226,0.018,0.0,-0.5,-0.482,Non-Allergen
antigen_182|O83435|Uncharacterized|UOY13536.1|tpos:184-256,0.401,0.0,0.0,0.401,Allergen
antigen_183|O83585|Peptide|UOY12770.1|tpos:22-373,0.015,0.5,-0.5,0.015,Non-Allergen
antigen_6|O83806|Tyrosine--tRNA|UOY13680.1|tpos:1-409,0.055,0.0,-0.5,-0.445,Non-Allergen
antigen_2|O83608|Uncharacterized|UOY12787.1|tpos:1-218,0.206,0.0,0.0,0.206,Non-Allergen
antigen_154|O83344|Uncharacterized|UOY13448.1|tpos:1-477,0.055,0.0,0.0,0.055,Non-Allergen
antigen_156|O83047|Chromosomal|UOY13172.1|tpos:1-464,0.022,0.5,-0.5,0.022,Non-Allergen
antigen_113|O83625|Ribose-5-phosphate|UOY12801.1|tpos:1-254,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_114|O83214|SsrA-binding|UOY13329.1|tpos:1-154,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_115|O83264|Transcription|UOY13377.1|tpos:1-185,0.163,0.0,0.0,0.163,Non-Allergen
antigen_52|O83802|tRNA|UOY12987.1|tpos:1-244,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_53|O83281|Transcription|UOY13392.1|tpos:1-519,0.02,0.5,0.0,0.52,Allergen
antigen_68|O83425|Protein|UOY13528.1|tpos:1-583,0.006,0.5,-0.5,0.006,Non-Allergen
antigen_69|O83822|Translation|UOY13006.1|tpos:1-179,0.083,0.0,-0.5,-0.417,Non-Allergen
antigen_105|O83373|Putative|UOY13475.1|tpos:1-208,0.068,0.0,-0.5,-0.432,Non-Allergen
antigen_106|O83554|Holliday|UOY12739.1|tpos:1-227,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_151|O83442|V-type|UOY13543.1|tpos:1-430,0.038,0.5,-0.5,0.038,Non-Allergen
antigen_103|O83845|tRNA|UOY13025.1|tpos:1-135,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_136|O83808|Uncharacterized|UOY12992.1|tpos:1-274,0.087,0.0,0.0,0.087,Non-Allergen
antigen_137|O83348|DNA|UOY13451.1|tpos:1-900,0.006,0.0,-0.5,-0.494,Non-Allergen
antigen_45|O83230|Large|UOY13342.1|tpos:1-103,0.223,0.5,-0.5,0.223,Non-Allergen
antigen_46|B2S369|Probable|UOY13584.1|tpos:1-245,0.136,0.0,-0.5,-0.364,Non-Allergen
antigen_13|O83154|UvrABC|UOY13270.1|tpos:1-668,0.033,0.0,0.0,0.033,Non-Allergen
antigen_193|O83824|Phosphatidylglycerol--prolipoprotein|UOY13681.1|tpos:1-332,0.075,0.0,-0.5,-0.425,Non-Allergen
antigen_194|O83485|UvrABC|UOY13582.1|tpos:1-691,0.036,0.5,-0.5,0.036,Non-Allergen
antigen_4|O83586|Uncharacterized|UOY12771.1|tpos:1-579,0.12,0.0,0.0,0.12,Non-Allergen
antigen_5|O83490|6-phosphogluconolactonase|UOY13587.1|tpos:1-212,0.114,0.5,-0.5,0.114,Non-Allergen
antigen_0|O83679|Glutamate--tRNA|UOY12848.1|tpos:1-537,0.014,0.0,-0.5,-0.486,Non-Allergen
antigen_190|O83720|Ribosomal|UOY12906.1|tpos:1-111,0.255,0.0,-0.5,-0.245,Non-Allergen
antigen_191|O83667|Uncharacterized|UOY12838.1|tpos:1-170,0.128,0.0,0.0,0.128,Non-Allergen
antigen_192|Q56338|Flagellar|UOY12885.1|tpos:1-707,0.044,0.5,-0.5,0.044,Non-Allergen
antigen_14|O83101|Single-stranded|UOY13222.1|tpos:1-176,0.123,0.0,0.0,0.123,Non-Allergen
antigen_15|O83279|Apolipoprotein|UOY13646.1|tpos:1-546,0.112,0.0,-0.5,-0.388,Non-Allergen
antigen_74|O83990|Uridine|UOY13158.1|tpos:1-258,0.281,0.5,-0.5,0.281,Non-Allergen
antigen_160|B2S2F4|Large|UOY13349.1|tpos:1-61,0.158,0.0,-0.5,-0.342,Non-Allergen
antigen_161|O83131|Uncharacterized|UOY13248.1|tpos:1-202,0.215,0.0,0.0,0.215,Non-Allergen
antigen_162|O83710|Flagellar|UOY12886.1|tpos:1-376,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_129|O83489|Acetate|UOY13586.1|tpos:1-448,0.154,0.5,-0.5,0.154,Non-Allergen
antigen_3|O83971|Flavin-dependent|UOY13140.1|tpos:1-305,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_185|O83653|Serine--tRNA|UOY12825.1|tpos:1-426,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_120|O07896|Ribonuclease|UOY12976.1|tpos:1-308,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_121|O83258|Replication|UOY13372.1|tpos:1-657,0.236,0.0,-0.5,-0.264,Non-Allergen
antigen_167|O83433|Putative|UOY13535.1|tpos:1-388,0.03,0.0,-0.5,-0.47,Non-Allergen
antigen_145|O83658|Spermidine/putrescine|UOY12830.1|tpos:1-379,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_146|O83295|Probable|UOY13408.1|tpos:1-324,0.015,0.0,0.0,0.015,Non-Allergen
antigen_152|O83977|Co-chaperonin|UOY13695.1|tpos:1-88,0.334,0.0,0.0,0.334,Allergen
antigen_153|O83774|FAD:protein|UOY12959.1|tpos:1-362,0.038,0.0,-0.5,-0.462,Non-Allergen
antigen_31|O83945|Probable|UOY13116.1|tpos:1-340,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_32|O83539|V-type|UOY12724.1|tpos:1-209,0.083,0.0,0.0,0.083,Non-Allergen
antigen_33|O83358|Uncharacterized|UOY13460.1|tpos:1-162,0.139,0.0,0.0,0.139,Non-Allergen
antigen_72|P96118|Zinc|UOY13316.1|tpos:1-298,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_73|O83505|DNA|UOY13601.1|tpos:1-605,0.034,0.0,-0.5,-0.466,Non-Allergen
antigen_141|O83817|UPF0178|UOY13001.1|tpos:1-177,0.123,0.0,-0.5,-0.377,Non-Allergen
antigen_142|O83277|Uncharacterized|UOY13390.1|tpos:1-75,0.273,0.0,0.0,0.273,Non-Allergen
antigen_163|O84003|ATP-dependent|UOY13171.1|tpos:1-199,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_54|O83241|Small|UOY13354.1|tpos:1-126,0.208,0.0,0.0,0.208,Non-Allergen
antigen_55|O83231|Large|UOY13343.1|tpos:1-185,0.047,0.0,-0.5,-0.453,Non-Allergen
