Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_76|P0C0J1|Streptopain|WP_031488619.1|tpos:1-398,0.586,0.0,0.0,0.586,Allergen
antigen_77|Q99XS1|Probable|WP_031488626.1|tpos:1-499,0.32,0.0,0.0,0.32,Allergen
antigen_26|A0A5D3HKW0|Hypothetical|WP_002984857.1|tpos:1-318,0.156,0.0,0.0,0.156,Non-Allergen
antigen_7|Q99XV0|M|WP_053039071.1|tpos:364-411,0.26,0.0,0.0,0.26,Non-Allergen
antigen_8|Q99Y17|PTS|WP_053039070.1|tpos:1-565,0.116,0.0,0.0,0.116,Non-Allergen
antigen_60|Q99XV2|Gram-positive|WP_053039072.1|tpos:1-411,0.152,0.5,0.0,0.652,Allergen
antigen_61|Q9A1P7|ABC|WP_011054139.1|tpos:6-347,0.545,0.0,0.0,0.545,Allergen
antigen_62|Q9A1L2|Transglutaminase-like|WP_031488683.1|tpos:1-410,0.167,0.5,0.0,0.667,Allergen
antigen_84|Q9A0C5|RND|WP_031488366.1|tpos:1-423,0.4,0.5,0.0,0.9,Allergen
antigen_85|Q99ZN4|Sortase|WP_002984641.1|tpos:1-249,0.051,0.0,0.0,0.051,Non-Allergen
antigen_115|P66058|Large|WP_002990800.1|tpos:1-141,0.512,0.0,-0.5,0.012,Non-Allergen
antigen_28|A0A4U7GRV0|Elongation|WP_002982258.1|tpos:1-346,0.435,0.0,-0.5,-0.065,Non-Allergen
antigen_29|A0A0H3BYZ6|Metal|WP_004218965.1|tpos:37-310,0.359,0.0,-0.5,-0.141,Non-Allergen
antigen_40|A0A5S4TFJ9|M-related|WP_031488614.1|tpos:1-425,0.277,0.0,0.0,0.277,Non-Allergen
antigen_41|P49054|Plasminogen-binding|WP_031577371.1|tpos:13-340,0.382,0.0,0.0,0.382,Allergen
antigen_42|A0A0H2UTU2|Ribosomal|WP_002985112.1|tpos:1-108,0.258,0.0,0.0,0.258,Non-Allergen
antigen_10|Q99Y99|Immunogenic|WP_023610510.1|tpos:1-509,0.266,0.5,-0.5,0.266,Non-Allergen
antigen_80|Q9A1U2|Penicillin-binding|WP_080367204.1|tpos:1-770,0.295,0.0,-0.5,-0.205,Non-Allergen
antigen_37|Q9EZF5|Sof|WP_031488617.1|tpos:23-451,0.121,0.0,0.0,0.121,Non-Allergen
antigen_38|Q934I3|Fibronectin|WP_031488616.1|tpos:1-653,0.264,0.5,0.0,0.764,Allergen
antigen_39|B1NWV1|Collagen-like|WP_053039071.1|tpos:1-411,0.322,0.0,-0.5,-0.178,Non-Allergen
antigen_68|Q99ZC0|Maltose/maltodextrin-binding|WP_002984246.1|tpos:1-415,0.493,0.0,0.0,0.493,Allergen
antigen_69|P60811|Foldase|WP_002984003.1|tpos:1-351,0.201,0.5,0.0,0.701,Allergen
antigen_70|Q99Y38|Acid|WP_002982883.1|tpos:1-284,0.089,0.0,0.0,0.089,Non-Allergen
antigen_20|Q9A180|Cell|WP_031488576.1|tpos:1-1647,0.335,0.0,0.5,0.835,Allergen
antigen_47|Q99YA0|Streptococcal|WP_031488451.1|tpos:1-1275,0.121,0.0,-0.5,-0.379,Non-Allergen
antigen_126|Q99XX5|Leucine-rich|WP_031488732.1|tpos:1-282,0.1,0.0,0.0,0.1,Non-Allergen
antigen_127|P58099|C5a|WP_053039073.1|tpos:1-1182,0.32,0.0,0.5,0.82,Allergen
antigen_83|Q9A0D7|Capsule|WP_015446137.1|tpos:1-397,0.259,0.5,0.0,0.759,Allergen
antigen_78|Q9A203|Cell|WP_002987674.1|tpos:1-123,0.127,0.0,0.0,0.127,Non-Allergen
antigen_79|Q9A1X8|Acyltransferase|WP_014407199.1|tpos:1-591,0.042,0.0,0.0,0.042,Non-Allergen
antigen_95|Q99XU2|ATP-binding|WP_053039074.1|tpos:1-422,0.173,0.0,0.0,0.173,Non-Allergen
antigen_96|Q99XU1|ABC|WP_002982442.1|tpos:1-94,0.658,0.0,0.0,0.658,Allergen
antigen_97|Q99XS2|TcaA|WP_031488625.1|tpos:1-546,0.21,0.0,0.0,0.21,Non-Allergen
antigen_32|A0A0H2UTN5|Nicotine|WP_053039037.1|tpos:1-451,0.265,0.0,0.0,0.265,Non-Allergen
antigen_33|A0A0H3BVP3|Sugar|WP_002991174.1|tpos:1-439,0.447,0.0,0.0,0.447,Allergen
