"Protease/Peptidase Identification (Other Names)","Genome Locus Tag:*D39 (new)D39 (old)D39VTIGR4 (new)TIGR4 (old)","Function","Comments","References"
"ATP-dependent Zinc Protease, putative^","SPD_RS01695SPD_0310SPV_0310SP_RS01660SP_0341","Unknown","Possesses domains of unknown function",""
"CbpD","SPD_RS10730SPD_2028SPV_2028SP_RS11240SP_2201","Peptidoglycan hydrolysis","CHAP domain","31, 32"
"CbpG","SPD_RS01935SPD_0356SPV_0356SP_RS01925SP_0390","Serine protease; cleaves casein and fibronectin","Frameshifted in D39; intact in TIGR4; S1 family peptidase [His-Asp-Ser catalytic triad]","32, 34"
"ClpP","SPD_RS03495SPD_0650SPV_0650SP_RS03655SP_0746","Cleaves proteins tagged for degradation (complex with ClpA or ClpX]","S14 peptidase family [Ser-His-Asp catalytic triad)","36; 37, 38, 41–43, 45, 48–52"
"ComA","SPD_RS00235SPD_0049SPV_0049SP_RS00255SP_0042","Cleavage of competence-stimulating peptide at Gly-Gly","Peptidase C39 family, ABC transporter peptidase subunit","47"
"CppA^","SPD_RS06830SPD_1278SPV_1278SP_RS07120SP_1449","Cleavage of complement C3","Glyoxalase/Bleomycin Resistance Protein/Dihydroxybiphenyl Dioxygenase homologous superfamily of metalloenzymes","53–57, 98"
"DacA (D-Alanyl-D-Alanine Carboxypeptidase; Penicillin-binding Protein 3)","SPD_RS04110SPD_0767SPV_0767SP_RS04300SP_0872","Cleavage of D-alanine residues during peptidoglycan synthesis","Peptidase S11 famly; gene names and synonyms according to D39V annotation: pbp3, dacA, dacC","86–88"
"DacB (LdcB)","SPD_RS02940SPD_0549SPV_0549SP_RS03085SP_0629","L,D-carboxypeptidase; peptidoglycan hydrolysis","Peptidase M15B family; Hedgehog signaling/DD-peptidase zinc-binding domain superfamily","86, 89–91"
"FtsH/Yme1/Tma family protein","SPD_RS00060SPD_0013SPV_0013SP_RS00065SP_0013","ATP-dependent metallopeptidase; Cleaves proteins tagged for degradation","Peptidase M41 carboxyl-terminal domain",""
"HtpX","SPD_RS06075SPD_1138SPV_1138SP_RS06290SP_1283","Putative stress response protein; zinc metalloprotease","Peptidase M48 family; contains a conserved zinc-binding HExxH motif found in zinc metalloproteases",""
"HtrA (DegP)","SPD_RS10945SPD_2068SPV_2068SP_RS11450SP_2239","Serine protease; chaperone","Peptidase S1C family, protease Do subfamily; PDZ domain [His-Asp-Ser catalytic triad)","59, 60, 62–72"
"IgA1 Protease (ZmpA)","SPD_RS05470SPD_1018SPV_1018SP_RS05695SP_1154","Zinc metalloprotease","Contains a conserved zinc-binding HExxH motif found in zinc metalloproteases","19, 20, 73–85"
"L,D-Carboxypeptidase (Muramoyltetrapeptide Carboxypeptidase)","SPD_RS00960SPD_0173SPV_0173SP_RS00905SP_0182","Cleavage of the peptidoglycan tetrapeptide","Peptidase family S66",""
"LepB (Signal peptidase I)","SPD_RS01985SPD_0367SPV_0367SP_RS01995SP_0402","Serine peptidase; cleaves leader peptide from pro-proteins","Serine-lysine catalytic dyad","107"
"Lon-like Protease, putative^","SPD_RS09400SPD_1765SPV_1765SP_RS09890SP_1967","Degradation of misfolded proteins","S16 peptidase family; ATP-dependent serine peptidase",""
"LspA (Signal peptidase II)","SPD_RS04400SPD_0819SPV_0819SP_RS04590SP_0928","Cleaves signal sequence from pro-lipoproteins","Peptidase A8, signal peptidase II family; recognizes lipobox sequence","108, 109"
"Matrixin Family Metalloprotease; Putative Zinc-dependent Protease","SPD_RS02880SPD_0537SPV_0537SP_RS03030SP_0617","Unknown","Peptidase M10 metallopeptidase family; domain matching the zinc metalloprotease MMP-like subfamily",""
"M42 Family Metallopeptidase","SPD_RS02930SPD_0547SPV_0547SP_RS03075SP_0627","Glutamyl aminopeptidase, PepA type, putative","Peptidase M42 family",""
"M50 Family Metallopeptidase","SPD_RS09330SPD_1751SPV_1751SP_RS09810SP_1952","Regulated intramembrane proteolysis (RIP] metalloprotease, putative","M50 family of putative membrane-associated zinc metalloproteases; contains a conserved zinc-binding HExxH motif; RIP proteases are involved in a two-step process of cleaving transmembrane proteins; site-2 protease class of zinc metalloproteases",""
"Methionyl Aminopeptidase (MAP)","SPD_RS05220SPD_0970SPV_0970SP_RS05360SP_1084","Cleavage of amino-terminal Met residue","Peptidase M24A family of metallopeptidases; cobalt required for activity",""
"PepA","SPD_RS08780SPD_1647SPV_1647SP_RS09255SP_1865","Glutamyl aminopeptidase","Peptidase M42 family","58"
"PepC","SPD_RS01425SPD_0261SPV_0261SP_RS01380SP_0281","Aminopeptidase","Peptidase C1 family; homologous superfamily of papain-like cysteine peptidases",""
"PepF (PepB, PepF1)#","SPD_RS04660SPD_0866SPV_0866SP_RS04855SP_0979","Oligoendopeptidase","Peptidase M3B family",""
"PepF (PepF2)#","SPD_RS08365SPD_1571SPV_1571SP_RS08835SP_1780","Oligoendopeptidase","Peptidase M3B family",""
"PepN","SPD_RS03770SPD_0700SPV_0700SP_RS03900SP_0797","Lysyl aminopeptidase","M1 family metallopeptidase","23–25"
"PepO","SPD_RS07765SPD_1460SPV_1460SP_RS08130SP_1647","Endopeptidase","M13 peptidase family","92, 93, 95–97"
"PepP (YpdF)","SPD_RS00980SPD_0177SPV_0177SP_RS00925SP_0187","Aminopeptidase","Described as MP-,MA-,MS-,AP-,NP-specific aminopeptidase YpdF by D39V annotation",""
"PepQ","SPD_RS07540SPD_1418SPV_1418SP_RS07840SP_1591","Proline dipeptidase","Peptidase M24 family; creatinase/aminopeptidase P amino-terminal domain",""
"PepS","SPD_RS01405SPD_0258SPV_0258SP_RS01355SP_0278","Aminopeptidase","Peptidase M29 family of metallopeptidases",""
"PepT","SPD_RS04810SPD_0894SPV_0894SP_RS05000SP_1008","Tripeptide aminopeptidase","Described as a tripeptide aminopeptidase by D39V annotation",""
"Peptidase C39","SPD_RS10955– -– -SP_RS02605– -","Bacteriocin processing, putative","Incomplete in D39",""
"PepV","SPD_RS02905SPD_0542SPV_0542SP_RS03055SP_0623","Dipeptidase","Described as most specific for beta-Ala-Xaa by D39V annotation",""
"PepX (Xaa-Pro Dipeptidyl-Peptidase)","SPD_RS04205SPD_0787SPV_0787SP_RS04410SP_0894","Cleavage of Xaa-Pro dipeptides (Xaa = a hydrophobic amino acid)","Peptidase S15 family of serine peptidases",""
"PhtA (PhpA)","SPD_RS05575SPD_1038SPV_1038SP_RS05790SP_1175","Cleavage of complement C3","Histidine triad HxxHxH motif","53, 98–102"
"Prp","SPD_RS05320SPD_0990SPV_0990SP_RS05480SP_1106","Cleavage of bacterial ribosomal protein L27","PrP family of cysteine proteases; putative His-Cys catalytic dyad",""
"PrsW","SPD_RS00150SPD_0031SPV_2079SP_RS00170SP_0026","Intramembrane metalloprotease","PrsW family possibly involved in cell membrane stress response; frameshifted in D39",""
"PrtA","SPD_RS03010SPD_0558SPV_0558SP_RS03145SP_0641","Serine peptidase; cleavage of leader peptides from lantibiotics","S8 family of lantibiotic leader peptide-processing serine proteases; [Asp-His-Ser catalytic triad sequence]","60, 103–106"
"PtrB (Protease II)","SPD_RS06300SPD_1178SPV_1178SP_RS06590SP_1343","Serine peptidase","S9 family peptidase (Ser-Asp-His catalytic triad sequence), usually cleaves oligopeptides",""
"Pyroglutamyl Peptidase I (Pcp1)","SPD_RS04040SPD_0753SPV_0753SP_RS04215SP_0860","Cleavage of pyroglutamic acid from peptides or proteins","Peptidase family C15",""
"Pyroglutamyl Peptidase I (Pcp2)","SPD_RS09930SPD_1870SPV_1870SP_RS10415SP_2060","Cleavage of pyroglutamic acid from peptides or proteins","Peptidase family C15; frameshifted in D39",""
"Rhomboid Family Intramembrane Serine Protease","SPD_RS10170SPD_1920SPV_1920SP_RS10665SP_2094","Intramembrane cleavage of proteins or peptides","Peptidase S54 domain; (Ser-His catalytic dyad)",""
"RseP (Eep, RasP, RseP, YluC)","SPD_RS01335SPD_0245SPV_0245SP_RS01290SP_0263","Regulated intramembrane proteolysis [RIP) metalloprotease","M50 family of putative membrane-associated zinc metalloproteases; contains a conserved zinc-binding HExxH motif; PDZ domain; RIP proteases are involved in a two-step process of cleaving transmembrane proteins","33"
"S8 Family Serine Peptidase","SPD_RS09340SPD_1753SPV_1753SP_RS09820SP_1954","Serine peptidase; cleavage of leader peptides from lantibiotics","S8 family of lantibiotic leader peptide-processing serine proteases; (Asp-His-Ser catalytic triad sequence];described as epidermin leader peptide processing serine protease EPIP precursor by D39V annotation; frameshifted in TIGR4",""
"Sapep Family Mn2+-dependent Dipeptidase/Xaa-His Dipeptidase","SPD_RS10475SPD_1979SPV_1979SP_RS10975SP_2153","Cleavage of Xaa-His dipeptides (Xaa = a hydrophobic amino acid)","Peptidase M20 family, subfamily M20C; exopeptidase dimerization domain; zinc peptidase domain",""
"Site-2 Protease Family Protein; Putative Peptidase M50","SPD_RS08385SPD_1575SPV_1575SP_RS08855SP_1784","Metalloprotease; cleavage of protein transmembrane domains; RIP protease","M50 family of putative membrane-associated zinc metalloproteases; contains a conserved zinc-binding HExxH motif; RIP proteases are involved in a two-step process of cleaving transmembrane proteins",""
"SprT Family Metalloprotease, putative^","SPD_RS04300– –SPV_2244SP_RS04490SP_0909","Zinc metalloprotease","Contains a conserved zinc-binding HExxH motif found in zinc metalloproteases; locus tag not present in D39 accession number CP000410.2",""
"Type IV Prepilin Peptidase, putative","SPD_RS08500SPD_1593SPV_1593SP_RS08975SP_1808","Cleavage of leader peptide from type IV prepilin-like proteins","Gene names and synonyms according to D39V annotation: cclA, cilC, pilD",""
