# SignalP-5.0	Organism: euk	Timestamp: 20251103192033
# ID	Prediction	SP(Sec/SPI)	OTHER	CS Position
antigen_76|Q57486|Uncharacterized|XVJ05911.1|tpos:1-461	OTHER	0.005790	0.994210	
antigen_77|P44248|Uncharacterized|XVJ04887.1|tpos:1-184	OTHER	0.000418	0.999582	
antigen_78|P44416|Opacity-associated|XVJ05561.1|tpos:1-134	SP(Sec/SPI)	0.991652	0.008348	CS pos: 20-21. AQN-AN. Pr: 0.3931
antigen_91|P31771|Competence|XVJ05660.1|tpos:1-137	SP(Sec/SPI)	0.998518	0.001482	CS pos: 18-19. SWG-QD. Pr: 0.9813
antigen_151|A5U9U8|Small|XVJ05765.1|tpos:1-125	OTHER	0.001716	0.998284	
antigen_155|P44994|Putative|XVJ06079.1|tpos:1-160	OTHER	0.001086	0.998914	
antigen_157|A5UC51|1-deoxy-D-xylulose-5-phosphate|XVJ04966.1|tpos:1-625	OTHER	0.000632	0.999368	
antigen_193|Q4QLS3|3-isopropylmalate|XVJ04599.1|tpos:1-358	OTHER	0.003136	0.996864	
antigen_195|P44199|Putative|XVJ04955.1|tpos:1-107	OTHER	0.000357	0.999643	
antigen_2|A5UE38|Thiosulfate|XVJ05866.1|tpos:1-105	OTHER	0.001202	0.998798	
antigen_114|P45114|Probable|XVJ04789.1|tpos:1-912	SP(Sec/SPI)	0.778436	0.221564	CS pos: 27-28. AQA-EE. Pr: 0.4637
antigen_129|P44838|ATP-dependent|XVJ05896.1|tpos:1-411	OTHER	0.001388	0.998612	
antigen_133|A5UFU9|N-acetylmannosamine|XVJ05384.1|tpos:1-300	OTHER	0.005670	0.994330	
antigen_160|P43925|Elongation|XVJ04482.1|tpos:1-413	OTHER	0.000657	0.999343	
antigen_117|P45269|Multifunctional|XVJ04828.1|tpos:1-416	OTHER	0.006038	0.993962	
antigen_51|P31770|Competence|XVJ05661.1|tpos:1-173	OTHER	0.023749	0.976251	
antigen_53|A5UDU5|Large|XVJ05979.1|tpos:1-87	OTHER	0.000412	0.999588	
antigen_55|P44236|Mu-like|XVJ05094.1|tpos:286-552	OTHER	0.003419	0.996581	
antigen_108|A5UII7|Ribonuclease|XVJ04647.1|tpos:1-197	OTHER	0.003003	0.996997	
antigen_65|A5UBB0|UPF0250|XVJ05281.1|tpos:1-92	OTHER	0.000737	0.999263	
antigen_67|A5UBU4|NADPH-dependent|XVJ05068.1|tpos:1-279	OTHER	0.001291	0.998709	
antigen_71|P44627|Ribosomal|XVJ05537.1|tpos:1-245	OTHER	0.000486	0.999514	
antigen_72|P44798|Trimethylamine-N-oxide|XVJ05833.1|tpos:1-825	OTHER	0.026130	0.973870	
antigen_80|Q57223|Probable|XVJ04918.1|tpos:1-161	SP(Sec/SPI)	0.976674	0.023326	CS pos: 21-22. CSS-FQ. Pr: 0.7041
antigen_40|P45038|Thiol:disulfide|XVJ04678.1|tpos:1-181	SP(Sec/SPI)	0.782078	0.217922	CS pos: 29-30. AQG-ED. Pr: 0.3752
antigen_45|A5UCW3|UDP-3-O-acyl-N-acetylglucosamine|XVJ04720.1|tpos:1-305	OTHER	0.001971	0.998029	
antigen_54|A5UID3|Ribonuclease|XVJ04608.1|tpos:1-119	OTHER	0.000350	0.999650	
antigen_59|Q4QNM3|Probable|XVJ05547.1|tpos:1-246	OTHER	0.001066	0.998934	
antigen_61|P44337|Regulatory|XVJ05780.1|tpos:1-150	OTHER	0.001130	0.998870	
antigen_63|A5UA77|RNA-binding|XVJ05636.1|tpos:1-91	OTHER	0.000476	0.999524	
antigen_66|P43773|ATP-dependent|XVJ05718.1|tpos:1-444	OTHER	0.000348	0.999652	
antigen_68|Q4QLV1|UPF0270|XVJ04573.1|tpos:1-83	OTHER	0.000609	0.999391	
antigen_69|P44875|Acetate|XVJ05975.1|tpos:1-217	OTHER	0.002348	0.997652	
antigen_173|P44131|Uncharacterized|XVJ05144.1|tpos:326-480	OTHER	0.000680	0.999320	
antigen_175|P44096|Nucleotide-binding|XVJ04631.1|tpos:1-163	OTHER	0.000800	0.999200	
antigen_178|A5UFV3|N-acetylneuraminate|XVJ05388.1|tpos:1-375	SP(Sec/SPI)	0.998573	0.001427	CS pos: 22-23. ANA-QT. Pr: 0.9179
antigen_190|A5UC39|Phosphoribosylformylglycinamidine|XVJ04979.1|tpos:1-344	OTHER	0.001512	0.998488	
antigen_196|P44638|Lactoylglutathione|XVJ05554.1|tpos:1-134	OTHER	0.001405	0.998595	
antigen_123|A5UCP4|5'-methylthioadenosine/S-adenosylhomocysteine|XVJ04788.1|tpos:1-229	OTHER	0.010340	0.989660	
antigen_124|P44505|Bifunctional|XVJ05336.1|tpos:1-815	OTHER	0.001291	0.998709	
antigen_149|P44103|Uncharacterized|XVJ04639.1|tpos:1-369	SP(Sec/SPI)	0.999026	0.000974	CS pos: 19-20. AHA-NT. Pr: 0.8950
antigen_189|P44843|Trk|XVJ05903.1|tpos:1-487	OTHER	0.077556	0.922444	
antigen_198|P45026|Uncharacterized|XVJ04665.1|tpos:1-85	OTHER	0.000497	0.999503	
antigen_31|P44372|Small|XVJ05983.1|tpos:1-235	OTHER	0.001504	0.998496	
antigen_33|P44193|Uncharacterized|XVJ04985.1|tpos:1-81	OTHER	0.000489	0.999511	
antigen_60|P44914|dTDP-glucose|XVJ04489.1|tpos:1-334	OTHER	0.005810	0.994190	
antigen_116|P45074|Lipopolysaccharide|XVJ04725.1|tpos:1-172	SP(Sec/SPI)	0.987483	0.012517	CS pos: 23-24. AFA-LK. Pr: 0.7447
antigen_118|P44428|2Fe-2S|XVJ05597.1|tpos:1-113	OTHER	0.000793	0.999207	
antigen_79|P44658|Putative|XVJ05584.1|tpos:1-314	SP(Sec/SPI)	0.984886	0.015114	CS pos: 22-23. SLA-KE. Pr: 0.9400
antigen_81|P44826|Glycerol|XVJ05875.1|tpos:1-264	OTHER	0.052790	0.947210	
antigen_83|Q57017|UPF0053|XVJ05354.1|tpos:1-420	OTHER	0.409252	0.590748	
antigen_12|P44613|Isochorismate|XVJ05517.1|tpos:1-385	OTHER	0.001426	0.998574	
antigen_17|P44255|Elongation|XVJ04863.1|tpos:1-178	OTHER	0.000408	0.999592	
antigen_20|P43837|NADP-dependent|XVJ05135.1|tpos:1-756	OTHER	0.001453	0.998547	
antigen_35|P45252|UPF0162|XVJ04873.1|tpos:1-267	OTHER	0.006165	0.993835	
antigen_43|P43712|Malonyl|XVJ05397.1|tpos:1-311	OTHER	0.013840	0.986160	
antigen_49|P44664|D-alanyl-D-alanine|XVJ05589.1|tpos:1-292	SP(Sec/SPI)	0.977393	0.022607	CS pos: 18-19. VLA-QS. Pr: 0.6454
antigen_52|A5UAL5|Glutamate--tRNA|XVJ05508.1|tpos:1-480	OTHER	0.000885	0.999115	
antigen_86|A5UDT9|Large|XVJ05985.1|tpos:1-63	OTHER	0.000375	0.999625	
antigen_87|Q4QM83|UPF0149|XVJ06016.1|tpos:1-182	OTHER	0.002130	0.997870	
antigen_89|A5UH41|Urease|XVJ05753.1|tpos:1-271	OTHER	0.001217	0.998783	
antigen_90|Q57092|Endolytic|XVJ05283.1|tpos:1-287	SP(Sec/SPI)	0.998084	0.001916	CS pos: 25-26. AQA-DT. Pr: 0.8912
antigen_92|P44427|Malate|XVJ04782.1|tpos:1-311	OTHER	0.367406	0.632594	
antigen_93|P44500|Uncharacterized|XVJ05330.1|tpos:1-262	OTHER	0.001673	0.998327	
antigen_94|P44198|YcgL|XVJ04959.1|tpos:1-88	OTHER	0.001782	0.998218	
antigen_95|P45324|Transcriptional|XVJ05208.1|tpos:1-255	OTHER	0.002105	0.997895	
antigen_96|P43902|T-protein|XVJ05069.1|tpos:1-374	OTHER	0.000219	0.999781	
antigen_110|P45106|Ribosomal|XVJ04773.1|tpos:1-314	OTHER	0.000364	0.999636	
antigen_199|P45105|HTH-type|XVJ04772.1|tpos:1-323	OTHER	0.001034	0.998966	
antigen_132|P46455|Uncharacterized|XVJ04588.1|tpos:1-85	OTHER	0.005474	0.994526	
antigen_134|A5UBA3|Putative|XVJ05288.1|tpos:1-551	OTHER	0.004349	0.995651	
antigen_137|P44882|UPF0149|XVJ06016.1|tpos:1-182	OTHER	0.002130	0.997870	
antigen_139|P44492|tRNA|XVJ05317.1|tpos:1-158	OTHER	0.000487	0.999513	
antigen_3|Q57380|Putative|XVJ05206.1|tpos:133-203	OTHER	0.458224	0.541776	
antigen_34|P44794|tRNA-dihydrouridine(20/20a)|XVJ05824.1|tpos:1-327	OTHER	0.000741	0.999259	
antigen_38|P46458|Putative|XVJ04679.1|tpos:1-153	SP(Sec/SPI)	0.997986	0.002014	CS pos: 19-20. AFS-AI. Pr: 0.5140
antigen_42|P45052|Oligopeptide|XVJ04698.1|tpos:1-323	OTHER	0.001150	0.998850	
antigen_47|P45249|Malonyl-[acyl-carrier|XVJ04879.1|tpos:1-260	OTHER	0.000369	0.999631	
antigen_130|P44611|Putative|XVJ05515.1|tpos:1-247	OTHER	0.013896	0.986104	
antigen_9|P44621|Protein|XVJ05531.1|tpos:1-405	OTHER	0.000846	0.999154	
antigen_11|P45022|Probable|XVJ04661.1|tpos:1-255	OTHER	0.000560	0.999440	
antigen_14|P45300|UPF0102|XVJ05168.1|tpos:1-119	OTHER	0.001166	0.998834	
antigen_16|P31810|Thiol:disulfide|XVJ06044.1|tpos:1-205	SP(Sec/SPI)	0.997066	0.002934	CS pos: 22-23. SFA-AD. Pr: 0.6972
antigen_70|A5UCR5|Ribosomal|XVJ04767.1|tpos:1-363	OTHER	0.003243	0.996757	
antigen_19|A5UDW2|3,4-dihydroxy-2-butanone|XVJ05966.1|tpos:1-215	OTHER	0.002176	0.997824	
antigen_22|P44923|Uncharacterized|XVJ04510.1|tpos:1-187	OTHER	0.001967	0.998033	
antigen_25|P44566|Penicillin-insensitive|XVJ05434.1|tpos:1-286	SP(Sec/SPI)	0.986407	0.013593	CS pos: 22-23. VVA-SP. Pr: 0.8909
antigen_29|P44007|S-ribosylhomocysteine|XVJ05715.1|tpos:1-167	OTHER	0.000704	0.999296	
antigen_156|P44415|Opacity-associated|XVJ05560.1|tpos:1-431	OTHER	0.000344	0.999656	
antigen_158|P44297|UPF0231|XVJ05234.1|tpos:1-117	OTHER	0.000361	0.999639	
antigen_159|P51000|Dipeptide|XVJ04759.1|tpos:1-295	OTHER	0.001851	0.998149	
antigen_161|P44439|Poly(A)|XVJ06105.1|tpos:1-452	OTHER	0.000253	0.999747	
antigen_165|A5UE98|High|XVJ05827.1|tpos:1-205	OTHER	0.315125	0.684875	
antigen_167|A5UF06|Integration|XVJ04917.1|tpos:1-96	OTHER	0.000381	0.999619	
antigen_169|P45287|Peptide|XVJ04796.1|tpos:1-295	OTHER	0.000563	0.999437	
antigen_172|P44659|Uncharacterized|XVJ05585.1|tpos:1-215	OTHER	0.000658	0.999342	
antigen_180|A5UAZ2|Large|XVJ05399.1|tpos:1-56	OTHER	0.002284	0.997716	
antigen_181|P44301|Uncharacterized|XVJ05246.1|tpos:1-109	OTHER	0.013636	0.986364	
antigen_182|A5UDJ8|Nucleoside|XVJ04492.1|tpos:1-140	OTHER	0.000423	0.999577	
antigen_184|P44294|Uncharacterized|XVJ05224.1|tpos:25-50	OTHER	0.032209	0.967791	
antigen_185|P44465|UPF0250|XVJ05281.1|tpos:1-92	OTHER	0.000737	0.999263	
antigen_186|A5UEI7|Cytidine|XVJ05053.1|tpos:1-292	OTHER	0.000732	0.999268	
antigen_74|P44654|Periplasmic|XVJ05577.1|tpos:1-147	SP(Sec/SPI)	0.953671	0.046329	CS pos: 23-24. LMA-SD. Pr: 0.5975
antigen_75|A5UGE3|DNA|XVJ05562.1|tpos:1-236	OTHER	0.000701	0.999299	
antigen_82|Q57124|Uncharacterized|XVJ04512.1|tpos:1-1026	OTHER	0.248875	0.751125	
antigen_97|P45337|Transcriptional|XVJ05222.1|tpos:1-221	OTHER	0.001357	0.998643	
antigen_98|P44017|Uncharacterized|XVJ05795.1|tpos:1-95	OTHER	0.001109	0.998891	
antigen_99|A5UDD6|Enolase|XVJ04549.1|tpos:1-436	OTHER	0.000947	0.999053	
antigen_100|P44615|Serine|XVJ05522.1|tpos:1-412	OTHER	0.002453	0.997547	
antigen_101|A5UG62|4-hydroxy-tetrahydrodipicolinate|XVJ05490.1|tpos:1-298	OTHER	0.003015	0.996985	
antigen_102|P40134|Adenylate|XVJ05907.1|tpos:1-843	OTHER	0.002113	0.997887	
antigen_0|P43761|Anthranilate|XVJ05017.1|tpos:1-518	OTHER	0.032162	0.967838	
