Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_61|Q8YG75|GTPase|NC_017246.1|tpos:218663-218973,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_137|Q8YG89|Cysteine--tRNA|NC_017246.1|tpos:221696-222201,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_15|Q8YBA4|Protein|NC_017247.1|tpos:75948-76580,0.004,0.0,0.0,0.004,Non-Allergen
antigen_20|C0RI01|Holo-[acyl-carrier-protein]|NC_017246.1|tpos:217959-218092,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_22|P63566|Acetylornithine|NC_017246.1|tpos:108537-108939,0.019,0.0,-0.5,-0.481,Non-Allergen
antigen_36|C0RM77|Urocanate|NC_017247.1|tpos:291839-292395,0.06,0.0,0.0,0.06,Non-Allergen
antigen_84|C0RFD2|tRNA|NC_017246.1|tpos:598430-598788,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_31|C0RLC2|Glycerol-3-phosphate|NC_017247.1|tpos:184462-184662,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_9|Q8YHC4|UvrABC|NC_017246.1|tpos:356183-357156,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_60|Q8YCN8|Nickel|NC_017246.1|tpos:620177-620418,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_151|C0RFL5|7-cyano-7-deazaguanine|NC_017246.1|tpos:624342-624573,0.367,0.0,0.0,0.367,Allergen
antigen_62|Q8YGM0|Lipoprotein-releasing|NC_017247.1|tpos:209070-209291,0.029,0.5,-0.5,0.029,Non-Allergen
antigen_161|Q8YCG3|Fe(3+)|NC_017246.1|tpos:36694-37022,0.007,0.0,-0.5,-0.493,Non-Allergen
antigen_183|C0RIA3|Transcriptional|NC_017246.1|tpos:251175-251332,0.169,0.0,0.0,0.169,Non-Allergen
antigen_197|Q8YIM6|Cell-division|NC_017246.1|tpos:510439-511473,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_32|Q8YDS2|Leu/Ile/Val-binding|NC_017247.1|tpos:299784-300020,0.528,0.0,0.0,0.528,Allergen
antigen_77|Q8YGK3|NADH-quinone|NC_017246.1|tpos:260813-261208,0.023,0.5,0.0,0.523,Allergen
antigen_30|C0RIG5|tRNA-cytidine(32)|NC_017246.1|tpos:270000-270292,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_33|C0RI03|Ribonuclease|NC_017246.1|tpos:218371-218615,0.008,0.5,-0.5,0.008,Non-Allergen
antigen_88|Q8YEA2|tRNA-2-methylthio-N(6)-dimethylallyladenosine|NC_017246.1|tpos:612296-612699,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_149|Q8YFR1|4-hydroxy-3-methylbut-2-enyl|NC_017246.1|tpos:160513-160858,0.08,0.0,-0.5,-0.42,Non-Allergen
antigen_175|C0RIE0|NADH-quinone|NC_017246.1|tpos:260382-260574,0.236,0.5,-0.5,0.236,Non-Allergen
antigen_177|Q8YH20|Beta-(1--,0.266,0.0,0.0,0.266,Non-Allergen
2)glucan|NC_017246.1|tpos:677409-677625,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_51|C0RIA7|Transcription|NC_017246.1|tpos:252076-252246,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_34|C0RLB8|Putative|NC_017247.1|tpos:182973-183134,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_116|C0RGH3|Nicotinate|NC_017246.1|tpos:39995-40428,0.028,0.0,0.0,0.028,Non-Allergen
antigen_16|C0RJP4|Sugar|NC_017246.1|tpos:410194-410431,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_55|Q8YI12|Fluoride-specific|NC_017247.1|tpos:255106-255223,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_6|Q8YHZ8|Urease|NC_017246.1|tpos:300310-300739,0.01,0.0,-0.5,-0.49,Non-Allergen
antigen_182|C0RMG5|Acetylglutamate|NC_017247.1|tpos:322532-322827,0.108,0.5,-0.5,0.108,Non-Allergen
antigen_159|C0RES0|Malate|NC_017246.1|tpos:525577-526304,0.148,0.5,0.0,0.648,Allergen
antigen_104|C0RKC9|ATP|NC_017247.1|tpos:56490-56720,0.01,0.5,-0.5,0.01,Non-Allergen
antigen_89|P0A3U4|31|NC_017246.1|tpos:516421-516608,0.361,0.0,0.0,0.361,Allergen
antigen_82|Q8YEM5|Cytochrome|NC_017247.1|tpos:99730-99912,0.087,0.0,-0.5,-0.413,Non-Allergen
antigen_94|C0RH89|GTPase|NC_017246.1|tpos:218684-218845,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_126|C0RM93|D-aminopeptidase|NC_017247.1|tpos:297196-297713,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_167|P0A3K8|Translation|NC_017246.1|tpos:669645-669822,0.119,0.0,-0.5,-0.381,Non-Allergen
