Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_145|Q8YCB0|sn-glycerol-3-phosphate|NZ_CP143261.1|tpos:80717-80988,0.025,0.0,-0.5,-0.475,Non-Allergen
antigen_66|Q8YI00|Urease|NZ_CP143261.1|tpos:435820-436060,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_156|Q8YED5|Chromosomal|NZ_CP143261.1|tpos:51-546,0.002,0.5,-0.5,0.002,Non-Allergen
antigen_0|Q45321|25|NZ_CP143261.1|tpos:312398-312631,0.371,0.0,0.0,0.371,Allergen
antigen_107|C0RFX5|Pantothenate|NZ_CP143261.1|tpos:658967-659288,0.033,0.0,-0.5,-0.467,Non-Allergen
antigen_161|Q8YCG3|Fe(3+)|NZ_CP143260.1|tpos:322066-322418,0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_170|Q8YCA7|sn-glycerol-3-phosphate-binding|NZ_CP143260.1|tpos:330688-330862,0.48,0.0,0.0,0.48,Allergen
antigen_20|C0RI01|Holo-[acyl-carrier-protein]|NZ_CP143261.1|tpos:216762-216895,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_22|P63566|Acetylornithine|NZ_CP143260.1|tpos:171518-171928,0.172,0.0,-0.5,-0.328,Non-Allergen
antigen_77|Q8YGK3|NADH-quinone|NZ_CP143261.1|tpos:259520-259915,0.023,0.5,0.0,0.523,Allergen
antigen_177|Q8YH20|Beta-(1--,0.33,0.0,0.0,0.33,Allergen
2)glucan|NZ_CP143260.1|tpos:310306-310510,0.005,0.0,-0.5,-0.495,Non-Allergen
antigen_62|Q8YGM0|Lipoprotein-releasing|NZ_CP143261.1|tpos:242655-242858,0.106,0.0,-0.5,-0.394,Non-Allergen
antigen_188|Q8YDG6|Putative|NZ_CP143260.1|tpos:200397-200897,0.288,0.0,-0.5,-0.212,Non-Allergen
antigen_85|C0RJB4|LexA|NZ_CP143261.1|tpos:371086-371325,0.023,0.0,-0.5,-0.477,Non-Allergen
antigen_136|C0REI6|Oxygen-dependent|NZ_CP143261.1|tpos:494038-494340,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_120|Q8YIR8|Ferric|NZ_CP143261.1|tpos:527578-527718,0.071,0.5,-0.5,0.071,Non-Allergen
antigen_88|Q8YEA2|tRNA-2-methylthio-N(6)-dimethylallyladenosine|NZ_CP143261.1|tpos:612218-612621,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_89|P0A3U4|31|NZ_CP143261.1|tpos:516382-516569,0.361,0.0,0.0,0.361,Allergen
antigen_60|Q8YCN8|Nickel|NZ_CP143260.1|tpos:294419-294680,0.05,0.0,-0.5,-0.45,Non-Allergen
antigen_35|Q8YJ03|Thiamine|NZ_CP143261.1|tpos:35768-36017,0.101,0.0,0.0,0.101,Non-Allergen
antigen_30|C0RIG5|tRNA-cytidine(32)|NZ_CP143261.1|tpos:268707-268999,0.053,0.0,-0.5,-0.447,Non-Allergen
antigen_33|C0RI03|Ribonuclease|NZ_CP143261.1|tpos:217174-217418,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_57|Q8YG56|Porin|NZ_CP143261.1|tpos:210952-211313,0.489,0.0,0.0,0.489,Allergen
antigen_131|C0RJ47|GTP|NZ_CP143261.1|tpos:346045-346257,0.065,0.0,-0.5,-0.435,Non-Allergen
antigen_183|C0RIA3|Transcriptional|NZ_CP143261.1|tpos:249884-250041,0.169,0.0,0.0,0.169,Non-Allergen
antigen_56|C0RIN3|Aspartyl/glutamyl-tRNA(Asn/Gln)|NZ_CP143261.1|tpos:289461-289960,0.249,0.0,-0.5,-0.251,Non-Allergen
antigen_175|C0RIE0|NADH-quinone|NZ_CP143261.1|tpos:259089-259281,0.236,0.0,-0.5,-0.264,Non-Allergen
antigen_51|C0RIA7|Transcription|NZ_CP143261.1|tpos:250783-250953,0.011,0.5,-0.5,0.011,Non-Allergen
antigen_52|Q8YB50|Fumarate|NZ_CP143260.1|tpos:101263-101725,0.081,0.5,0.0,0.581,Allergen
antigen_42|Q8YHF9|Cyclic|NZ_CP143261.1|tpos:370417-370581,0.044,0.5,0.0,0.544,Allergen
antigen_121|Q8YEK2|Error-prone|NZ_CP143261.1|tpos:266455-267510,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_82|Q8YEM5|Cytochrome|NZ_CP143261.1|tpos:503759-503932,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_10|Q8YFR6|UPF0301|NZ_CP143261.1|tpos:160727-160926,0.057,0.0,-0.5,-0.443,Non-Allergen
antigen_128|Q8YBP0|Putative|NZ_CP143260.1|tpos:37730-38256,0.3,0.0,-0.5,-0.2,Non-Allergen
antigen_134|P0A4R0|Protein-methionine-sulfoxide|NZ_CP143260.1|tpos:152818-152981,0.248,0.0,-0.5,-0.252,Non-Allergen
antigen_12|Q8YI01|Urease|NZ_CP143261.1|tpos:436066-436277,0.193,0.0,-0.5,-0.307,Non-Allergen
antigen_193|Q8YAY5|HTH-type|NZ_CP143261.1|tpos:64951-65132,0.036,0.0,-0.5,-0.464,Non-Allergen
antigen_2|Q8YGW9|NAD|NZ_CP143261.1|tpos:303259-303515,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_61|Q8YG75|GTPase|NZ_CP143261.1|tpos:217466-217776,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_68|Q8YCZ1|UPF0309|NZ_CP143260.1|tpos:259512-259753,0.063,0.0,0.0,0.063,Non-Allergen
antigen_73|C0RM54|UPF0309|NZ_CP143260.1|tpos:259512-259753,0.063,0.0,0.0,0.063,Non-Allergen
antigen_94|C0RH89|GTPase|NZ_CP143261.1|tpos:217487-217648,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_96|C0RJF0|NADPH-dependent|NZ_CP143261.1|tpos:382987-383141,0.13,0.0,0.0,0.13,Non-Allergen
antigen_197|Q8YIM6|Cell-division|NZ_CP143261.1|tpos:190919-191158,0.021,0.5,-0.5,0.021,Non-Allergen
antigen_14|Q8YC47|Glutamine--fructose-6-phosphate|NZ_CP143260.1|tpos:258801-259136,0.126,0.0,0.0,0.126,Non-Allergen
antigen_70|Q8YC59|UPF0173|NZ_CP143260.1|tpos:359858-360094,0.471,0.5,-0.5,0.471,Allergen
antigen_150|Q8YJ23|Leu/Ile/Val-binding|NZ_CP143261.1|tpos:414165-414475,0.094,0.0,0.0,0.094,Non-Allergen
antigen_6|Q8YHZ8|Urease|NZ_CP143261.1|tpos:435044-435616,0.2,0.0,0.0,0.2,Non-Allergen
antigen_9|Q8YHC4|UvrABC|NZ_CP143261.1|tpos:503811-503994,0.028,0.0,-0.5,-0.472,Non-Allergen
