Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_163|C0RF52|ATP|NZ_CP018479.1|tpos:41073-41394,0.002,0.0,-0.5,-0.498,Non-Allergen
antigen_137|Q8YG89|Cysteine--tRNA|NZ_CP018478.1|tpos:221719-222224,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_29|P67228|UPF0102|NZ_CP018478.1|tpos:61684-61809,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_31|C0RLC2|Glycerol-3-phosphate|NZ_CP018479.1|tpos:184366-184566,0.095,0.0,-0.5,-0.405,Non-Allergen
antigen_32|Q8YDS2|Leu/Ile/Val-binding|NZ_CP018479.1|tpos:381603-381752,0.453,0.0,0.0,0.453,Allergen
antigen_34|C0RLB8|Putative|NZ_CP018479.1|tpos:182877-183038,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_149|Q8YFR1|4-hydroxy-3-methylbut-2-enyl|NZ_CP018478.1|tpos:160413-160758,0.08,0.0,-0.5,-0.42,Non-Allergen
antigen_168|C0RGR3|Thiazole|NZ_CP018478.1|tpos:329361-329483,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_112|C0RIB3|Beta-ketoacyl-[acyl-carrier-protein]|NZ_CP018478.1|tpos:254067-254389,0.049,0.0,-0.5,-0.451,Non-Allergen
antigen_120|Q8YIR8|Ferric|NZ_CP018478.1|tpos:526971-527111,0.071,0.0,-0.5,-0.429,Non-Allergen
antigen_67|C0RJ23|NAD(P)H|NZ_CP018478.1|tpos:336682-336880,0.239,0.0,0.5,0.739,Allergen
antigen_16|C0RJP4|Sugar|NZ_CP018478.1|tpos:409651-409888,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_18|C0RIG4|Small|NZ_CP018478.1|tpos:269450-269654,0.232,0.0,-0.5,-0.268,Non-Allergen
antigen_127|C0RKP1|Protein|NZ_CP018479.1|tpos:96808-96942,0.417,0.0,0.0,0.417,Allergen
antigen_62|Q8YGM0|Lipoprotein-releasing|NZ_CP018478.1|tpos:267166-267392,0.012,0.5,-0.5,0.012,Non-Allergen
antigen_66|Q8YI00|Urease|NZ_CP018478.1|tpos:97220-97431,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_0|Q45321|25|NZ_CP018478.1|tpos:410495-410694,0.498,0.0,0.0,0.498,Allergen
antigen_89|P0A3U4|31|NZ_CP018478.1|tpos:515777-515964,0.361,0.5,0.0,0.861,Allergen
antigen_136|C0REI6|Oxygen-dependent|NZ_CP018478.1|tpos:493433-493735,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_161|Q8YCG3|Fe(3+)|NZ_CP018479.1|tpos:99648-99986,0.043,0.0,-0.5,-0.457,Non-Allergen
antigen_184|C0RFI1|Hydroxyacylglutathione|NZ_CP018478.1|tpos:612491-612750,0.083,0.5,-0.5,0.083,Non-Allergen
antigen_150|Q8YJ23|Leu/Ile/Val-binding|NZ_CP018479.1|tpos:118081-118453,0.419,0.0,0.0,0.419,Allergen
antigen_170|Q8YCA7|sn-glycerol-3-phosphate-binding|NZ_CP018479.1|tpos:154757-154995,0.617,0.0,-0.5,0.117,Non-Allergen
antigen_105|C0RMK4|Uracil|NZ_CP018479.1|tpos:335145-335352,0.036,0.0,-0.5,-0.464,Non-Allergen
