Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_86|C0RJ48|Phosphoribosyl-AMP|CP026337.1|tpos:345768-345906,0.046,0.0,-0.5,-0.454,Non-Allergen
antigen_88|Q8YEA2|tRNA-2-methylthio-N(6)-dimethylallyladenosine|CP026337.1|tpos:1065351-1065817,0.012,0.0,-0.5,-0.488,Non-Allergen
antigen_16|C0RJP4|Sugar|CP026337.1|tpos:409871-410108,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_36|C0RM77|Urocanate|CP026337.1|tpos:912764-913320,0.06,0.0,0.0,0.06,Non-Allergen
antigen_156|Q8YED5|Chromosomal|CP026337.1|tpos:45-540,0.002,0.5,-0.5,0.002,Non-Allergen
antigen_54|C0RJK4|Elongation|CP026337.1|tpos:66385-66522,0.302,0.0,-0.5,-0.198,Non-Allergen
antigen_144|C0RH46|3-methyl-2-oxobutanoate|CP026337.1|tpos:117274-117548,0.08,0.0,0.0,0.08,Non-Allergen
antigen_71|Q8YG99|Probable|CP026337.1|tpos:226138-226175,0.193,0.0,0.0,0.193,Non-Allergen
antigen_126|C0RM93|D-aminopeptidase|CP026337.1|tpos:918121-918638,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_89|P0A3U4|31|CP026337.1|tpos:410720-410914,0.537,0.0,0.0,0.537,Allergen
antigen_150|Q8YJ23|Leu/Ile/Val-binding|CP026337.1|tpos:818459-818829,0.607,0.0,0.0,0.607,Allergen
antigen_155|C0RFV7|Shikimate|CP026337.1|tpos:1039878-1040166,0.028,0.0,-0.5,-0.472,Non-Allergen
antigen_177|Q8YH20|Beta-(1--,0.359,0.0,0.0,0.359,Allergen
2)glucan|CP026337.1|tpos:150234-150600,0.069,0.0,-0.5,-0.431,Non-Allergen
antigen_182|C0RMG5|Acetylglutamate|CP026337.1|tpos:943438-943733,0.108,0.0,-0.5,-0.392,Non-Allergen
antigen_193|Q8YAY5|HTH-type|CP026337.1|tpos:659425-659683,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_11|P63542|Adenine|CP026337.1|tpos:215695-215741,0.286,0.5,0.0,0.786,Allergen
antigen_175|C0RIE0|NADH-quinone|CP026337.1|tpos:260054-260246,0.236,0.0,-0.5,-0.264,Non-Allergen
antigen_197|Q8YIM6|Cell-division|CP026337.1|tpos:510075-511109,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_55|Q8YI12|Fluoride-specific|CP026337.1|tpos:876031-876148,0.072,0.0,-0.5,-0.428,Non-Allergen
antigen_0|Q45321|25|CP026337.1|tpos:410715-410914,0.498,0.0,0.0,0.498,Allergen
antigen_25|D0B707|Phosphatidylcholine|CP026337.1|tpos:150958-151093,0.101,0.5,0.0,0.601,Allergen
antigen_42|Q8YHF9|Cyclic|CP026337.1|tpos:369924-370088,0.044,0.5,0.0,0.544,Allergen
antigen_60|Q8YCN8|Nickel|CP026337.1|tpos:970460-970712,0.021,0.0,-0.5,-0.479,Non-Allergen
antigen_96|C0RJF0|NADPH-dependent|CP026337.1|tpos:382493-382647,0.13,0.5,0.0,0.63,Allergen
antigen_115|Q8YC76|DNA|CP026337.1|tpos:809659-810103,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_29|P67228|UPF0102|CP026337.1|tpos:61441-61566,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_62|Q8YGM0|Lipoprotein-releasing|CP026337.1|tpos:923298-923502,0.039,0.0,-0.5,-0.461,Non-Allergen
antigen_151|C0RFL5|7-cyano-7-deazaguanine|CP026337.1|tpos:1009462-1009693,0.367,0.0,0.0,0.367,Allergen
