Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_60|P66826|Superoxide|WP_002972093.1|tpos:1-173,0.542,0.0,0.5,1.042,Allergen
antigen_61|P67053|Protoheme|WP_004683128.1|tpos:4-315,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_77|C0RJB1|Indole-3-glycerol|WP_002964269.1|tpos:1-268,0.035,0.0,-0.5,-0.465,Non-Allergen
antigen_78|Q8YCQ8|Fluoride-specific|WP_004685999.1|tpos:19-133,0.097,0.0,-0.5,-0.403,Non-Allergen
antigen_79|C0RMK5|Protein|WP_002965586.1|tpos:1-68,0.168,0.0,0.0,0.168,Non-Allergen
antigen_80|Q8YIB0|UPF0260|WP_002964583.1|tpos:1-152,0.359,0.0,0.0,0.359,Allergen
antigen_194|C0RIW8|Thymidylate|WP_002964110.1|tpos:1-214,0.031,0.0,-0.5,-0.469,Non-Allergen
antigen_47|C0REC2|Carbamoyl|WP_002964590.1|tpos:1-407,0.186,0.5,-0.5,0.186,Non-Allergen
antigen_48|Q8YJ91|Chaperone|WP_004686268.1|tpos:1-874,0.009,0.0,-0.5,-0.491,Non-Allergen
antigen_54|Q8YHC2|Single-stranded|WP_002967690.1|tpos:1-168,0.146,0.5,-0.5,0.146,Non-Allergen
antigen_169|C0RLB8|Putative|WP_004684953.1|tpos:1-162,0.047,0.0,-0.5,-0.453,Non-Allergen
antigen_170|C0RG38|Endoribonuclease|WP_002965218.1|tpos:1-168,0.244,0.0,-0.5,-0.256,Non-Allergen
antigen_171|Q8YHZ8|Urease|WP_004686386.1|tpos:1-573,0.2,0.0,0.0,0.2,Non-Allergen
antigen_59|Q8YB19|Flagellar|WP_004681382.1|tpos:5-242,0.18,0.0,-0.5,-0.32,Non-Allergen
antigen_70|Q8YCZ1|UPF0309|WP_004682301.1|tpos:1-242,0.063,0.0,0.0,0.063,Non-Allergen
antigen_43|C0RF67|Bifunctional|WP_004684287.1|tpos:1-538,0.222,0.0,0.0,0.222,Non-Allergen
antigen_44|Q8YG60|4-hydroxy-tetrahydrodipicolinate|WP_004686526.1|tpos:1-293,0.178,0.0,-0.5,-0.322,Non-Allergen
antigen_49|C0RJJ0|Large|WP_002964351.1|tpos:1-103,0.239,0.5,-0.5,0.239,Non-Allergen
antigen_50|C0RIC5|Small|WP_004686488.1|tpos:1-158,0.171,0.0,-0.5,-0.329,Non-Allergen
antigen_51|C0RFX2|1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino]|WP_002965150.1|tpos:1-243,0.035,0.0,0.0,0.035,Non-Allergen
antigen_114|C0REM2|tRNA-specific|WP_002964692.1|tpos:1-398,0.045,0.0,-0.5,-0.455,Non-Allergen
antigen_115|C0RIC6|Large|WP_004686487.1|tpos:1-154,0.189,0.0,-0.5,-0.311,Non-Allergen
antigen_168|Q8YCM8|Lysine--tRNA|WP_004686008.1|tpos:1-551,0.111,0.5,-0.5,0.111,Non-Allergen
antigen_26|C0RFV5|Putative|WP_004686215.1|tpos:1-279,0.029,0.0,-0.5,-0.471,Non-Allergen
antigen_155|C0RI93|Aspartate/glutamate|WP_004683553.1|tpos:1-249,0.113,0.0,-0.5,-0.387,Non-Allergen
antigen_117|Q8YDS0|Heme|WP_004681095.1|tpos:1-661,0.358,0.5,-0.5,0.358,Allergen
antigen_120|Q8YDJ7|High-affinity|WP_004685918.1|tpos:1-334,0.529,0.0,-0.5,0.029,Non-Allergen
antigen_121|Q8YG99|Probable|WP_002963831.1|tpos:38-497,0.117,0.0,-0.5,-0.383,Non-Allergen
antigen_148|Q8YDV4|Leu/Ile/Val-binding|WP_002966556.1|tpos:1-416,0.686,0.0,0.0,0.686,Allergen
antigen_57|Q8YB48|Glucose/galactose|WP_004686170.1|tpos:1-412,0.019,0.0,0.0,0.019,Non-Allergen
antigen_163|Q8YHT9|Cobalamin|WP_004683951.1|tpos:1-327,0.009,0.0,0.0,0.009,Non-Allergen
antigen_164|Q8YE76|Chaperone|WP_002969217.1|tpos:1-637,0.419,0.0,0.5,0.919,Allergen
antigen_136|P65910|Orotate|WP_002963797.1|tpos:1-192,0.017,0.0,0.0,0.017,Non-Allergen
antigen_137|C0RHG7|Acyl|WP_002963616.1|tpos:1-78,0.612,0.0,-0.5,0.112,Non-Allergen
antigen_138|C0RJK2|Small|WP_002964363.1|tpos:1-102,0.081,0.0,0.0,0.081,Non-Allergen
antigen_139|C0RFX5|Pantothenate|WP_014490226.1|tpos:1-322,0.032,0.0,-0.5,-0.468,Non-Allergen
