Subject,ML Score,MERCI Score,BLAST Score,Hybrid Score,Prediction
antigen_150|Q8YJ23|Leu/Ile/Val-binding|NC_003317.1|tpos:88622-88992,0.786,0.0,0.0,0.786,Allergen
antigen_39|Q8YHG9|3-hydroxyacyl-[acyl-carrier-protein]|NC_003317.1|tpos:278141-278297,0.101,0.0,-0.5,-0.399,Non-Allergen
antigen_54|C0RJK4|Elongation|NC_003318.1|tpos:141960-142348,0.08,0.5,-0.5,0.08,Non-Allergen
antigen_114|C0RHQ4|HTH-type|NC_003317.1|tpos:465403-465600,0.026,0.0,0.0,0.026,Non-Allergen
antigen_53|Q8YFD6|Protein|NC_003317.1|tpos:86631-86949,0.182,0.0,-0.5,-0.318,Non-Allergen
antigen_123|Q8YHH4|Uridylate|NC_003317.1|tpos:59745-59922,0.127,0.0,-0.5,-0.373,Non-Allergen
antigen_82|Q8YEM5|Cytochrome|NC_003317.1|tpos:221850-222042,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_98|C0RGD6|Argininosuccinate|NC_003317.1|tpos:145679-145801,0.242,0.0,-0.5,-0.258,Non-Allergen
antigen_188|Q8YDG6|Putative|NC_003318.1|tpos:74862-75213,0.326,0.0,-0.5,-0.174,Non-Allergen
antigen_192|C0RGK7|Integration|NC_003317.1|tpos:294917-295008,0.365,0.0,-0.5,-0.135,Non-Allergen
antigen_22|P63566|Acetylornithine|NC_003318.1|tpos:265230-265627,0.017,0.0,-0.5,-0.483,Non-Allergen
antigen_7|C0RJJ4|Large|NC_003317.1|tpos:256979-257115,0.133,0.0,-0.5,-0.367,Non-Allergen
antigen_63|C0RJJ7|Small|NC_003317.1|tpos:256521-256612,0.184,0.0,0.0,0.184,Non-Allergen
antigen_50|Q8YJ85|Large|NC_003317.1|tpos:67756-67897,0.201,0.0,-0.5,-0.299,Non-Allergen
"antigen_129|Q8YI71|UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate|NC_003317.1|tpos:192768-193191",0.023,0.5,-0.5,0.023,Non-Allergen
antigen_189|Q8YJF9|Arginine|NC_003317.1|tpos:39201-39613,0.234,0.5,-0.5,0.234,Non-Allergen
antigen_184|C0RFI1|Hydroxyacylglutathione|NC_003317.1|tpos:168074-168250,0.335,0.0,0.0,0.335,Allergen
antigen_59|Q8YI68|UDP-N-acetylmuramoylalanine--D-glutamate|NC_003317.1|tpos:192852-192985,0.066,0.0,-0.5,-0.434,Non-Allergen
antigen_103|Q8YJ29|4-hydroxyproline|NC_003317.1|tpos:86620-86952,0.274,0.0,-0.5,-0.226,Non-Allergen
antigen_161|Q8YCG3|Fe(3+)|NC_003318.1|tpos:376758-377040,0.026,0.0,-0.5,-0.474,Non-Allergen
antigen_32|Q8YDS2|Leu/Ile/Val-binding|NC_003317.1|tpos:88620-88976,0.768,0.0,0.0,0.768,Allergen
antigen_122|C0REW5|Holliday|NC_003317.1|tpos:294398-294564,0.06,0.0,-0.5,-0.44,Non-Allergen
antigen_27|C0RM38|UPF0434|NC_003318.1|tpos:137253-137316,0.118,0.0,0.0,0.118,Non-Allergen
antigen_76|C0RHG1|Small|NC_003317.1|tpos:496459-496540,0.126,0.0,-0.5,-0.374,Non-Allergen
antigen_125|Q8YHN9|Large|NC_003317.1|tpos:255932-256101,0.122,0.5,-0.5,0.122,Non-Allergen
antigen_55|Q8YI12|Fluoride-specific|NC_003317.1|tpos:214304-214426,0.141,0.0,-0.5,-0.359,Non-Allergen
antigen_90|C0RJJ9|Large|NC_003317.1|tpos:256137-256233,0.322,0.0,-0.5,-0.178,Non-Allergen
antigen_69|Q8YCX5|UPF0434|NC_003318.1|tpos:137253-137316,0.118,0.0,0.0,0.118,Non-Allergen
antigen_89|P0A3U4|31|NC_003318.1|tpos:285685-285924,0.622,0.0,0.0,0.622,Allergen
antigen_138|C0RI52|Phosphoribosylformylglycinamidine|NC_003317.1|tpos:418778-419136,0.15,0.0,0.0,0.15,Non-Allergen
antigen_147|C0RJ65|S-adenosylmethionine:tRNA|NC_003317.1|tpos:299168-299530,0.024,0.0,-0.5,-0.476,Non-Allergen
antigen_176|Q8YFI5|Na(+)/H(+)|NC_003317.1|tpos:513565-514300,0.032,0.0,-0.5,-0.468,Non-Allergen
antigen_130|C0RJJ8|Large|NC_003317.1|tpos:256240-256516,0.172,0.0,-0.5,-0.328,Non-Allergen
antigen_35|Q8YJ03|Thiamine|NC_003318.1|tpos:66723-66932,0.124,0.5,0.0,0.624,Allergen
antigen_185|Q8YJ77|Probable|NC_003317.1|tpos:69988-70181,0.016,0.0,-0.5,-0.484,Non-Allergen
antigen_174|Q8YCV3|L-erythrulose-1-phosphate|NC_003317.1|tpos:283378-283619,0.083,0.5,0.5,1.083,Allergen
antigen_62|Q8YGM0|Lipoprotein-releasing|NC_003317.1|tpos:120723-120946,0.011,0.0,-0.5,-0.489,Non-Allergen
antigen_9|Q8YHC4|UvrABC|NC_003317.1|tpos:160699-160799,0.082,0.5,-0.5,0.082,Non-Allergen
antigen_71|Q8YG99|Probable|NC_003317.1|tpos:652098-652456,0.008,0.0,-0.5,-0.492,Non-Allergen
antigen_134|P0A4R0|Protein-methionine-sulfoxide|NC_003318.1|tpos:24435-24598,0.248,0.0,-0.5,-0.252,Non-Allergen
antigen_178|Q8YHB5|Probable|NC_003317.1|tpos:298747-298942,0.2,0.0,0.5,0.7,Allergen
antigen_115|Q8YC76|DNA|NC_003317.1|tpos:625843-626200,0.026,0.0,0.0,0.026,Non-Allergen
antigen_163|C0RF52|ATP|NC_003317.1|tpos:85017-85435,0.079,0.0,-0.5,-0.421,Non-Allergen
antigen_85|C0RJB4|LexA|NC_003318.1|tpos:170160-170237,0.085,0.0,0.0,0.085,Non-Allergen
antigen_101|C0RFW0|Protein-export|NC_003317.1|tpos:686643-686805,0.205,0.0,-0.5,-0.295,Non-Allergen
antigen_118|Q8YDP7|UPF0261|NC_003318.1|tpos:42434-42851,0.087,0.0,0.0,0.087,Non-Allergen
antigen_187|P66399|Small|NC_003317.1|tpos:257705-257805,0.073,0.0,-0.5,-0.427,Non-Allergen
antigen_197|Q8YIM6|Cell-division|NC_003317.1|tpos:290932-291271,0.104,0.0,-0.5,-0.396,Non-Allergen
antigen_0|Q45321|25|NC_003317.1|tpos:607917-608142,0.444,0.5,0.0,0.944,Allergen
antigen_60|Q8YCN8|Nickel|NC_003317.1|tpos:148343-148577,0.076,0.0,-0.5,-0.424,Non-Allergen
antigen_113|Q8YDZ5|Type|NC_003318.1|tpos:8128-8365,0.251,0.0,0.0,0.251,Non-Allergen
antigen_170|Q8YCA7|sn-glycerol-3-phosphate-binding|NC_003318.1|tpos:37911-38267,0.502,0.0,-0.5,0.002,Non-Allergen
antigen_43|C0RG54|3-hydroxydecanoyl-[acyl-carrier-protein]|NC_003317.1|tpos:278166-278257,0.103,0.0,-0.5,-0.397,Non-Allergen
antigen_52|Q8YB50|Fumarate|NC_003318.1|tpos:355039-355501,0.081,0.5,0.0,0.581,Allergen
antigen_48|C0RGX7|UDP-N-acetylglucosamine|NC_003317.1|tpos:558002-558430,0.022,0.0,-0.5,-0.478,Non-Allergen
antigen_194|C0RFW8|ATP-dependent|NC_003317.1|tpos:684430-684613,0.102,0.0,0.0,0.102,Non-Allergen
antigen_19|C0REM2|tRNA-specific|NC_003317.1|tpos:145664-146061,0.048,0.0,-0.5,-0.452,Non-Allergen
antigen_128|Q8YBP0|Putative|NC_003318.1|tpos:74902-75212,0.577,0.0,-0.5,0.077,Non-Allergen
antigen_177|Q8YH20|Beta-(1--,0.303,0.0,0.0,0.303,Allergen
2)glucan|NC_003317.1|tpos:333154-333751,0.015,0.0,-0.5,-0.485,Non-Allergen
antigen_64|C0RE69|UDP-N-acetylmuramate--L-alanine|NC_003317.1|tpos:192793-193209,0.027,0.0,-0.5,-0.473,Non-Allergen
antigen_157|C0RJC9|Elongation|NC_003317.1|tpos:275161-275465,0.341,0.0,-0.5,-0.159,Non-Allergen
