parent_source_antigen_iri,parent_source_antigen_names,source_organism_names,host_organism_names
ChEBI:18154,['polysaccharide'],"['Acinetobacter baumannii', 'Aggregatibacter actinomycetemcomitans serotype b str. Y4', 'Alcaligenes faecalis', 'Brucella', 'Brucella melitensis bv. 1 str. 16M', 'Campylobacter jejuni subsp. jejuni serotype HS:15', 'Candida albicans', 'Candidozyma auris', 'Citrobacter freundii', 'Clostridium difficile', 'Clostridium difficile BI / NAP1/ 027', 'Cryptococcus neoformans', 'Cryptococcus neoformans Mu-1', 'Enterococcus faecalis', 'Escherichia coli O25b:ST131', 'Francisella tularensis subsp. tularensis strain 15', 'Haemophilus influenzae', 'Haemophilus influenzae Serotype B', 'Klebsiella pneumoniae', 'Mycoplasmoides pneumoniae (Filterable agent of primary atypical pneumonia)', 'Neisseria meningitidis', 'Neisseria meningitidis serogroup A', 'Neisseria meningitidis serogroup B', 'Neisseria meningitidis serogroup C', 'Neisseria meningitidis serogroup C strain C11', 'Neisseria meningitidis serogroup C strain MC19', 'Neisseria meningitidis serogroup W', 'Neisseria meningitidis serogroup W-135', 'Neisseria meningitidis serogroup X', 'Neisseria meningitidis serogroup Y', 'Salmonella enterica subsp. enterica serovar Enteritidis (Salmonella enterica serovar Enteritidis)', 'Salmonella enterica subsp. enterica serovar Typhi', 'Salmonella enterica subsp. enterica serovar Typhimurium', 'Salmonella typhi 620Ty', 'Streptococcus agalactiae', 'Streptococcus agalactiae 18RS21 (Streptococcus agalactiae str. 18RS21)', 'Streptococcus agalactiae CJB111 (Streptococcus agalactiae str. CJB111)', 'Streptococcus agalactiae H36B (Streptococcus agalactiae str. H36B)', 'Streptococcus agalactiae serogroup Ia', 'Streptococcus agalactiae serogroup III', 'Streptococcus agalactiae serogroup III M781', 'Streptococcus agalactiae serogroup V', 'Streptococcus agalactiae serogroup VII strain 7271', 'Streptococcus anginosus K214-2K', 'Streptococcus dysgalactiae subsp. equisimilis ATCC 12388', 'Streptococcus pneumoniae', 'Streptococcus pneumoniae 23F', 'Streptococcus pneumoniae 7F', 'Streptococcus pneumoniae CCUG 1378', 'Streptococcus pneumoniae type 1', 'Streptococcus pneumoniae type 10A', 'Streptococcus pneumoniae type 14', 'Streptococcus pneumoniae type 19A', 'Streptococcus pneumoniae type 19F', 'Streptococcus pneumoniae type 2', 'Streptococcus pneumoniae type 27', 'Streptococcus pneumoniae type 3', 'Streptococcus pneumoniae type 37', 'Streptococcus pneumoniae type 6A', 'Streptococcus pneumoniae type 6B', 'Streptococcus pneumoniae type 8', 'Streptococcus pyogenes', 'Streptococcus pyogenes serotype M3 D58', ""Streptococcus sp. 'group A'"", ""Streptococcus sp. 'group B'"", 'Streptococcus suis 1178027', 'Streptococcus suis 13730', 'Streptococcus suis 2651', 'Streptococcus suis S735 (Streptococcus suis str. S735)', 'Trypanosoma cruzi', 'Vibrio vulnificus BO62316', 'Vibrio vulnificus MO6-24/O (Vibrio vulnificus str. MO6-24/O)']","['Canis lupus familiaris (dogs)', 'Equid (horse)', 'Equus caballus (domestic horse)', 'Felis catus (cat)', 'Homo sapiens (human)', 'Macaca mulatta (rhesus macaque)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus BALB/c X DBA/2', 'Mus musculus C57BL/6', 'Mus musculus CD1', 'Mus musculus (mouse)', 'Mus musculus NHI Swiss', 'Mus musculus Swiss Webster', 'Oryctolagus cuniculus New Zealand White', 'Oryctolagus cuniculus (rabbit)', 'Ovis aries (domestic sheep)', 'Sus scrofa (pig)']"
taxon_protein:727-other,['Other Haemophilus influenzae protein'],['Haemophilus influenzae'],"['Homo sapiens (human)', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:O05087,['Uncharacterized membrane protein HI_1728 (UniProt:O05087)'],"['Haemophilus influenzae', 'Haemophilus influenzae PittII (Haemophilus influenzae str. PittII)']",['Homo sapiens (human)']
UNIPROT:P10324,['Peptidoglycan-associated lipoprotein (UniProt:P10324)'],"['Haemophilus influenzae', 'Haemophilus influenzae 86-028NP (Haemophilus influenzae str. 86-028NP)', 'Haemophilus influenzae NTHi 1479', 'Haemophilus influenzae PittHH (Haemophilus influenzae str. PittHH)', 'Haemophilus influenzae Strain Eagan']","['Homo sapiens (human)', 'Mus musculus BALB/c', 'Oryctolagus cuniculus (rabbit)']"
UNIPROT:P43008,['Biopolymer transport protein ExbB (UniProt:P43008)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P43738,['DNA-directed RNA polymerase subunit beta (UniProt:P43738)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P43739,"[""DNA-directed RNA polymerase subunit beta' (UniProt:P43739)""]",['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P43757,['Transketolase (UniProt:P43757)'],"['Haemophilus influenzae', 'Haemophilus influenzae R2846 (Haemophilus influenzae str. R2846)']",['Homo sapiens (human)']
UNIPROT:P43767,['DNA replication and repair protein RecF (UniProt:P43767)'],['Haemophilus influenzae'],['Homo sapiens (human)']
UNIPROT:P43838,['Outer membrane protein P1 (UniProt:P43838)'],"['Haemophilus influenzae', 'Haemophilus influenzae 6U', 'Haemophilus influenzae MinnA', 'Haemophilus influenzae Serotype B']","['Cavia porcellus (guinea pig)', 'Homo sapiens (human)', 'Mus musculus A/J', 'Mus musculus BALB/c', 'Mus musculus C57BL/6', 'Mus musculus (mouse)', 'Oryctolagus cuniculus (rabbit)']"
